"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"省"	"霜霉发病率"	"瓜面腊粉"	"分枝性"	"商瓜皮色"	"老瓜次色"	"疫病抗指"	"叶形"	"风味"	"老瓜斑纹"	"疫病发病率"	"亩产"	"瓜刺色"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"霜霉病抗指"	"枯萎发病率"	"统一编号"	"保存单位"	"白粉发病率"	"枯萎病抗指"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"白粉病抗指"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"105"	"中"	"90-167"	"地爬黄瓜"	"攀援蔓生"	"DI PA HUANG GUA"	"0.2"	"天津"	"--"	"中"	"弱"	"绿"	"--"	"--"	"圆形"	"中"	"--"	"--"	"375"	"棕"	"褐色"	"--"	"圆柱形"	"少"	"圆滑致密"	"7"	"--"	"--"	"V05A0758"	"天津市黄瓜所"	"--"	"--"	"中"	"Ⅱ5A1060"	"天津宝坻县"	"--"	"--"	"4上-7中"	"--"	"具瘤"
"106"	"晚"	"0189122"	"津北黄瓜"	"攀援蔓生"	"JIN BEI HUANG GUA"	"0.2"	"天津"	"--"	"无"	"强"	"绿"	"--"	"--"	"圆形"	"--"	"--"	"--"	"550"	"棕"	"褐色"	"--"	"圆柱形"	"少"	"圆滑致密"	"12"	"--"	"--"	"V05A0759"	"天津市黄瓜所"	"--"	"--"	"中"	"Ⅱ5A0926"	"天津北郊区"	"--"	"--"	"4月上旬-8月下旬"	"--"	"具瘤"
"107"	"中"	"G30-40"	"白水(黑刺)"	"蔓生"	"BAI SHUI (HEI CI )"	"0.2"	"湖北"	"--"	"多"	"弱"	"绿"	"--"	"--"	"掌状"	"中"	"--"	"--"	"650"	"黑"	"黄色"	"--"	"圆柱形"	"少"	"中脆"	"9"	"--"	"--"	"V05A0859"	"广东农科院经作所"	"--"	"--"	"中"	"Ⅱ5A1015"	"武汉"	"--"	"--"	"2上-4上"	"--"	"平"
"108"	"早"	"60-2"	"吴忠黄瓜(黑刺)"	"攀援蔓生"	"WU ZHONG HUANG GUA (HEI CI )"	"0.3"	"新疆"	"76.0"	"无"	"弱"	"绿"	"--"	"1.740"	"心形"	"--"	"--"	"88.00"	"5880"	"黑"	"桔黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"7"	"0.700"	"100.00"	"V05A0860"	"新疆农科院园艺所"	"50.0"	"-0.290"	"中"	"Ⅱ5A0875"	"新疆"	"--"	"1.980"	"4月上旬-9月上旬"	"--"	"具瘤"
"109"	"中"	"68-52"	"黄瓜"	"攀援蔓生"	"HUANG GUA"	"0.2"	"新疆"	"100.0"	"无"	"弱"	"黄"	"--"	"0.120"	"掌状"	"甜"	"--"	"86.70"	"4224"	"黑"	"桔黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"7"	"1.160"	"3.30"	"V05A0861"	"新疆农科院园艺所"	"90.6"	"0.950"	"中"	"Ⅱ5A0521"	"新疆60年引"	"--"	"0.310"	"4上-9初"	"--"	"具瘤"
"110"	"早"	"68-10"	"早熟小黑刺"	"攀援蔓生"	"ZAO SHU XIAO HEI CI"	"0.2"	"新疆"	"96.6"	"无"	"弱"	"黄"	"--"	"1.160"	"掌状"	"微甜"	"--"	"96.70"	"3950"	"黑"	"褐色"	"--"	"圆柱形"	"多"	"圆滑致密"	"5"	"-0.950"	"46.70"	"V05A0862"	"新疆农科院园艺所"	"76.7"	"-5.000"	"强"	"Ⅱ5A0507"	"新疆60年引"	"--"	"0.470"	"4初-9初"	"--"	"--"
"111"	"早"	"68-20"	"南京早黄瓜"	"攀援蔓生"	"NAN JING ZAO HUANG GUA"	"0.1"	"新疆"	"93.3"	"无"	"中"	"黄"	"--"	"0.770"	"掌状"	"甜"	"--"	"80.00"	"2100"	"黑"	"褐色"	"--"	"圆柱形"	"少"	"圆滑致密"	"8"	"-0.820"	"60.00"	"V05A0863"	"新疆农科院园艺所"	"71.1"	"-0.740"	"强"	"Ⅱ5A0489"	"新疆60年引"	"--"	"0.300"	"4上-9初"	"--"	"平"
"112"	"早"	"CS14(89)"	"普来斯黄瓜"	"蔓生"	"PU LAI SI HUANG GUA"	"0.2"	"国外"	"--"	"无"	"弱"	"绿"	"--"	"--"	"心形"	"--"	"--"	"--"	"750"	"--"	"黄色"	"--"	"圆柱形"	"多"	"--"	"5"	"--"	"--"	"V05A0922"	"安徽农科院园艺所"	"--"	"--"	"中"	"Ⅱ5A1022"	"引自美国"	"--"	"--"	"3上-5上"	"--"	"平"
"113"	"中"	"CS13(89)"	"日本黄瓜"	"蔓生"	"RI BEN HUANG GUA"	"0.3"	"国外"	"--"	"无"	"强"	"绿"	"--"	"--"	"心形"	"甜"	"--"	"--"	"1750"	"--"	"黄色"	"--"	"圆柱形"	"少"	"--"	"8"	"--"	"--"	"V05A0923"	"安徽农科院园艺所"	"--"	"--"	"强"	"Ⅱ5A1021"	"引自日本"	"--"	"--"	"3上-6上"	"--"	"平"
"114"	"早"	"16011"	"上于白皮黄瓜"	"蔓生"	"SHANG YU BAI PI HUANG GUA"	"0.2"	"浙江"	"100.0"	"无"	"弱"	"奶油色"	"--"	"0.270"	"掌状"	"--"	"--"	"66.70"	"--"	"--"	"桔黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"3"	"0.740"	"23.30"	"V05A0933"	"浙江农科院园艺所"	"82.1"	"2.610"	"中"	"Ⅱ5A0479"	"浙江上虞县"	"--"	"0.330"	"2中-5中"	"--"	"平"
"115"	"早"	"16009"	"鱼肚白黄瓜"	"攀援蔓生"	"YU DU BAI HUANG GUA"	"0.3"	"浙江"	"100.0"	"无"	"弱"	"绿"	"--"	"1.030"	"掌状"	"--"	"--"	"76.70"	"2500"	"--"	"奶油色"	"*"	"圆柱形"	"少"	"质优"	"5"	"-0.490"	"43.30"	"V05A0934"	"浙江农科院园艺所"	"58.1"	"-0.120"	"弱"	"Ⅱ5A0488"	"浙江温州市"	"--"	"0.420"	"2上-5中"	"--"	"棱"
"116"	"晚"	"A13"	"定县刺瓜"	"攀援蔓生"	"DING XIAN CI GUA"	"0.4"	"北京"	"--"	"多"	"弱"	"绿"	"--"	"--"	"掌状"	"--"	"--"	"--"	"1375"	"--"	"绿色"	"--"	"长曲条"	"中"	"圆滑致密"	"--"	"--"	"--"	"V05A0935"	"中国农科院蔬菜所"	"--"	"--"	"弱"	"Ⅱ5A0996"	"中蔬"	"--"	"--"	"5中-9上"	"--"	"平"
"117"	"晚"	"83-55"	"山黄瓜"	"葡匐蔓生"	"SHAN HUANG GUA"	"0.3"	"北京"	"90.0"	"少"	"弱"	"绿"	"--"	"0.270"	"掌状"	"--"	"--"	"36.70"	"1375"	"--"	"红色"	"--"	"圆柱形"	"中"	"圆滑致密"	"--"	"-0.320"	"10.00"	"V05A0936"	"中国农科院蔬菜所"	"100.0"	"5.020"	"弱"	"Ⅱ5A0997"	"中蔬"	"--"	"-0.240"	"5中-9上"	"--"	"平"
"118"	"中"	"C81043"	"白黄瓜"	"攀援蔓生"	"BAI HUANG GUA"	"0.3"	"河北"	"100.0"	"少"	"中"	"绿"	"--"	"1.250"	"掌状"	"--"	"--"	"63.30"	"--"	"白"	"奶油色"	"--"	"椭圆形"	"--"	"微甜"	"7"	"-0.290"	"56.70"	"V05A0937"	"中国农科院蔬菜所"	"82.8"	"1.520"	"中"	"Ⅱ5A0456"	"中蔬河北秦皇岛市"	"--"	"0.300"	"4下-5下-6下"	"--"	"平"
"119"	"晚"	"C79168"	"贵阳架黄瓜"	"攀援蔓生"	"GUI YANG JIA HUANG GUA"	"0.3"	"贵州"	"96.4"	"少"	"强"	"绿"	"--"	"-1.020"	"掌状"	"--"	"--"	"96.70"	"--"	"棕"	"褐色"	"--"	"圆柱形"	"--"	"微甜"	"8"	"-0.600"	"53.30"	"V05A0982"	"中国农科院蔬菜所"	"93.3"	"1.390"	"强"	"Ⅱ5A0441"	"中蔬引贵州贵阳市"	"--"	"0.370"	"4下-5下-7上"	"--"	"平"
"120"	"晚"	"C81102"	"图们大青瓜"	"攀援蔓生"	"TU MEN DA QING GUA"	"0.2"	"吉林"	"100.0"	"少"	"强"	"绿"	"--"	"-1.210"	"掌状"	"--"	"--"	"96.70"	"--"	"白"	"褐色"	"--"	"椭圆形"	"--"	"微甜"	"9"	"0.060"	"66.70"	"V05A1003"	"中国农科院蔬菜所"	"87.1"	"0.990"	"强"	"Ⅱ5A0463"	"中蔬引吉林延吉市"	"--"	"0.870"	"4下-5下-7上"	"--"	"平"
"121"	"--"	"C79254"	"无锡早"	"攀援蔓生"	"WU XI ZAO"	"0.5"	"江苏"	"100.0"	"--"	"中"	"绿"	"--"	"1.440"	"掌状"	"--"	"--"	"76.70"	"2000"	"--"	"奶油色"	"--"	"圆柱形"	"--"	"中"	"7"	"-0.200"	"66.70"	"V05A1006"	"中国农科院蔬菜所"	"90.3"	"1.280"	"--"	"Ⅱ5A0412"	"中蔬引江苏无锡市"	"--"	"0.210"	"4下-5下-6下"	"--"	"平"
"122"	"中"	"C81179"	"旅顺本地"	"攀援蔓生"	"LU SHUN BEN DI"	"0.2"	"辽宁"	"96.6"	"少"	"中"	"绿"	"--"	"0.410"	"掌状"	"--"	"--"	"86.70"	"--"	"黑"	"奶油色"	"--"	"圆柱形"	"--"	"微甜"	"6"	"-0.490"	"73.30"	"V05A1009"	"中国农科院蔬菜所"	"87.5"	"0.990"	"强"	"Ⅱ5A0452"	"中蔬引辽宁大连市"	"--"	"0.340"	"4下-5下-6下"	"--"	"平"
"123"	"早"	"C79200"	"澄海早黄瓜"	"攀援蔓生"	"CHENG HAI ZAO HUANG GUA"	"0.1"	"云南"	"83.3"	"少"	"中"	"绿"	"--"	"-0.270"	"掌状"	"--"	"--"	"83.30"	"--"	"白"	"奶油色"	"--"	"梨形"	"--"	"微甜"	"5"	"0.620"	"60.00"	"V05A1023"	"中国农科院蔬菜所"	"100.0"	"1.310"	"中"	"Ⅱ5A0464"	"中蔬引云南东川市"	"--"	"-0.930"	"4下-5下-6下"	"--"	"平"
"124"	"--"	"7415"	"阿德波哈密"	"攀援蔓生"	"A DE BO HA MI"	"0.2"	"国外"	"100.0"	"--"	"弱"	"绿"	"--"	"2.000"	"掌状"	"--"	"--"	"23.30"	"1750"	"黑"	"奶油色"	"指霜霉病"	"圆柱形"	"--"	"中"	"6"	"0.160"	"70.00"	"V05A1034"	"中国农科院蔬菜所"	"30.8"	"0.790"	"--"	"Ⅱ5A0408"	"中蔬引自法国"	"--"	"1.370"	"4下-5下-6下"	"--"	"棱"
"125"	"中"	"C79030"	"日本四叶"	"攀援蔓生"	"RI BEN SI YE"	"0.3"	"国外"	"100.0"	"少"	"中"	"绿"	"--"	"-0.090"	"掌状"	"--"	"--"	"90.00"	"--"	"黑"	"奶油色"	"--"	"长曲条"	"--"	"微甜"	"7"	"-0.810"	"76.70"	"V05A1042"	"中国农科院蔬菜所"	"82.5"	"0.420"	"强"	"Ⅱ5A0450"	"中蔬引自日本"	"--"	"0.370"	"4下-5下-6下"	"--"	"平"
"126"	"--"	"5-A-7-2"	"小八杈"	"攀援蔓生"	"XIAO BA CHA"	"0.4"	"山西"	"26.7"	"少"	"强"	"绿"	"--"	"2.700"	"其它"	"--"	"--"	"13.30"	"4440"	"黑"	"褐色"	"--"	"椭圆形"	"少"	"疏松水多"	"--"	"2.550"	"70.00"	"V05A1052"	"中国农科院蔬菜所"	"100.0"	"3.460"	"--"	"Ⅱ5A0095"	"中蔬引自山西"	"--"	"0.440"	"4下-6下"	"--"	"平"
"127"	"中"	"S-A-3-31"	"黄油条"	"攀援蔓生"	"HUANG YOU TIAO"	"0.4"	"云南"	"100.0"	"中"	"强"	"绿"	"--"	"0.240"	"掌状"	"--"	"--"	"100.00"	"--"	"--"	"黄色"	"--"	"圆柱形"	"中"	"圆滑致密"	"5"	"5.030"	"69.30"	"V05A1061"	"中国农科院蔬菜所"	"94.0"	"-0.170"	"中"	"Ⅱ5A0980"	"中蔬引自云南"	"--"	"0.110"	"5下-8中"	"--"	"棱"
