"id"	"邯郸穗粒重"	"品种名称"	"邯郸穗粒数"	"哈市穗粒数"	"杭州成熟型"	"耐盐芽期"	"黄花叶病"	"原产地"	"统一编号"	"北京成熟型"	"邯郸千粒重"	"条纹病"	"杭州千粒重"	"哈市成熟型"	"哈市穗粒重"	"北京穗粒数"	"哈市株粒重"	"白粉病"	"北京株高"	"北京株粒重"	"邯郸株高"	"优异性状"	"哈市千粒重"	"西宁成熟型"	"NO"	"哈市株高"	"西宁穗粒数"	"棱型"	"皮裸"	"杭州株高"	"杭州穗粒数"	"邯郸成熟型"	"耐盐苗期"	"西宁株高"	"北京千粒重"	"赤霉病"	"北京穗粒重"	"杭州穗粒重"	"西宁株粒重"	"西宁千粒重"	"邯郸株粒重"	"西宁穗粒重"	"杭州株粒重"
"116"	".8"	"088-221"	"22"	"22"	"极晚"	"5"	"HS"	"法国"	"WDM03538"	"中"	"38.4"	"HS"	"45.8"	"早"	"1.1"	"25"	"4.1"	"HS"	"65"	"2.2"	"59"	"矮秆"	"48.4"	"早"	"117"	"51"	"24"	"2"	"皮"	"48"	"16"	"晚"	"4"	"66"	"28"	"S"	".5"	".8"	"6.8"	"46.9"	"5.8"	".9"	"2.4"
"117"	"1.1"	"088-50"	"26"	"29"	"晚"	"5"	"HS"	"法国"	"WDM03551"	"中"	"41.3"	"HS"	"36.2"	"中"	"1.4"	"29"	"4.1"	"MS"	"75"	"3.9"	"69"	"矮秆"	"49.4"	"早"	"118"	"57"	"24"	"2"	"皮"	"58"	"18"	"晚"	"2"	"71"	"32.5"	"S"	".8"	".7"	"6.9"	"45.8"	"9.4"	"1"	"3.4"
"118"	"1.1"	"ZF2118"	"24"	"31"	"晚"	"4"	"HS"	"法国"	"WDM05989"	"晚"	"45.9"	"HS"	"46"	"晚"	"1.6"	"22"	"5.8"	"MS"	"84"	"3"	"79"	"矮秆"	"49"	"早"	"119"	"77"	"30"	"2"	"皮"	"65"	"17"	"晚"	"4"	"92"	"38.4"	"MS"	".8"	".8"	"7.8"	"51.1"	"8"	"1.4"	"3.5"
"119"	".8"	"ZF2618"	"18"	"25"	"极晚"	"1"	"HS"	"法国"	"WDM06014"	"极晚"	"43.4"	"HS"	"41.4"	"晚"	"1.2"	"26"	"4.5"	"HS"	"66"	"1.5"	"71"	"矮秆,较耐盐"	"45"	"早"	"120"	"62"	"25"	"2"	"皮"	"53"	"13"	"晚"	"3"	"70"	"23.9"	"HS"	".4"	".6"	"5"	"43.6"	"6.9"	"1"	"2.8"
"122"	".7"	"Harmal"	"16"	"14"	"早"	"5"	"HS"	"叙利亚"	"WDM04948"	"早"	"43.3"	"MS"	"42.3"	"早"	".7"	"17"	"3.4"	"MS"	"75"	"4.1"	"73"	"矮秆,早熟,中抗赤霉病"	"48.8"	"早"	"123"	"63"	"15"	"2"	"皮"	"70"	"12"	"中"	"3"	"78"	"35.1"	"MR"	".6"	".5"	"5.5"	"56.3"	"7.9"	".7"	"2.2"
"123"	"1.3"	"040542"	"45"	"30"	"晚"	"4"	"HR"	"日本"	"WDM03503"	"中"	"27.6"	"R"	"26.1"	"晚"	".8"	"68"	"1.9"	"MS"	"53"	"4.4"	"51"	"矮秆,高抗黄花叶病,中抗赤霉病,抗条纹病"	"26.8"	"早"	"124"	"50"	"48"	"6"	"皮"	"70"	"45"	"中"	"4"	"49"	"24.7"	"MR"	".8"	"1.2"	"2.7"	"26.1"	"7.7"	".9"	"4.9"
"124"	"1"	"070168"	"45"	"--"	"晚"	"5"	"R"	"日本"	"WDM03504"	"中"	"23.4"	"HS"	"24.1"	"没抽穗"	"--"	"60"	"--"	"MR"	"54"	"3.8"	"62"	"矮秆,抗黄花叶病,中抗白粉病"	"0"	"早"	"125"	"--"	"46"	"6"	"裸"	"68"	"37"	"中"	"4"	"48"	"19.9"	"S"	".9"	".9"	"5.1"	"48.6"	"6.8"	"1.6"	"3.8"
"125"	"1.3"	"倍取10号"	"46"	"46"	"晚"	"4"	"HR"	"日本"	"WDM06143"	"早"	"28.5"	"R"	"24.2"	"晚"	"1.4"	"64"	"5.3"	"MS"	"63"	"4.5"	"67"	"矮秆,高抗黄花叶病,抗条纹病"	"31.4"	"早"	"127"	"47"	"52"	"6"	"皮"	"88"	"44"	"晚"	"4"	"73"	"27.9"	"S"	"1"	"1.1"	"11.5"	"32.4"	"6.6"	"1.5"	"4"
"126"	"1.3"	"Muanbori"	"50"	"49"	"晚"	"5"	"R"	"日本"	"WDM05418"	"早"	"29.3"	"R"	"28"	"晚"	"1.4"	"59"	"2.7"	"MS"	"68"	"4.3"	"74"	"抗黄花叶病、赤霉病、条纹病"	"28.4"	"特早"	"128"	"46"	"43"	"6"	"裸"	"87"	"32"	"中"	"4"	"81"	"27.5"	"R"	"1.3"	".9"	"2.5"	"33"	"9.6"	"1"	"3.3"
"127"	".9"	"Mette"	"21"	"24"	"晚"	"3"	"HS"	"日本"	"WDM05392"	"中"	"43.9"	"R"	"45.4"	"晚"	"1.3"	"27"	"5.5"	"HS"	"79"	"5.8"	"71"	"矮秆,抗条纹病"	"50.7"	"早"	"129"	"69"	"25"	"2"	"皮"	"70"	"12"	"极晚"	"3"	"88"	"38.4"	"MS"	".7"	".5"	"7.7"	"50.8"	"7.5"	"1.1"	"2.4"
"128"	".9"	"九州二条9号"	"23"	"21"	"早"	"4"	"R"	"河北邯郸"	"WDN06191"	"早"	"42.5"	"R"	"44.7"	"早"	"1.1"	"26"	"4.1"	"MS"	"80"	"4.3"	"76"	"抗赤霉病、条纹病、黄花叶病"	"48.3"	"早"	"130"	"63"	"20"	"2"	"皮"	"85"	"18"	"中"	"4"	"88"	"39.2"	"MR"	".8"	".8"	"5.7"	"50"	"8"	".9"	"3.5"
"129"	"1"	"九州二条10号"	"25"	"22"	"早"	"4"	"R"	"日本"	"WDM06190"	"早"	"42.1"	"HS"	"45"	"早"	"1.1"	"27"	"5"	"HS"	"80"	"4.6"	"74"	"抗黄花叶病,中抗赤霉病"	"48.7"	"早"	"131"	"63"	"24"	"2"	"皮"	"78"	"22"	"中"	"4"	"93"	"35.5"	"MR"	".7"	"1"	"8.1"	"49.3"	"8.3"	"1.1"	"3.9"
"130"	"1.5"	"四国裸86号"	"52"	"--"	"早"	"5"	"R"	"日本"	"WDM06223"	"中"	"29.3"	"R"	"42.9"	"晚"	"--"	"57"	"--"	"MS"	"61"	"5.2"	"62"	"矮秆,中抗赤霉病,抗黄花叶病、条纹病"	"17.8"	"早"	"132"	"--"	"46"	"6"	"裸"	"68"	"28"	"中"	"4"	"50"	"25"	"MR"	"1"	"1.2"	"1.1"	"25.3"	"9.5"	".7"	"3.7"
"131"	"1.3"	"四国裸87号"	"51"	"48"	"晚"	"4"	"HR"	"日本"	"WDM06224"	"中"	"28.3"	"HS"	"30.8"	"晚"	"1"	"55"	"1.3"	"MR"	"59"	"5.2"	"62"	"矮秆,高抗黄花叶病,抗条纹病、白粉病"	"26.4"	"特早"	"133"	"29"	"46"	"6"	"裸"	"70"	"34"	"中"	"4"	"70"	"25.9"	"MR"	"1.2"	"1.1"	"11.6"	"30.4"	"8.4"	"1.4"	"3.9"
"132"	"1.5"	"四国裸89号"	"49"	"41"	"晚"	"5"	"R"	"日本"	"WDM06226"	"晚"	"32.5"	"R"	"33.2"	"中"	"1.1"	"68"	"1.7"	"MR"	"61"	"5.6"	"66"	"矮秆,抗黄花叶病,抗白粉、赤霉、条纹病"	"28.2"	"特早"	"134"	"73"	"45"	"6"	"裸"	"70"	"29"	"中"	"4"	"69"	"25.6"	"MR"	"1.3"	"1"	"5.2"	"28.7"	"10.6"	"1.1"	"3.3"
"133"	"1.8"	"四R系48号"	"61"	"41"	"晚"	"5"	"HR"	"日本"	"WDM06221"	"早"	"30.3"	"R"	"37.6"	"早"	"1.2"	"61"	"2.9"	"MS"	"62"	"4.4"	"70"	"矮秆,抗黄花叶病、条纹病"	"26.3"	"特早"	"135"	"45"	"45"	"6"	"皮"	"70"	"14"	"中"	"4"	"66"	"26.4"	"HS"	"1.1"	".5"	"3.8"	"29.4"	"9.3"	"1.1"	"1.8"
"134"	"1"	"西海皮44号"	"24"	"20"	"早"	"4"	"R"	"日本"	"WDM06234"	"早"	"45"	"R"	"26.8"	"早"	"1"	"24"	"4.8"	"HS"	"67"	"5.8"	"68"	"矮秆,抗黄花叶病、条纹病"	"48.6"	"特早"	"136"	"56"	"23"	"2"	"皮"	"65"	"30"	"中"	"4"	"82"	"40.5"	"HS"	".8"	".8"	"7"	"50.5"	"7.3"	".9"	"2.8"
"135"	"1"	"西海皮45号"	"23"	"19"	"早"	"4"	"R"	"日本"	"WDM06235"	"中"	"44"	"R"	"44.4"	"早"	".9"	"24"	"4.5"	"MS"	"73"	"4.1"	"68"	"矮秆,抗黄花叶病、条纹病、赤霉病"	"48.3"	"特早"	"137"	"57"	"23"	"2"	"皮"	"65"	"15"	"中"	"4"	"81"	"42.8"	"R"	".8"	".7"	"5.3"	"48.6"	"8.8"	".9"	"2.3"
"136"	"1.1"	"西海皮47号"	"33"	"--"	"晚"	"5"	"HR"	"日本"	"WDM06236"	"中"	"36.6"	"MS"	"39.4"	"没抽穗"	"--"	"32"	"--"	"MS"	"84"	"4.9"	"66"	"抗黄花叶病、赤霉病"	"0"	"特早"	"138"	"--"	"23"	"2"	"皮"	"70"	"16"	"中"	"3"	"81"	"40.7"	"R"	"1"	".6"	"3.2"	"45"	"6.1"	"1.2"	"3.7"
"138"	"1.7"	"老脱穗"	"47"	"35"	"中"	"3"	"S"	"上海"	"ZDM02506"	"中"	"35.4"	"R"	"21.7"	"晚"	"1"	"55"	"5.2"	"HS"	"108"	"4.9"	"112"	"抗赤霉病、条纹病"	"32.2"	"特早"	"140"	"106"	"43"	"6"	"皮"	"120"	"49"	"中"	"4"	"92"	"30.8"	"R"	"1.1"	"1.1"	"2.3"	"33.7"	"13.2"	"1.1"	"4.1"
"139"	"1.3"	"大麦"	"37"	"44"	"中"	"5"	"R"	"上海金山"	"ZDM02524"	"中"	"32.3"	"MS"	"8.3"	"晚"	".8"	"52"	"8.5"	"MR"	"103"	"4.1"	"102"	"高蛋白,抗黄花叶病,中抗白粉病"	"19.4"	"早"	"141"	"116"	"44"	"6"	"皮"	"120"	"42"	"中"	"4"	"92"	"33"	"S"	"1"	".3"	"2.6"	"28.4"	"10.3"	".9"	"1.5"
"140"	"1.1"	"米麦"	"46"	"56"	"中"	"2"	"HS"	"湖北孝感"	"ZDM03449"	"中"	"27"	"R"	"21.8"	"晚"	".8"	"61"	"5.4"	"MS"	"99"	"4"	"98"	"高蛋白,抗赤霉病,抗条纹病"	"15.6"	"早"	"142"	"101"	"44"	"6"	"裸"	"104"	"48"	"中"	"4"	"90"	"23.3"	"R"	".9"	"1"	"2.9"	"33.2"	"8.5"	"1.7"	"4"
"141"	"1.5"	"六棱子"	"50"	"51"	"中"	"5"	"S"	"湖北谷城"	"ZDM03490"	"早"	"28.9"	"R"	"31.8"	"早"	"1.7"	"55"	"3.9"	"MS"	"94"	"4.9"	"92"	"高蛋白,抗赤霉病,抗条纹病"	"33.8"	"特早"	"143"	"70"	"33"	"6"	"裸"	"94"	"47"	"中"	"5"	"100"	"26.9"	"R"	"1.1"	"1.5"	"4.1"	"35.3"	"12.2"	"1.8"	"5.7"
"142"	"1.6"	"岳池黑大麦"	"50"	"37"	"中"	"5"	"HS"	"四川岳池"	"ZDM03675"	"特早"	"28.7"	"R"	"31.2"	"早"	"1.3"	"41"	"4.7"	"MS"	"108"	"5.2"	"103"	"蛋白质含量较高,抗条纹病"	"34.2"	"特早"	"144"	"82"	"46"	"6"	"皮"	"100"	"37"	"中"	"5"	"101"	"37.3"	"S"	"1.2"	"1.2"	"5.4"	"34.2"	"10.5"	"2"	"4.5"
"143"	".6"	"紫光芒裸二棱"	"18"	"13"	"晚"	"2"	"HS"	"云南昭通"	"ZDM05389"	"早"	"38.5"	"R"	"39.3"	"早"	".6"	"21"	"2.2"	"MS"	"100"	"3.9"	"87"	"高蛋白,抗条纹病"	"34.7"	"早"	"145"	"72"	"16"	"2"	"裸"	"88"	"14"	"中"	"5"	"98"	"38.8"	"HS"	".7"	".5"	"3.2"	"37.6"	"5.4"	".6"	"1.8"
"144"	"1.5"	"佳山六棱"	"45"	"61"	"中"	"2"	"HS"	"四川理县"	"ZDM08799"	"早"	"35.5"	"R"	"30.6"	"中"	"2.1"	"72"	"6.4"	"HS"	"94"	"4"	"93"	"高蛋白,抗条纹病,中抗赤霉病"	"32.3"	"早"	"146"	"97"	"61"	"6"	"裸"	"84"	"35"	"晚"	"5"	"108"	"35"	"MR"	"1.9"	"1.1"	"11.3"	"42"	"11.2"	"2.5"	"2.9"
"145"	"1.1"	"光头大麦"	"43"	"--"	"早"	"5"	"HS"	"贵州"	"ZDM08961"	"中"	"26.7"	"R"	"27.4"	"没抽穗"	"--"	"65"	"--"	"MS"	"103"	"3.6"	"103"	"高蛋白,抗条纹病"	"--"	"早"	"147"	"--"	"63"	"6"	"裸"	"94"	"36"	"中"	"4"	"109"	"21.8"	"S"	".8"	"1"	"7.9"	"43.4"	"9.1"	"2.5"	"4"
"146"	"1.4"	"光头老麦"	"54"	"59"	"中"	"5"	"HS"	"贵州安顺"	"ZDM08970"	"早"	"24.9"	"R"	"24.1"	"中"	"1.2"	"61"	"3.9"	"MS"	"109"	"6.1"	"110"	"蛋白质含量较高,抗条纹病"	"30.1"	"特早"	"148"	"94"	"48"	"6"	"皮"	"103"	"51"	"中"	"4"	"110"	"30.2"	"S"	"1.4"	"1.2"	"5"	"31.7"	"11"	"1.3"	"4.5"
"147"	"1.3"	"米老麦"	"52"	"--"	"中"	"5"	"HS"	"贵州赤水"	"ZDM08976"	"中"	"25.8"	"R"	"25.6"	"没抽穗"	"--"	"72"	"--"	"HS"	"104"	"4.8"	"103"	"高蛋白,中抗赤霉病,抗条纹病"	"0"	"早"	"149"	"--"	"46"	"6"	"裸"	"95"	"37"	"中"	"4"	"95"	"21"	"MR"	"1.1"	"1"	"4.1"	"19.8"	"12"	".8"	"3.3"
"148"	"1.5"	"光头麦"	"49"	"0"	"晚"	"3"	"HS"	"贵州丹寨"	"ZDM08980"	"中"	"30.1"	"R"	"24"	"没抽穗"	"0"	"60"	"0"	"MR"	"90"	"5.5"	"97"	"高蛋白,抗赤霉病,抗条纹病,中抗白粉病"	"0"	"中"	"150"	"0"	"53"	"6"	"皮"	"98"	"56"	"中"	"4"	"90"	"28.2"	"R"	"1.3"	"1.3"	"2.8"	"31.3"	"11.4"	".7"	"3.9"
"149"	"1.6"	"老麦"	"55"	"--"	"晚"	"3"	"HS"	"贵州关岭"	"ZDM08987"	"晚"	"33.9"	"R"	"28.1"	"没抽穗"	"--"	"67"	"--"	"MS"	"99"	"3.2"	"102"	"高蛋白,抗赤霉病,抗条纹病"	"0"	"早"	"151"	"--"	"69"	"6"	"裸"	"104"	"54"	"中"	"5"	"99"	"27.6"	"R"	"1.2"	"1.5"	"3.2"	"30.6"	"10.9"	"1.4"	"5.6"
"150"	".9"	"宽颖大麦(12)"	"21"	"16"	"晚"	"3"	"HS"	"云南禄劝"	"ZDM09131"	"中"	"38.8"	"R"	"39.2"	"早"	".7"	"25"	"3.1"	"MS"	"92"	"2.8"	"96"	"高蛋白,抗条纹病"	"44"	"早"	"152"	"76"	"20"	"2"	"皮"	"91"	"14"	"晚"	"5"	"97"	"39.8"	"S"	".9"	".6"	"3.3"	"40.4"	"6.7"	".8"	"1.9"
"151"	"1"	"宽颖大麦(3)"	"21"	"17"	"晚"	"4"	"HS"	"云南禄劝"	"ZDM09144"	"中"	"46.3"	"R"	"44.6"	"早"	".8"	"20"	"2.7"	"HS"	"95"	"3.7"	"100"	"高蛋白,抗条纹病"	"46"	"特早"	"153"	"76"	"18"	"2"	"皮"	"90"	"15"	"晚"	"4"	"101"	"46.5"	"MS"	".8"	".7"	"4.2"	"45.8"	"9.4"	".6"	"2.3"
"152"	"1"	"宽颖大麦(4)"	"20"	"18"	"晚"	"4"	"HS"	"云南禄劝"	"ZDM09145"	"中"	"49.7"	"R"	"47.5"	"早"	".9"	"22"	"3.5"	"MS"	"95"	"3.2"	"92"	"高蛋白,抗条纹病"	"47.3"	"早"	"154"	"73"	"19"	"2"	"皮"	"89"	"13"	"晚"	"4"	"100"	"43.6"	"S"	".7"	".6"	"3.6"	"44.7"	"9.2"	".7"	"2"
"153"	".8"	"宽颖裸麦"	"20"	"22"	"中"	"1"	"R"	"云南禄劝"	"ZDM09151"	"早"	"41.5"	"HS"	"37.7"	"中"	"--"	"22"	"--"	"HS"	"96"	"4.4"	"95"	"高蛋白,抗黄花叶病"	"--"	"特早"	"155"	"66"	"19"	"2"	"裸"	"89"	"18"	"中"	"5"	"79"	"46.9"	"MS"	".8"	".7"	"2.3"	"40.6"	"7.5"	".5"	"2.6"
"154"	".7"	"黄长光大麦"	"17"	"16"	"中"	"1"	"HS"	"云南昭通"	"ZDM09177"	"早"	"42.3"	"R"	"34"	"早"	".7"	"22"	"2.9"	"HS"	"91"	"3.7"	"92"	"高蛋白,抗赤霉病,抗条纹病"	"40.5"	"特早"	"156"	"79"	"17"	"2"	"裸"	"92"	"17"	"晚"	"5"	"101"	"41.9"	"R"	".6"	".6"	"3.5"	"34.7"	"6.2"	".6"	"2.5"
"155"	"2.1"	"绵阳87-10"	"57"	"57"	"中"	"5"	"HS"	"四川绵阳市农科所"	"ZDM09679"	"中"	"37.3"	"R"	"32.6"	"中"	"1"	"62"	"4.2"	"HS"	"78"	"4"	"78"	"高蛋白,中抗赤霉病,抗条纹病,成穗率高,穗齐"	"34.2"	"特早"	"157"	"68"	"50"	"6"	"皮"	"71"	"33"	"极晚"	"5"	"89"	"26.4"	"MR"	"1"	"1.1"	"6.9"	"40.1"	"13.9"	"1.7"	"3.5"
"156"	"1.6"	"Puebla"	"45"	"42"	"中"	"5"	"HS"	"墨西哥"	"WDM02451"	"中"	"40.4"	"R"	"33"	"中"	"1.7"	"56"	"5.4"	"HS"	"86"	"6.6"	"78"	"高蛋白,中抗赤霉病,抗条纹病"	"40"	"特早"	"158"	"66"	"43"	"6"	"皮"	"65"	"18"	"晚"	"4"	"90"	"33.7"	"MR"	"1.3"	".6"	"6.4"	"43.6"	"10.4"	"1.5"	"2.7"
"157"	".9"	"M66-151..."	"21"	"22"	"极晚"	"5"	"HS"	"墨西哥"	"WDM03176"	"晚"	"47.1"	"S"	"48.9"	"中"	"1"	"19"	"3.8"	"HS"	"62"	"2.4"	"60"	"高蛋白,粒较大,矮秆"	"46"	"特早"	"159"	"66"	"21"	"2"	"裸"	"57"	"11"	"晚"	"5"	"65"	"41.9"	"MS"	".6"	".6"	"4.4"	"44.5"	"8.1"	".8"	"2.5"
"158"	"1.1"	"埃赛B8"	"20"	"20"	"早"	"4"	"HS"	"埃塞俄比亚"	"WDM06134"	"中"	"58.4"	"R"	"46.2"	"中"	".9"	"24"	"6.4"	"HS"	"100"	"6.3"	"86"	"高蛋白,粒较大,抗赤霉病、条纹病"	"48.9"	"特早"	"160"	"84"	"21"	"2"	"皮"	"85"	"13"	"晚"	"4"	"105"	"47.3"	"R"	".8"	".6"	"5.1"	"52.9"	"9.6"	"1"	"3.4"
"159"	"1.1"	"秀81-5"	"24"	"29"	"特早"	"5"	"HS"	"浙江嘉兴市农科所"	"ZDM09527"	"早"	"45.5"	"R"	"40.7"	"早"	"1.4"	"26"	"5.2"	"HS"	"80"	"5.4"	"65"	"粒较大,早熟,抗赤霉病、条纹病"	"49.3"	"特早"	"161"	"83"	"24"	"2"	"皮"	"74"	"20"	"中"	"5"	"65"	"42.6"	"R"	"1"	".8"	"3.9"	"47"	"6.6"	".8"	"3.2"
"160"	"1.2"	"154选系"	"24"	"25"	"早"	"5"	"HS"	"浙江农科院"	"ZDM09534"	"早"	"49.4"	"R"	"43.9"	"早"	"1.2"	"28"	"5"	"MS"	"92"	"3.7"	"82"	"粒较大,早熟,中抗赤霉病,抗条纹病"	"47.4"	"特早"	"162"	"69"	"28"	"2"	"皮"	"77"	"16"	"中"	"4"	"114"	"42.1"	"MR"	".9"	".7"	"6.6"	"46"	"8.3"	"1.2"	"2.7"
"161"	"1.3"	"浙86-166"	"24"	"20"	"早"	"5"	"S"	"浙江农科院"	"ZDM09537"	"早"	"50.6"	"R"	"47.2"	"早"	"1.1"	"24"	"4.5"	"MS"	"81"	"4.9"	"74"	"大粒,早熟,抗赤霉病、条纹病"	"52.8"	"特早"	"163"	"69"	"20"	"2"	"皮"	"84"	"22"	"中"	"4"	"98"	"43.9"	"R"	".9"	"1"	"5.4"	"54.8"	"7.5"	"1"	"5.5"
"162"	"1.4"	"浙88-23"	"26"	"20"	"早"	"5"	"HS"	"浙江农业大学"	"ZDM09547"	"早"	"51"	"R"	"49.7"	"早"	"1"	"24"	"3.6"	"HS"	"71"	"3"	"67"	"大粒,早熟,中抗赤霉病,抗条纹病"	"50.3"	"特早"	"164"	"56"	"20"	"2"	"皮"	"74"	"19"	"中"	"5"	"78"	"43.5"	"MR"	"1.1"	"1"	"4.6"	"55"	"6.9"	"1.4"	"3.8"
"163"	"1.1"	"Forrest"	"24"	"17"	"晚"	"5"	"HS"	"澳大利亚"	"WDM04578"	"中"	"52.5"	"R"	"50.9"	"中"	"1"	"20"	"4"	"HS"	"89"	"2.7"	"83"	"大粒,中抗赤霉病,抗条纹病"	"55.7"	"特早"	"165"	"72"	"22"	"2"	"皮"	"67"	"10"	"中"	"5"	"102"	"41.4"	"MR"	".7"	".5"	"7.5"	"60.6"	"7.3"	"1.1"	"2.3"
"164"	".9"	"澳大利亚品种"	"22"	"17"	"晚"	"5"	"HS"	"澳大利亚"	"WDM06138"	"中"	"43"	"R"	"45.2"	"中"	"1"	"20"	"4.2"	"HS"	"89"	"3.2"	"78"	"粒较大,中抗赤霉病,抗条纹病"	"53.6"	"特早"	"166"	"65"	"20"	"2"	"皮"	"68"	"14"	"晚"	"5"	"94"	"40.4"	"MR"	".7"	".7"	"5.5"	"52.7"	"7.7"	"1"	"3"
"165"	"1.1"	"A16//2728..."	"23"	"19"	"晚"	"5"	"HS"	"叙利亚"	"WDM03649"	"中"	"46.4"	"R"	"36.2"	"中"	"1.1"	"23"	"4.8"	"HS"	"81"	"5.5"	"75"	"粒较大,抗赤霉病,抗条纹病"	"53"	"特早"	"167"	"60"	"23"	"2"	"皮"	"65"	"16"	"晚"	"5"	"92"	"47.5"	"R"	".9"	".6"	"6.8"	"52.5"	"7.6"	"1.2"	"3.1"
"166"	"1.3"	"S-097"	"21"	"20"	"晚"	"4"	"HS"	"墨西哥"	"WDM05655"	"早"	"63.3"	"R"	"62.9"	"早"	"1.3"	"22"	"4.8"	"MS"	"94"	"6.6"	"78"	"粒较大,中抗赤霉病,抗条纹病"	"65"	"特早"	"168"	"70"	"19"	"2"	"皮"	"85"	"15"	"晚"	"3"	"101"	"61.8"	"MR"	"1.2"	".9"	"5.6"	"69"	"7.8"	"1.1"	"3.2"
"167"	"1.2"	"品种号37337"	"24"	"18"	"极晚"	"5"	"HS"	"土耳其"	"WDM06210"	"中"	"49.9"	"R"	"44.7"	"中"	"1.1"	"23"	"4"	"MS"	"93"	"3.2"	"92"	"大粒,中抗赤霉病,抗条纹病"	"59.1"	"特早"	"169"	"76"	"24"	"2"	"皮"	"85"	"15"	"晚"	"4"	"103"	"49.2"	"MR"	".8"	".7"	"10.3"	"60.4"	"8.1"	"1.5"	"3.4"
"168"	"1"	"品种号37360"	"22"	"22"	"早"	"2"	"HS"	"土耳其"	"WDM06211"	"中"	"46.5"	"R"	"37.6"	"中"	"1.1"	"24"	"3.6"	"HS"	"87"	"2.8"	"80"	"中抗赤霉病,抗条纹病"	"50.5"	"特早"	"170"	"77"	"27"	"2"	"皮"	"77"	"11"	"中"	"4"	"86"	"38.3"	"MR"	".6"	".4"	"9.4"	"51.5"	"7.8"	"1.4"	"3.1"
"169"	"1.1"	"Gorgon4"	"23"	"19"	"极晚"	"5"	"HS"	"伊朗"	"WDM04914"	"中"	"50"	"R"	"38"	"中"	"1.1"	"24"	"3.9"	"HS"	"98"	"4.7"	"91"	"抗赤霉病,抗条纹病"	"59.8"	"特早"	"171"	"71"	"22"	"2"	"皮"	"88"	"15"	"晚"	"4"	"105"	"47.1"	"R"	"1.1"	".6"	"6.1"	"50.8"	"8.6"	"1.2"	"3.2"
"170"	"1.3"	"PLD10342//..."	"23"	"19"	"极晚"	"5"	"HS"	"叙利亚"	"WDM05513"	"中"	"53.2"	"R"	"46.8"	"中"	"1.1"	"23"	"4.3"	"MS"	"93"	"7.2"	"82"	"大粒,中抗赤霉病,抗条纹病"	"55"	"特早"	"172"	"70"	"22"	"2"	"皮"	"73"	"11"	"中"	"4"	"89"	"53.9"	"MR"	"1.1"	".5"	"5.9"	"60.8"	"8.4"	"1.3"	"3.8"
"171"	"1"	"新田系10号"	"23"	"18"	"特早"	"3"	"HS"	"日本"	"WDM06238"	"特早"	"46.2"	"R"	"35.3"	"早"	".9"	"22"	"4.5"	"MS"	"82"	"4"	"72"	"早熟,抗赤霉病,抗条纹病"	"49.2"	"特早"	"173"	"65"	"19"	"2"	"皮"	"75"	"19"	"中"	"4"	"86"	"40.9"	"R"	".8"	".7"	"4.2"	"47.4"	"7.3"	".8"	"4.5"
"172"	"1"	"Mora"	"17"	"20"	"早"	"4"	"HS"	"墨西哥"	"WDM05166"	"早"	"57"	"R"	"45.6"	"早"	"1.3"	"21"	"4.4"	"HS"	"100"	"3.8"	"74"	"大粒,中抗条纹病,熟相好"	"53.1"	"特早"	"174"	"79"	"19"	"2"	"皮"	"65"	"11"	"中"	"4"	"96"	"53.6"	"S"	".8"	".5"	"5.7"	"56.3"	"5.2"	"1"	"2.3"
"173"	"1.7"	"78W40794"	"36"	"52"	"中"	"5"	"HS"	"墨西哥"	"WDM03614"	"中"	"45.3"	"MR"	"44.5"	"中"	"2.5"	"43"	"5.8"	"HS"	"85"	"4.2"	"75"	"粒较大,中抗条纹病"	"46.3"	"特早"	"175"	"71"	"40"	"6"	"皮"	"65"	"22"	"晚"	"3"	"91"	"46.9"	"HS"	"1.3"	"1"	"6.8"	"43.5"	"12.7"	"1.4"	"6"
"174"	"2.5"	"Cr270.2.3"	"44"	"46"	"极晚"	"5"	"HS"	"墨西哥"	"WDM04492"	"中"	"51.3"	"R"	"48.8"	"中"	"2.4"	"44"	"5.2"	"MS"	"90"	"5.4"	"77"	"大粒,中抗赤霉病,抗条纹病"	"52.3"	"特早"	"176"	"63"	"40"	"6"	"皮"	"78"	"38"	"极晚"	"3"	"100"	"46.6"	"MR"	"1.7"	"1.9"	"8.7"	"55.6"	"13.2"	"2.1"	"5.9"
"175"	"1.7"	"Prelpre-5-(26)"	"22"	"24"	"特早"	"3"	"S"	"墨西哥"	"WDM05533"	"早"	"50.2"	"R"	"45.8"	"早"	"1.3"	"22"	"4.4"	"MS"	"93"	"3.6"	"81"	"大粒,早熟,中抗赤霉病,抗条纹病"	"51.9"	"特早"	"177"	"84"	"23"	"2"	"皮"	"82"	"17"	"中"	"4"	"105"	"49.2"	"MR"	".9"	".8"	"5.7"	"54.5"	"12.3"	"1.2"	"4"
"176"	"1.1"	"Masass-225-(51)"	"21"	"25"	"极晚"	"4"	"S"	"墨西哥"	"WDM05380"	"中"	"49.5"	"HS"	"53.4"	"早"	"1.4"	"26"	"4.5"	"HS"	"102"	"4.3"	"90"	"大粒,中抗赤霉病"	"53.5"	"特早"	"178"	"83"	"26"	"2"	"皮"	"80"	"13"	"晚"	"3"	"113"	"52.8"	"MR"	"1.2"	".7"	"3.5"	"51.8"	"7.8"	"1.1"	"3.2"
