"标题"	"目录"	"年鉴页码"	"编号"	"年鉴年份"	"CAJ"	"PDF"	"EXCEL"	"id"
"16-7 沿海开放县农村经济情况"	"十六、区域农村经济"	"407"	"N2006010438000285"	"1994"	"yearbooks/N2006010438000285.caj"	"yearbooks/N2006010438000285.pdf"	"yearbooks/N2006010438000285.xls"	"292"
"16-8 牧区农村经济情况"	"十六、区域农村经济"	"408"	"N2006010438000286"	"1994"	"yearbooks/N2006010438000286.caj"	"yearbooks/N2006010438000286.pdf"	"yearbooks/N2006010438000286.xls"	"293"
"16-9 国家商品粮基地县农村经济情况"	"十六、区域农村经济"	"409"	"N2006010438000287"	"1994"	"yearbooks/N2006010438000287.caj"	"yearbooks/N2006010438000287.pdf"	"yearbooks/N2006010438000287.xls"	"294"
"十七、县(市)农村经济"	"十七、县(市)农村经济"	"411-555"	"N2006010438000288"	"1994"	"yearbooks/N2006010438000288.caj"	"yearbooks/N2006010438000288.pdf"		"295"
"17-1 农林牧渔业总产值最高的100个县"	"十七、县(市)农村经济"	"413"	"N2006010438000289"	"1994"	"yearbooks/N2006010438000289.caj"	"yearbooks/N2006010438000289.pdf"	"yearbooks/N2006010438000289.xls"	"296"
"17-2 粮食总产量最高的100个县"	"十七、县(市)农村经济"	"414"	"N2006010438000290"	"1994"	"yearbooks/N2006010438000290.caj"	"yearbooks/N2006010438000290.pdf"	"yearbooks/N2006010438000290.xls"	"297"
"17-3 粮食出售量最高的100个县"	"十七、县(市)农村经济"	"415"	"N2006010438000291"	"1994"	"yearbooks/N2006010438000291.caj"	"yearbooks/N2006010438000291.pdf"	"yearbooks/N2006010438000291.xls"	"298"
"17-4 人均粮食占有量最高的100个县"	"十七、县(市)农村经济"	"416"	"N2006010438000292"	"1994"	"yearbooks/N2006010438000292.caj"	"yearbooks/N2006010438000292.pdf"	"yearbooks/N2006010438000292.xls"	"299"
"17-5 棉花总产量最高的100个县"	"十七、县(市)农村经济"	"417"	"N2006010438000293"	"1994"	"yearbooks/N2006010438000293.caj"	"yearbooks/N2006010438000293.pdf"	"yearbooks/N2006010438000293.xls"	"300"
"17-6 棉花出售量最高的100个县"	"十七、县(市)农村经济"	"418"	"N2006010438000294"	"1994"	"yearbooks/N2006010438000294.caj"	"yearbooks/N2006010438000294.pdf"	"yearbooks/N2006010438000294.xls"	"301"
"17-7 油料总产量最高的100个县"	"十七、县(市)农村经济"	"419"	"N2006010438000295"	"1994"	"yearbooks/N2006010438000295.caj"	"yearbooks/N2006010438000295.pdf"	"yearbooks/N2006010438000295.xls"	"302"
"17-8 糖料总产量最高的100个县"	"十七、县(市)农村经济"	"420"	"N2006010438000296"	"1994"	"yearbooks/N2006010438000296.caj"	"yearbooks/N2006010438000296.pdf"	"yearbooks/N2006010438000296.xls"	"303"
"17-9 猪牛羊肉总产量最高的100个县"	"十七、县(市)农村经济"	"421"	"N2006010438000297"	"1994"	"yearbooks/N2006010438000297.caj"	"yearbooks/N2006010438000297.pdf"	"yearbooks/N2006010438000297.xls"	"304"
"17-10 水产品产量最高的100个县"	"十七、县(市)农村经济"	"422"	"N2006010438000298"	"1994"	"yearbooks/N2006010438000298.caj"	"yearbooks/N2006010438000298.pdf"	"yearbooks/N2006010438000298.xls"	"305"
"17-11 水果产量最高的100个县"	"十七、县(市)农村经济"	"423"	"N2006010438000299"	"1994"	"yearbooks/N2006010438000299.caj"	"yearbooks/N2006010438000299.pdf"	"yearbooks/N2006010438000299.xls"	"306"
"17-12 国家扶持的粮食生产大县分县主要指标"	"十七、县(市)农村经济"	"424-437"	"N2006010438000300"	"1994"	"yearbooks/N2006010438000300.caj"	"yearbooks/N2006010438000300.pdf"	"yearbooks/N2006010438000300.xls"	"307"
"17-13 牧区县分县主要指标"	"十七、县(市)农村经济"	"438-441"	"N2006010438000301"	"1994"	"yearbooks/N2006010438000301.caj"	"yearbooks/N2006010438000301.pdf"	"yearbooks/N2006010438000301.xls"	"308"
"17-14 县(市)农村经济主要指标"	"十七、县(市)农村经济"	"442-555"	"N2006010438000302"	"1994"	"yearbooks/N2006010438000302.caj"	"yearbooks/N2006010438000302.pdf"	"yearbooks/N2006010438000302.xls"	"309"
"附录：主要指标解释"	"附录：主要指标解释"	"557+559-562"	"N2006010438000303"	"1994"	"yearbooks/N2006010438000303.caj"	"yearbooks/N2006010438000303.pdf"		"310"
"图片"	"图片"	"P4-P5"	"N2006010438000305"	"1994"	"yearbooks/N2006010438000305.caj"	"yearbooks/N2006010438000305.pdf"		"1"
"《中国农村统计年鉴》编委会和编辑人员名单"	"图片"	"P4"	"N2006010438000306"	"1994"	"yearbooks/N2006010438000306.caj"	"yearbooks/N2006010438000306.pdf"		"2"
"编者说明"	"图片"	"P5"	"N2006010438000307"	"1994"	"yearbooks/N2006010438000307.caj"	"yearbooks/N2006010438000307.pdf"		"3"
"1993年农村固定资产投资规模继续扩大"	"一、农村经济专文"	"23-24"	"N2006010438000308"	"1994"	"yearbooks/N2006010438000308.caj"	"yearbooks/N2006010438000308.pdf"		"11"
"1993年农业剩余劳动力转移速度明显加快"	"一、农村经济专文"	"25-27"	"N2006010438000309"	"1994"	"yearbooks/N2006010438000309.caj"	"yearbooks/N2006010438000309.pdf"		"12"
"1993年农村社区资金分布状况"	"一、农村经济专文"	"28-30"	"N2006010438000310"	"1994"	"yearbooks/N2006010438000310.caj"	"yearbooks/N2006010438000310.pdf"		"13"
"4-11 农民家庭生产费用现金支出"	"四、农村资金"	"100"	"N2006010438000311"	"1994"	"yearbooks/N2006010438000311.caj"	"yearbooks/N2006010438000311.pdf"	"yearbooks/N2006010438000311.xls"	"63"
"6-25 各地区分品种粮食作物单位面积产量"	"六、主要农作物种植面积和产量"	"185-187"	"N2006010438000312"	"1994"	"yearbooks/N2006010438000312.caj"	"yearbooks/N2006010438000312.pdf"	"yearbooks/N2006010438000312.xls"	"128"
"9-14 各地区农民家庭居住情况"	"九、农民家庭收入与生活消费"	"298"	"N2006010438000313"	"1994"	"yearbooks/N2006010438000313.caj"	"yearbooks/N2006010438000313.pdf"	"yearbooks/N2006010438000313.xls"	"193"
"十三、农村个体工商业"	"十三、农村个体工商业"	"369-372"	"N2006010438000314"	"1994"	"yearbooks/N2006010438000314.caj"	"yearbooks/N2006010438000314.pdf"		"251"
"图片"	"图片"	"P4-P13"	"N2006042767000001"	"2001"	"yearbooks/N2006042767000001.caj"	"yearbooks/N2006042767000001.pdf"		"1"
"《中国农村统计年鉴-2001》编辑委员会"	"图片"	"P4"	"N2006042767000002"	"2001"	"yearbooks/N2006042767000002.caj"	"yearbooks/N2006042767000002.pdf"		"2"
"编者说明"	"图片"	"P5"	"N2006042767000003"	"2001"	"yearbooks/N2006042767000003.caj"	"yearbooks/N2006042767000003.pdf"		"3"
"2000年全社会从业人员产业构成"	"图片"	"P6"	"N2006042767000004"	"2001"	"yearbooks/N2006042767000004.caj"	"yearbooks/N2006042767000004.pdf"		"5"
"2000年国内生产总值构成"	"图片"	"P6"	"N2006042767000005"	"2001"	"yearbooks/N2006042767000005.caj"	"yearbooks/N2006042767000005.pdf"		"4"
"全国农林牧渔业总产值构成"	"图片"	"P7"	"N2006042767000006"	"2001"	"yearbooks/N2006042767000006.caj"	"yearbooks/N2006042767000006.pdf"		"7"
"全国农林牧渔业总产值及指数"	"图片"	"P7"	"N2006042767000007"	"2001"	"yearbooks/N2006042767000007.caj"	"yearbooks/N2006042767000007.pdf"		"6"
"全国棉花产量"	"图片"	"P8"	"N2006042767000008"	"2001"	"yearbooks/N2006042767000008.caj"	"yearbooks/N2006042767000008.pdf"		"9"
"全国粮食产量"	"图片"	"P8"	"N2006042767000009"	"2001"	"yearbooks/N2006042767000009.caj"	"yearbooks/N2006042767000009.pdf"		"8"
"全国油料产量"	"图片"	"P9"	"N2006042767000010"	"2001"	"yearbooks/N2006042767000010.caj"	"yearbooks/N2006042767000010.pdf"		"10"
"全国糖料产量"	"图片"	"P9"	"N2006042767000011"	"2001"	"yearbooks/N2006042767000011.caj"	"yearbooks/N2006042767000011.pdf"		"11"
"全国水产品产量"	"图片"	"P10"	"N2006042767000012"	"2001"	"yearbooks/N2006042767000012.caj"	"yearbooks/N2006042767000012.pdf"		"12"
"全国水果产量"	"图片"	"P10"	"N2006042767000013"	"2001"	"yearbooks/N2006042767000013.caj"	"yearbooks/N2006042767000013.pdf"		"13"
"全国农用机械总动力及增长速度"	"图片"	"P11"	"N2006042767000014"	"2001"	"yearbooks/N2006042767000014.caj"	"yearbooks/N2006042767000014.pdf"		"14"
"全国农村居民人均纯收入及指数"	"图片"	"P11"	"N2006042767000015"	"2001"	"yearbooks/N2006042767000015.caj"	"yearbooks/N2006042767000015.pdf"		"15"
"全国农村居民人均生活消费支出"	"图片"	"P12"	"N2006042767000016"	"2001"	"yearbooks/N2006042767000016.caj"	"yearbooks/N2006042767000016.pdf"		"16"
"2000年按三大经济地带分组的农民人均纯收入、生活消费支出比较"	"图片"	"P12"	"N2006042767000017"	"2001"	"yearbooks/N2006042767000017.caj"	"yearbooks/N2006042767000017.pdf"		"17"
"城乡居民家庭平均每百户年底耐用消费品拥有量比较（2000年）"	"图片"	"P13"	"N2006042767000018"	"2001"	"yearbooks/N2006042767000018.caj"	"yearbooks/N2006042767000018.pdf"		"19"
"农民人均纯收入与城镇居民人均可支配收入比较"	"图片"	"P13"	"N2006042767000019"	"2001"	"yearbooks/N2006042767000019.caj"	"yearbooks/N2006042767000019.pdf"		"18"
"一 发展综述"	"一 发展综述"	"1-6"	"N2006042767000020"	"2001"	"yearbooks/N2006042767000020.caj"	"yearbooks/N2006042767000020.pdf"		"20"
"2000年农业与农村经济发展综述"	"一 发展综述"	"3-6"	"N2006042767000021"	"2001"	"yearbooks/N2006042767000021.caj"	"yearbooks/N2006042767000021.pdf"		"21"
"农业生产"	"一 发展综述"	"3"	"N2006042767000022"	"2001"	"yearbooks/N2006042767000022.caj"	"yearbooks/N2006042767000022.pdf"		"22"
"农产品进出口"	"一 发展综述"	"4-5"	"N2006042767000023"	"2001"	"yearbooks/N2006042767000023.caj"	"yearbooks/N2006042767000023.pdf"		"26"
"农产品价格与市场"	"一 发展综述"	"4"	"N2006042767000024"	"2001"	"yearbooks/N2006042767000024.caj"	"yearbooks/N2006042767000024.pdf"		"25"
"农村劳动力"	"一 发展综述"	"4"	"N2006042767000025"	"2001"	"yearbooks/N2006042767000025.caj"	"yearbooks/N2006042767000025.pdf"		"24"
"农村固定资产投资"	"一 发展综述"	"4"	"N2006042767000026"	"2001"	"yearbooks/N2006042767000026.caj"	"yearbooks/N2006042767000026.pdf"		"23"
"农村区域经济"	"一 发展综述"	"5-6"	"N2006042767000027"	"2001"	"yearbooks/N2006042767000027.caj"	"yearbooks/N2006042767000027.pdf"		"29"
"农村扶贫开发"	"一 发展综述"	"5"	"N2006042767000028"	"2001"	"yearbooks/N2006042767000028.caj"	"yearbooks/N2006042767000028.pdf"		"28"
"农民收入与消费"	"一 发展综述"	"5"	"N2006042767000029"	"2001"	"yearbooks/N2006042767000029.caj"	"yearbooks/N2006042767000029.pdf"		"27"
"三 综合与概要"	"三 综合与概要"	"7-24"	"N2006042767000030"	"2001"	"yearbooks/N2006042767000030.caj"	"yearbooks/N2006042767000030.pdf"		"30"
"2－1 农村经济主要指标"	"三 综合与概要"	"9"	"N2006042767000031"	"2001"	"yearbooks/N2006042767000031.caj"	"yearbooks/N2006042767000031.pdf"	"yearbooks/N2006042767000031.xls"	"31"
"2—2 按人口平均的主要农产品产量"	"三 综合与概要"	"10-11"	"N2006042767000032"	"2001"	"yearbooks/N2006042767000032.caj"	"yearbooks/N2006042767000032.pdf"	"yearbooks/N2006042767000032.xls"	"32"
"2—3 农村经济在国民经济中的地位"	"三 综合与概要"	"12-16"	"N2006042767000033"	"2001"	"yearbooks/N2006042767000033.caj"	"yearbooks/N2006042767000033.pdf"	"yearbooks/N2006042767000033.xls"	"33"
"2—4 各地区农村经济在国民经济中的地位"	"三 综合与概要"	"17"	"N2006042767000034"	"2001"	"yearbooks/N2006042767000034.caj"	"yearbooks/N2006042767000034.pdf"	"yearbooks/N2006042767000034.xls"	"34"
"2—5 各地区以农产品为原料的轻工业情况"	"三 综合与概要"	"18"	"N2006042767000035"	"2001"	"yearbooks/N2006042767000035.caj"	"yearbooks/N2006042767000035.pdf"	"yearbooks/N2006042767000035.xls"	"35"
"2—6 各地区农村社会消费品零售额及占全国的比重"	"三 综合与概要"	"19"	"N2006042767000036"	"2001"	"yearbooks/N2006042767000036.caj"	"yearbooks/N2006042767000036.pdf"	"yearbooks/N2006042767000036.xls"	"36"
"2—7 各地区城乡居民收入水平"	"三 综合与概要"	"20"	"N2006042767000037"	"2001"	"yearbooks/N2006042767000037.caj"	"yearbooks/N2006042767000037.pdf"	"yearbooks/N2006042767000037.xls"	"37"
"2—8 各地区城乡居民消费水平"	"三 综合与概要"	"21"	"N2006042767000038"	"2001"	"yearbooks/N2006042767000038.caj"	"yearbooks/N2006042767000038.pdf"	"yearbooks/N2006042767000038.xls"	"38"
"2—9 主要农产品供需情况"	"三 综合与概要"	"22-23"	"N2006042767000039"	"2001"	"yearbooks/N2006042767000039.caj"	"yearbooks/N2006042767000039.pdf"	"yearbooks/N2006042767000039.xls"	"39"
"2—10 化肥供需情况"	"三 综合与概要"	"24"	"N2006042767000040"	"2001"	"yearbooks/N2006042767000040.caj"	"yearbooks/N2006042767000040.pdf"	"yearbooks/N2006042767000040.xls"	"40"
"三 农村基本情况与农业生产条件"	"三 农村基本情况与农业生产条件"	"25-52"	"N2006042767000041"	"2001"	"yearbooks/N2006042767000041.caj"	"yearbooks/N2006042767000041.pdf"		"41"
"3—1 农村基本情况和乡村劳动力"	"三 农村基本情况与农业生产条件"	"27"	"N2006042767000042"	"2001"	"yearbooks/N2006042767000042.caj"	"yearbooks/N2006042767000042.pdf"	"yearbooks/N2006042767000042.xls"	"42"
"3—2 各地区农村基层组织情况"	"三 农村基本情况与农业生产条件"	"28"	"N2006042767000043"	"2001"	"yearbooks/N2006042767000043.caj"	"yearbooks/N2006042767000043.pdf"	"yearbooks/N2006042767000043.xls"	"43"
"3—3 各地区乡村户数和乡村人口"	"三 农村基本情况与农业生产条件"	"29"	"N2006042767000044"	"2001"	"yearbooks/N2006042767000044.caj"	"yearbooks/N2006042767000044.pdf"	"yearbooks/N2006042767000044.xls"	"44"
"3—4 各地区农村劳动力"	"三 农村基本情况与农业生产条件"	"30-32"	"N2006042767000045"	"2001"	"yearbooks/N2006042767000045.caj"	"yearbooks/N2006042767000045.pdf"	"yearbooks/N2006042767000045.xls"	"45"
"3—5 农民家庭劳动力文化状况"	"三 农村基本情况与农业生产条件"	"33"	"N2006042767000046"	"2001"	"yearbooks/N2006042767000046.caj"	"yearbooks/N2006042767000046.pdf"	"yearbooks/N2006042767000046.xls"	"46"
"3—6 各地区农民家庭劳动力文化状况"	"三 农村基本情况与农业生产条件"	"33"	"N2006042767000047"	"2001"	"yearbooks/N2006042767000047.caj"	"yearbooks/N2006042767000047.pdf"	"yearbooks/N2006042767000047.xls"	"47"
"3—7 各地区农民家庭劳动力文化程度按人均纯收入分组"	"三 农村基本情况与农业生产条件"	"34"	"N2006042767000048"	"2001"	"yearbooks/N2006042767000048.caj"	"yearbooks/N2006042767000048.pdf"	"yearbooks/N2006042767000048.xls"	"48"
"3—8 主要农业机械年末拥有量"	"三 农村基本情况与农业生产条件"	"35"	"N2006042767000049"	"2001"	"yearbooks/N2006042767000049.caj"	"yearbooks/N2006042767000049.pdf"	"yearbooks/N2006042767000049.xls"	"49"
"3—9 主要农业机械年末拥有量增长情况"	"三 农村基本情况与农业生产条件"	"36"	"N2006042767000050"	"2001"	"yearbooks/N2006042767000050.caj"	"yearbooks/N2006042767000050.pdf"	"yearbooks/N2006042767000050.xls"	"50"
"3—10 各地区主要农业机械年末拥有量"	"三 农村基本情况与农业生产条件"	"37-43"	"N2006042767000051"	"2001"	"yearbooks/N2006042767000051.caj"	"yearbooks/N2006042767000051.pdf"	"yearbooks/N2006042767000051.xls"	"51"
"3—11 农村电力、灌溉面积、化肥施用量情况"	"三 农村基本情况与农业生产条件"	"44"	"N2006042767000052"	"2001"	"yearbooks/N2006042767000052.caj"	"yearbooks/N2006042767000052.pdf"	"yearbooks/N2006042767000052.xls"	"52"
"3—12 农村电力和农田水利建设情况"	"三 农村基本情况与农业生产条件"	"45"	"N2006042767000053"	"2001"	"yearbooks/N2006042767000053.caj"	"yearbooks/N2006042767000053.pdf"	"yearbooks/N2006042767000053.xls"	"53"
"3—13 农用化肥、农膜、柴油和农药使用量"	"三 农村基本情况与农业生产条件"	"45"	"N2006042767000054"	"2001"	"yearbooks/N2006042767000054.caj"	"yearbooks/N2006042767000054.pdf"	"yearbooks/N2006042767000054.xls"	"54"
"3—14 各地区农村电力和农田水利建设情况"	"三 农村基本情况与农业生产条件"	"46"	"N2006042767000055"	"2001"	"yearbooks/N2006042767000055.caj"	"yearbooks/N2006042767000055.pdf"	"yearbooks/N2006042767000055.xls"	"55"
"3—15 各地区农用化肥施用量"	"三 农村基本情况与农业生产条件"	"47-48"	"N2006042767000056"	"2001"	"yearbooks/N2006042767000056.caj"	"yearbooks/N2006042767000056.pdf"	"yearbooks/N2006042767000056.xls"	"56"
"3－16 各地区农用塑料薄膜使用量"	"三 农村基本情况与农业生产条件"	"49"	"N2006042767000057"	"2001"	"yearbooks/N2006042767000057.caj"	"yearbooks/N2006042767000057.pdf"	"yearbooks/N2006042767000057.xls"	"57"
"3—17 各地区农用柴油和农药使用量"	"三 农村基本情况与农业生产条件"	"50"	"N2006042767000058"	"2001"	"yearbooks/N2006042767000058.caj"	"yearbooks/N2006042767000058.pdf"	"yearbooks/N2006042767000058.xls"	"58"
"3—18 各地区农民家庭平均每户生产性固定资产原值"	"三 农村基本情况与农业生产条件"	"51-52"	"N2006042767000059"	"2001"	"yearbooks/N2006042767000059.caj"	"yearbooks/N2006042767000059.pdf"	"yearbooks/N2006042767000059.xls"	"59"
"四 农业生态与环境"	"四 农业生态与环境"	"53-68"	"N2006042767000060"	"2001"	"yearbooks/N2006042767000060.caj"	"yearbooks/N2006042767000060.pdf"		"60"
"4—1 全国自然保护区情况"	"四 农业生态与环境"	"55"	"N2006042767000061"	"2001"	"yearbooks/N2006042767000061.caj"	"yearbooks/N2006042767000061.pdf"	"yearbooks/N2006042767000061.xls"	"61"
"4—2 各地区自然保护区工作基本情况"	"四 农业生态与环境"	"56"	"N2006042767000062"	"2001"	"yearbooks/N2006042767000062.caj"	"yearbooks/N2006042767000062.pdf"	"yearbooks/N2006042767000062.xls"	"62"
"4—3 全国林业生态重点工程历年完成造林面积"	"四 农业生态与环境"	"57-58"	"N2006042767000063"	"2001"	"yearbooks/N2006042767000063.caj"	"yearbooks/N2006042767000063.pdf"	"yearbooks/N2006042767000063.xls"	"63"
"4—4 各地区林业生态重点工程完成造林面积"	"四 农业生态与环境"	"59-60"	"N2006042767000064"	"2001"	"yearbooks/N2006042767000064.caj"	"yearbooks/N2006042767000064.pdf"	"yearbooks/N2006042767000064.xls"	"64"
"4—5 灌区、水库和除涝、治水、治碱情况"	"四 农业生态与环境"	"61"	"N2006042767000065"	"2001"	"yearbooks/N2006042767000065.caj"	"yearbooks/N2006042767000065.pdf"	"yearbooks/N2006042767000065.xls"	"65"
"4—6 各地区水利设施和除涝、治水、治减面积"	"四 农业生态与环境"	"62"	"N2006042767000066"	"2001"	"yearbooks/N2006042767000066.caj"	"yearbooks/N2006042767000066.pdf"	"yearbooks/N2006042767000066.xls"	"66"
"4—7 受灾和成灾面积"	"四 农业生态与环境"	"63"	"N2006042767000067"	"2001"	"yearbooks/N2006042767000067.caj"	"yearbooks/N2006042767000067.pdf"	"yearbooks/N2006042767000067.xls"	"67"
"4—8 全国受灾、成灾和绝收面积情况"	"四 农业生态与环境"	"64"	"N2006042767000068"	"2001"	"yearbooks/N2006042767000068.caj"	"yearbooks/N2006042767000068.pdf"	"yearbooks/N2006042767000068.xls"	"68"
"4—9 各地区受灾面积"	"四 农业生态与环境"	"65-66"	"N2006042767000069"	"2001"	"yearbooks/N2006042767000069.caj"	"yearbooks/N2006042767000069.pdf"	"yearbooks/N2006042767000069.xls"	"69"
"4—10 各地区成灾面积"	"四 农业生态与环境"	"67-68"	"N2006042767000070"	"2001"	"yearbooks/N2006042767000070.caj"	"yearbooks/N2006042767000070.pdf"	"yearbooks/N2006042767000070.xls"	"70"
"五 农村投资"	"五 农村投资"	"69-81"	"N2006042767000071"	"2001"	"yearbooks/N2006042767000071.caj"	"yearbooks/N2006042767000071.pdf"		"71"
"5—1 国家财政用于农业的支出"	"五 农村投资"	"71"	"N2006042767000072"	"2001"	"yearbooks/N2006042767000072.caj"	"yearbooks/N2006042767000072.pdf"	"yearbooks/N2006042767000072.xls"	"72"
"5—2 农业基本建设投资和新增固定资产"	"五 农村投资"	"72"	"N2006042767000073"	"2001"	"yearbooks/N2006042767000073.caj"	"yearbooks/N2006042767000073.pdf"	"yearbooks/N2006042767000073.xls"	"73"
"5—3 农村集体单位和农村居民个人固定资产投资额"	"五 农村投资"	"73"	"N2006042767000074"	"2001"	"yearbooks/N2006042767000074.caj"	"yearbooks/N2006042767000074.pdf"	"yearbooks/N2006042767000074.xls"	"74"
"5—4 农民家庭生产费用现金支出"	"五 农村投资"	"74"	"N2006042767000075"	"2001"	"yearbooks/N2006042767000075.caj"	"yearbooks/N2006042767000075.pdf"	"yearbooks/N2006042767000075.xls"	"75"
"5—5 各地区农民家庭生产费用现金支出"	"五 农村投资"	"75"	"N2006042767000076"	"2001"	"yearbooks/N2006042767000076.caj"	"yearbooks/N2006042767000076.pdf"	"yearbooks/N2006042767000076.xls"	"76"
"5—6 各地区农民家庭总支出构成按人均纯收入分组"	"五 农村投资"	"76"	"N2006042767000077"	"2001"	"yearbooks/N2006042767000077.caj"	"yearbooks/N2006042767000077.pdf"	"yearbooks/N2006042767000077.xls"	"77"
"5—7 农村固定资产投资情况"	"五 农村投资"	"77"	"N2006042767000078"	"2001"	"yearbooks/N2006042767000078.caj"	"yearbooks/N2006042767000078.pdf"	"yearbooks/N2006042767000078.xls"	"78"
"5—8 各地区农村固定资产投资情况"	"五 农村投资"	"78"	"N2006042767000079"	"2001"	"yearbooks/N2006042767000079.caj"	"yearbooks/N2006042767000079.pdf"	"yearbooks/N2006042767000079.xls"	"79"
"5—9 各地区农村固定资产构成情况"	"五 农村投资"	"79"	"N2006042767000080"	"2001"	"yearbooks/N2006042767000080.caj"	"yearbooks/N2006042767000080.pdf"	"yearbooks/N2006042767000080.xls"	"80"
"5—10 各地区农村固定资产投向情况"	"五 农村投资"	"80-81"	"N2006042767000081"	"2001"	"yearbooks/N2006042767000081.caj"	"yearbooks/N2006042767000081.pdf"	"yearbooks/N2006042767000081.xls"	"81"
"六 农林牧渔业总产值、中间消耗及增加值"	"六 农林牧渔业总产值、中间消耗及增加值"	"83-106"	"N2006042767000082"	"2001"	"yearbooks/N2006042767000082.caj"	"yearbooks/N2006042767000082.pdf"		"82"
"6—1 农林牧渔业增加值和指数"	"六 农林牧渔业总产值、中间消耗及增加值"	"85"	"N2006042767000083"	"2001"	"yearbooks/N2006042767000083.caj"	"yearbooks/N2006042767000083.pdf"	"yearbooks/N2006042767000083.xls"	"83"
"6—2 农林牧渔业总产值、增加值、中间消耗及构成"	"六 农林牧渔业总产值、中间消耗及增加值"	"86"	"N2006042767000084"	"2001"	"yearbooks/N2006042767000084.caj"	"yearbooks/N2006042767000084.pdf"	"yearbooks/N2006042767000084.xls"	"84"
"6—3 各地区农林牧渔业总产值、增加值和中间消耗"	"六 农林牧渔业总产值、中间消耗及增加值"	"87"	"N2006042767000085"	"2001"	"yearbooks/N2006042767000085.caj"	"yearbooks/N2006042767000085.pdf"	"yearbooks/N2006042767000085.xls"	"85"
"6—4 各地区分部门农林牧渔业增加值"	"六 农林牧渔业总产值、中间消耗及增加值"	"88"	"N2006042767000086"	"2001"	"yearbooks/N2006042767000086.caj"	"yearbooks/N2006042767000086.pdf"	"yearbooks/N2006042767000086.xls"	"86"
"6—5 各地区分部门农林牧渔业增加值构成"	"六 农林牧渔业总产值、中间消耗及增加值"	"89"	"N2006042767000087"	"2001"	"yearbooks/N2006042767000087.caj"	"yearbooks/N2006042767000087.pdf"	"yearbooks/N2006042767000087.xls"	"87"
"6—6 各地区分部门农林牧渔业增加值比重"	"六 农林牧渔业总产值、中间消耗及增加值"	"90"	"N2006042767000088"	"2001"	"yearbooks/N2006042767000088.caj"	"yearbooks/N2006042767000088.pdf"	"yearbooks/N2006042767000088.xls"	"88"
"6—7 各地区分部门农林牧渔业中间消耗"	"六 农林牧渔业总产值、中间消耗及增加值"	"91"	"N2006042767000089"	"2001"	"yearbooks/N2006042767000089.caj"	"yearbooks/N2006042767000089.pdf"	"yearbooks/N2006042767000089.xls"	"89"
"6—8 各地区分部门农林牧渔业中间消耗构成"	"六 农林牧渔业总产值、中间消耗及增加值"	"92"	"N2006042767000090"	"2001"	"yearbooks/N2006042767000090.caj"	"yearbooks/N2006042767000090.pdf"	"yearbooks/N2006042767000090.xls"	"90"
"6—9 各地区分部门农林牧渔业中间消耗比重"	"六 农林牧渔业总产值、中间消耗及增加值"	"93"	"N2006042767000091"	"2001"	"yearbooks/N2006042767000091.caj"	"yearbooks/N2006042767000091.pdf"	"yearbooks/N2006042767000091.xls"	"91"
"6—10 分项农林牧渔业中间消耗"	"六 农林牧渔业总产值、中间消耗及增加值"	"94"	"N2006042767000092"	"2001"	"yearbooks/N2006042767000092.caj"	"yearbooks/N2006042767000092.pdf"	"yearbooks/N2006042767000092.xls"	"92"
"6—11 各地区农林牧渔业增加值、中间消耗占农林牧渔总产值比重"	"六 农林牧渔业总产值、中间消耗及增加值"	"95"	"N2006042767000093"	"2001"	"yearbooks/N2006042767000093.caj"	"yearbooks/N2006042767000093.pdf"	"yearbooks/N2006042767000093.xls"	"93"
"6—12 农林牧渔业总产值"	"六 农林牧渔业总产值、中间消耗及增加值"	"96"	"N2006042767000094"	"2001"	"yearbooks/N2006042767000094.caj"	"yearbooks/N2006042767000094.pdf"	"yearbooks/N2006042767000094.xls"	"94"
"6—13 农林牧渔业总产值构成"	"六 农林牧渔业总产值、中间消耗及增加值"	"97"	"N2006042767000095"	"2001"	"yearbooks/N2006042767000095.caj"	"yearbooks/N2006042767000095.pdf"	"yearbooks/N2006042767000095.xls"	"95"
"6—14 各地区农林牧渔业总产值"	"六 农林牧渔业总产值、中间消耗及增加值"	"98-99"	"N2006042767000096"	"2001"	"yearbooks/N2006042767000096.caj"	"yearbooks/N2006042767000096.pdf"	"yearbooks/N2006042767000096.xls"	"96"
"6—15 各经济地带农林牧渔业总产值及构成"	"六 农林牧渔业总产值、中间消耗及增加值"	"100"	"N2006042767000097"	"2001"	"yearbooks/N2006042767000097.caj"	"yearbooks/N2006042767000097.pdf"	"yearbooks/N2006042767000097.xls"	"97"
"6—16 农林牧渔业总产值"	"六 农林牧渔业总产值、中间消耗及增加值"	"101"	"N2006042767000098"	"2001"	"yearbooks/N2006042767000098.caj"	"yearbooks/N2006042767000098.pdf"	"yearbooks/N2006042767000098.xls"	"98"
"6—17 农林牧渔业总产值指数"	"六 农林牧渔业总产值、中间消耗及增加值"	"102"	"N2006042767000099"	"2001"	"yearbooks/N2006042767000099.caj"	"yearbooks/N2006042767000099.pdf"	"yearbooks/N2006042767000099.xls"	"99"
"6—18 各地区农林牧渔业总产值指数"	"六 农林牧渔业总产值、中间消耗及增加值"	"103"	"N2006042767000100"	"2001"	"yearbooks/N2006042767000100.caj"	"yearbooks/N2006042767000100.pdf"	"yearbooks/N2006042767000100.xls"	"100"
