"id"	"发生与危害"	"地理分布"	"纲"	"目"	"科"	"属"	"中文名"	"综合治理策略"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"别名"	"图片"
"36"	"一年生草本。种子越冬后于早春萌发，花果期7～11月份。喜生于潮湿的环境，如池塘边、路旁和荒野湿地。常生于水生蔬菜、水稻及秋收作物大豆田的田边及路埂上，发生量小，危害轻，是常见杂草。"	"东北、华北、华东以及中南、西南各地区均有发生"	"双子叶植物纲"	"菊目"	"菊科"	"石胡荽属"	"石胡荽"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   下胚轴不发达；子叶小，椭圆形，全缘，无柄，淡绿色；初生叶对生，披针形，有明显的叶柄，暗绿色，全缘；第3片真叶倒卵形，基部楔形，边缘有几个疏锯齿。 成株   高5～20厘米，从基部分枝，小枝匍匐，于节处生根或稍斜升。叶匙形，互生，基部楔形，中部以上有3～5个疏锯齿。 花和子实   头状花序小，扁球形，无柄，单生叶腋，全为管状花，淡黄色或黄绿色。外围花多层，花冠管状锥形；中央花两性，花冠4深裂，下部有明显的狭管。瘦果细小，椭圆形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Centipeda  minima  (L．)  A．Br．et   Ascher．-Artemisia   minima L．"	"pw00036"	"球子草"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/石胡荽.jpg"
"37"	"一年生草本。苗期5～6月份，花期7～8月份，果期8～11月份。为较湿润的棉花、大豆和甘薯地及水稻田中危害严重的杂草。在棉、豆田中用化学防除较为困难，在局部地区已成为恶性杂草。"	"全国各地均有分布。"	"双子叶植物纲"	"菊目"	"菊科"	"鳢肠属"	"鳢肠"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶阔卵形，先端钝圆，全缘，基部圆形，有柄，无毛。上、下胚轴发达。初生叶对生，全缘或具稀疏细齿。 成株   全株具褐色水汁。茎直立，下部伏卧，节处生根，疏被糙毛。叶对生，叶片椭圆状披针形，全缘或略有细齿，基部渐狭而无柄，两面被糙毛。 花和子实   头状花序有梗。总苞5～6层，绿色，被糙毛。外围花舌状，白色，雌性。中央花管状，4裂，黄色，两性。全株干后常变为黑褐色。瘦果黑褐色，顶端平截，由舌状花发育成的果实具三棱，较狭窄；由管状花发育成的呈扁四棱状，较肥短。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Eclipta   prostrata(L．)L．-Eclipta   alba(L．)Hassk．-Verbesina prostrata L．"	"pw00037"	"墨旱莲、旱莲草"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/鳢肠.jpg"
"38"	"多年生草本。花期6～7月份，果期8～10月份。种子及根茎繁殖。繁殖方式与狭叶香蒲、长苞香蒲相同。喜生水湿环境，常生于池塘边、河湖浅水处及沟渠中。为一般性杂草，危害小。"	"东北、华北、华东、陕西、湖南、云南、广东等省区均有发生。"	"单子叶植物纲"	"香蒲目"	"香蒲科"	"香蒲属"	"香蒲"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   植株高1～1．5米。根茎横卧泥中，于节处生根。叶片狭线形，扁平；基部叶鞘抱茎。 花和子实   花茎直立，质硬。花序的苞片早落。雄花序与雌花序相连接；雄花序细长，雄花具雄蕊2～4枚，花粉粒单生；雌花序圆柱形，栗褐色，雌花具子房柄，基部着生由花被变态的白色长柔毛。小坚果纺锤形，淡褐色，有一纵沟。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Typha orientalis Presl"	"pw00038"	"东方香蒲"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/香蒲.jpg"
"39"	"沉水性多年生草本。花期3～7月份，果期4～9月份。种子、根状茎及芽苞繁殖；根茎在正常情况下，繁殖迅速；芽苞系由侧枝形成的短枝，叶片密集，通常叶片基部肥厚宽大，边缘常有锐齿，芽苞脱落后沉于水底。有些地区在水层较深的水田中危害水稻，影响其生长。"	"全国各地均有发生。"	"单子叶植物纲"	"眼子菜目"	"眼子菜科"	"眼子菜属"	"菹草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    下胚轴发达，较粗壮，上胚轴不发育。子叶针状。初生叶带状披针形，先端急尖，有l条中脉，叶基两侧有近圆形的半透明膜质托叶，其基部下延抱茎。 成株   根茎细长，匍匐于水下泥中；茎长30～100厘米，细长，略扁平，有分枝。叶互生，线状长圆形，无柄，顶端钝圆，边缘有浅波状的褶皱，在扩大镜下边缘可见有细锯齿，中脉明显；托叶膜质，抱茎。 花和子实   穗状花序生于枝梢叶腋，开花时伸出水面。花绿色，萼片4枚，圆形，有短柄；雄蕊4枚，花药黄色，外向。小核果宽卵形，长约3毫米，直立呈圆锥形的喙，在小坚果间。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"PotamoGeton   crispus  L."	"pw00039"	"虾藻"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/菹草.jpg"
"40"	"多年生草本。4月上旬越冬芽发育成新的植株，花期5～6月份，果期7～8月份。果实、根状茎与根状茎上生长的越冬芽繁殖；当果实成熟后散落水中，由于外果皮疏松贮有空气，因之浮于水面，借水田排灌时传播果实；营养生长前期由根状茎上的芽，发育成新的根状茎及地面的茎叶。生于地势低洼，长期积水、土壤黏重及池沼、河流浅水处，是水稻田中一种恶性杂草。"	"东北、华北、西北、西南、华中、华东等地均有发生。"	"单子叶植物纲"	"眼子菜目"	"眼子菜科"	"眼子菜属"	"眼子菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶针状，下胚轴不甚发达，初生叶带状披针形，先端急尖或锐尖，全缘。后生叶叶片有3条明显叶脉。 成株   有匍匐的根状茎，茎细长。浮水叶互生，长圆形或宽椭圆形，略带革质，先端急尖或锐而具突尖，全缘，有平行的侧脉7—9对；叶柄细长，托叶膜质透明，披针形，抱茎；沉水叶互生，叶片线状长圆形或线状椭圆形，有长柄。 花和子实   花序生于枝梢叶腋，基部有长圆状披针形的佛焰苞；穗状花序圆柱形，花密集。小坚果倒卵形，略偏斜，背部具3条脊棱，中间的1条具翅状突起，果顶有短喙。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Potamogeton  distinctus A．Bennett"	"pw00040"	"鸭子草、水案板、水上漂"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/眼子菜.jpg"
"41"	"多年生沼生草本。春季萌发，种子、根茎及块茎繁殖。常生于地势低  洼、排水不良稻田、水沟和沼泽地。"	"我国东北、华北、西北及华东等地均有发生"	"单子叶植物纲"	"香蒲目"	"黑三棱科"	"黑三棱属"	"黑三棱"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   先端留于小核果中，成为吸器，子叶与胚轴之间形成一段子叶联结。初生叶披针形，先端锐尖，微细叶脉呈网格状，叶基具  有膜质叶鞘。 成株   根茎圆柱形，横走泥中，并有短粗的块茎，块茎上着生大  量须根。茎直立，圆柱形，高60～100厘米。叶丛生，线形，中脉明显。 花和子实   圆锥花序长30～50厘米，有叶状苞，花序常具3～5  个分枝，分枝上着生单性的头状花序；雄头状花序常位于分枝的先  端，每枝上着生2～10个。球形的聚花果径2厘米左右，有多数突起。核果倒卵状圆锥形，无柄，褐色，有4～5棱，先端半球状，末端有喙。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Sparganium stoloniferum (Graebn．)Buch．-Ham．ex Juz．-Sparganium ramosum  Huds．subsp．stoloniferum  Graebn"	"pw00041"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/黑三棱.jpg"
"42"	"一年生沉水性草本。果期6～9月份。主要以种子繁殖；茎下部节位的芽也发育成1个新枝，并形成新的个体。生长于池沼、水田和水流和缓的河流中，常在浅水条件下生长。水稻田中常见杂草，主要在水稻分蘖期危害，但发生量小，危害轻。"	"辽宁、河北、华东、华中、华南、台湾、四川、贵州及云南等地区均有发生。"	"单子叶植物纲"	"眼子菜目"	"茨藻科"	"茨藻属"	"草茨藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   须根系，根系极浅。茎纤细，下部平卧，下部节间长，至茎上部节问渐短。叶狭线形，近于对生至近于轮生，边缘具尖锐上升的微细齿30～50个。 花和子实   花单性，雌雄同株，常数朵着生于短侧枝的同一节上。雄花外无佛焰苞，雌花裸露；果实长圆形、狭椭圆形或椭圆状长圆形，顶端尖细，果皮绿褐色，带肉质，干燥后成干膜质。种子形状与果实同，但两端钝圆，黄褐色，种皮中部的表皮细胞近似正方形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Najas graminea Del．-Najas serristipula Max"	"pw00042"	"细叶茨藻、尘尾藻"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/草茨藻.jpg"
"43"	"一年生沉水性草本。种子萌发后，幼苗能飘浮水面，又能借水的流动而传播。水稻田杂草，主要发生在低洼积水稻田，在水稻分蘖期尤为多见，有时发生数量较大，对水稻的生长发育有较大的影响。"	"东北、华北、长江流域及西南、广东等地区均有发生。"	"单子叶植物纲"	"眼子菜目"	"茨藻科"	"茨藻属"	"小茨藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶鞘顶端呈倒心脏形。下胚轴明显，基部与初生根相接处有明显的颈环，其表面密生根毛，上胚轴不发育。初生叶互生，叶缘有疏细齿，叶鞘的顶端呈倒心脏形。 成株   根为须根系，入土极浅。茎于基部分枝，叉状。叶片线形，分枝下部3叶轮生，上部对生，边缘每侧通常有6～10个细齿；叶鞘宽2～3毫米，上部倒心形。 花和子实   花单性，均生于叶鞘内，雄花与雌花通常分别着生在相邻的叶腋内；雄花内具1枚雄蕊，外被椭圆形的佛焰苞，苞顶端有不规则的刺尖；雌花裸露，外无佛焰苞包被，花柱略呈圆柱形。果实长2～3毫米。种子线状长椭圆形，淡褐色或褐绿色，种皮上的表皮细胞长四方形，横向横列。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Najas minor  A11．-Caulina fragilis Willd"	"pw00043"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/小茨藻.jpg"
"44"	"多年生水生草本。苗期4～6月份，花期夏秋季，果期秋季。块茎或种子繁殖。水稻田常见杂草，北方部分水稻种植区有时发生较重。"	"全国各地均有发生"	"单子叶植物纲"	"泽泻目"	"泻泽科"	"慈姑属"	"野慈姑"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶针状。下胚轴发达，其下端与初生根相接处有一膨大球形的颈环，表面上密生细长根毛。初生叶互生，线状披针形，有方格状网脉。露出水面之叶箭形。 成株    地下根状茎横走，先端膨大成球状的球茎。茎极短，生有多数互生叶。叶形变化很大，通常为三角箭形，长20厘米，先端钝或急尖，主脉5～7条，自近中部外延长为2片披针形长裂片，外展呈燕尾，裂片先端细长尾尖。 花和子实   花葶高15～50厘米。总状花序，单性，下部为雌花，有短梗，上部为雄花，有细长花梗；苞片披针形；外轮花被片，萼片状，卵形，顶端钝；内轮花被片3枚，花瓣状，白色，基部常有紫斑。聚合果圆头状。瘦果斜倒卵形，扁平，不对称。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Sagittaria  trifolia L．"	"pw00044"	"慈姑"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/野慈姑.jpg"
"45"	"多年生沼生草本。苗期春夏季，花期6～7月份，果期8～9月份。种子或球茎繁殖。带翅的瘦果可漂浮水面，随水流传播。为稻田恶性杂草。主要与水稻争养分和水分，影响水稻的分蘖；耐阴，稻棵封行后，仍可大量发生。"	"长江流域及其以南地区，陕西、河南等省的水稻产区均有发生。"	"单子叶植物纲"	"泽泻目"	"泻泽科"	"慈姑属"	"矮慈姑"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶出土，针状，长约8毫米。下胚轴明显，基部与初生根交接处有一膨大呈球状的颈环，周缘伸出细长的根毛，刚萌发的幼苗借此固定于泥土中；上胚轴不发育。初生叶l片，互生，带状披针形，先端锐尖，有3条纵脉及其之间的横脉构成网状脉。后生叶与初生叶相似，第2后生叶呈线状倒披针形，纵脉较多。 成株   须根发达，白色，有地下根茎，顶端膨大成小形球茎。叶基生，线状披针形，先端钝，基部渐狭。花茎直立，高10～15厘米。 花和子实   花轮生，单性；雌花1朵，无梗，生于下轮，雄花2．5朵；萼片3片，草质，倒卵形；花瓣3枚，白色，较花萼略长；雌蕊多数，扁平，密集于花托上。瘦果阔卵形，顶端圆形，基部狭窄，边缘具狭翅，翅有不规则的锯齿。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Sagittaria   pygmaea Miq"	"pw00045"	"瓜皮草"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/矮慈姑.jpg"
"46"	"浸沉于水中的多年生草本植物。花果期6～9月份。种子繁殖。全株浸沉于静水或流动缓慢的流水中，有时枝梢可稍露出水面。水稻田常见杂草，发生量小。"	"华北、华东、华中、华南及西南各省区均有发生。"	"单子叶植物纲"	"水鳖目"	"水鳖科"	"黑藻属"	"黑藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    上、下胚轴均很发达。子叶针状。初生叶3～4片轮生，线状披针形。后生叶3片轮生，线形。 成株   茎长达2米，多分枝。叶通常3～8片轮生，或基部为对生，线形或线状长圆形，常具紫红色或黑色小点，边缘有小锯齿或全缘；主脉1条。 花和子实   花小、单性；雄花的佛焰苞近球形，先端具数枚小刺凸，最后开裂；萼片白色或淡绿色，有紫红色小点；花药近长圆形；雌花佛焰苞。果圆柱状，长7毫米，平滑或有小凸刺。每果有l～3粒种子。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Hydrilla   verticillata  (Linn．f．)Royle"	"pw00046"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/黑藻.jpg"
"47"	"一年生草本。苗期3～4月份，花果期5～8月份。适生于水边及潮湿处，为长江流域及西南地区稻茬麦和油菜田主要杂草，尤在地势低洼、土壤黏重的田块危害严重。并为水稻细菌性褐斑病及锈病的寄主。"	"全国各地均有发生。"	"单子叶植物纲"	"莎草目"	"禾本科"	"地毯草属"	"菵草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   第1片真叶带状披针形，先端锐尖，有3条直出平行脉；叶鞘紫红色。第2片真叶具5条直出平行脉，叶舌三角形。 成株   株高30～90厘米，秆直立，有2～4节；叶鞘多长于节间，无毛；叶片扁平。 花和子实   圆锥花序狭窄，由直立、长1～5厘米的穗状花序稀疏排列而成；小穗圆形或倒卵圆形，灰绿色，成覆瓦状排列于穗轴的一侧。颖果长圆形，深黄色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Beckmannia  syzigachne(Steu d，)Fernald"	"pw00047"	"水稗子"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/菵草.jpg"
