"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"532"	"茎"		"是黄麻生产上的重要病害。苗期、成株期均可发病。苗期染病子叶呈黄褐色枯死，其上生出许多黑色小粒点。幼茎染病引致猝倒或苗高10～25cm时，下部叶片生不规则黄色病斑，后扩展成条状溃疡，造成苗枯。茎部染病初生褐色梭形斑，可扩展环绕全茎，病部表面密生黑色小粒点，即病菌分生孢子器。根部染病主根、侧根呈黑褐色腐烂，地上部萎蔫，从下向上逐渐变褐，终致全株干枯。木质部、韧皮纤维间形成很多细砂状黑色小菌核。病部皮层易剥开露出丝状纤维。"	"真菌"	"黄麻枯腐病"	"菜豆壳球孢"	"Macrophomina phaseolina(Tassi)Goid．异名M．phaseoli(Maubl．)Ashby"	"黄麻"	"茎立枯病、茎点枯病、干枯病、茎腐病等"	"半知菌亚门"	"Macrophomina phaseolina(Tassi)Goid．异名M．phaseoli(Maubl．)Ashby称菜豆壳球孢，属半知菌亚门真菌。分生孢子器球形至扁球形，直径100～200µm，初埋生在寄主表皮下，后突破表皮孔口外露。分生孢子长椭圆形至卵形，单胞无色，大小16～29×6～11(µm)。菌核黑色，近圆形至不规则形，直径50～150µm。该菌生长适温30～35℃，55℃经10分钟致死。相对湿度以96％～100％最适。菌丝生长最适pH6．8，pH5．8～7．5利于孢子萌发。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选用抗病品种如印度的Jre一918、JRc一1108。(2)加强麻田管理，进行合理轮作，最好与禾本科作物或豆类进行轮作；低洼地要及时排水，防止湿气滞留；干旱季节或地块须适时灌溉。(3)生物防治近年发现有些放线菌对该菌有拮抗作用，生产上可施用用油饼制成的菌肥。此外木素木霉能在该菌菌丝上寄生，当土壤中木素木霉占优势时，该病菌就难立足，生产上可试用。(4)药剂防治参见黄麻炭疽病。"		"ed00714"	"病菌以菌丝体和菌核随病残体在土壤中越冬，成为翌年初侵染源。病部产生的分生孢子借风雨传播进行再侵染。该病属高温高湿型病害，气温30℃遇有多雨或高湿条件易流行。圆果种易发病；地势低洼，湿度大或常遭水淹的麻田发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/黄麻枯腐病.jpg"
"533"	"茎基,叶"		"为害幼苗和成株。是圆果种黄麻重要病害。苗期染病茎基产生黑褐色病变，缢缩，终致萎蔫折倒枯死。成株叶部染病叶痕部生黑褐色或黑色不规则凹陷干裂斑，长达数厘米，病部表面现黑色小粒点，即病菌分生孢子盘。叶上病斑近圆形或不规则形，黑褐色，沿脉扩展变黑。成株茎部染病产生不规则形稍隆起的黑褐色病变，一般不深入到纤维层，也不产生分生孢子盘。蒴果染病变为黑色，严重时扩展到全果或侵入到种子，使种子不能正常发育。"	"真菌"	"黄麻炭疽病"	"黄麻炭疽菌"	"Colletotrichum corchorumIkata et Tanaka"	"黄麻"		"半知菌亚门"	"Colletotrichum corchorumIkata et Tanaka称黄麻炭疽菌，属半知菌亚门真菌。分生孢子盘大小100～350×20～50(µm)，刚毛褐色，直或稍弯，具隔膜2～5个，大小36～117×3．6～5(µm)。分生孢子梗无色，短棒状，大小15～35×3～4(µm)。分生孢子单胞无色，月牙形，大小12～25×3．6～6(µm)。病菌生长适温25～30℃，分生孢子形成适温30～32℃，最适pH5．5～6．5。分生孢子经4小时保湿即萌发，16小时后产生附着胞。菌丝、分生孢子50℃经10分钟致死。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选用抗病高产品种。(2)种子消毒方法见黄麻黑点炭疽病。(3)加强麻田管理。采用配方施肥技术，做到施肥合理。生产上施用钾、钙可减轻发病，氮肥、磷肥过多易发病。雨后及时开沟排水，防止湿气滞留。(4)药剂防治参见黄麻黑点炭疽病。此外国外报道喷洒0．1％安果有机磷杀虫杀螨剂可明显减轻发病，生产上可试用。"		"ed00715"	"病菌以菌丝潜伏在种子内或附着在种子上或随病残组织越冬，成为翌年初侵染源。在种子内的菌丝体以内表皮和外胚乳处居多。病部产生的分生孢子通过风雨进行传播和再侵染。侵染时孢子先形成1个中隔，从一端或两端产生芽管，芽管先端形成附着胞，从球状附着胞上抽出侵入丝通过寄主表皮细胞间隙侵入和扩展，经3天潜育即见发病。生产上遇有高温高湿天气，地势低洼，偏施、过施氮肥及多年连作地易发病。长果种黄麻较圆果种抗病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/黄麻炭疽病.jpg"
"534"	"球果"		"主要为害球果，北方7～8月发生，球果染病后逐渐腐败，并长出一层灰色霉状物，即病原菌的分生孢子梗和分生孢子。"	"真菌"	"啤酒花灰霉病"	"灰葡萄孢"	"Botrytis cinerea Pers．ex Fr．"	"啤酒花"		"半知菌亚门"	"参见向日葵灰霉病。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选用抗病品种。(2)加强田间管理，避免低温高湿条件出现。低温不仅削弱了植株生活力，而且低温持续时间长，植株长期处在不死不活的状态，抵抗力弱，遇有高湿很易感染灰霉病，因此千方百计降湿，是防治该病的根本措施。(3)合理浇水和施肥，雨后及时排水防止发病条件出现。(4)必要时喷洒50％扑海因可湿性粉剂1500倍液或50％速克灵可湿性粉剂2000倍液、65％甲霉灵可湿性粉剂800倍液。"		"ed00716"	"北方病菌以菌丝在病残体上越冬，翌春产生大量分生孢子进行传播；南方病菌分生孢子借气流和雨水溅射传播进行初侵染和再侵染，由于田间寄主终年存在，侵染周而复始不断发生，无明显越冬或越夏期。该病属低温域病害，分生孢子耐低温能力强，在低温高湿条件下易流行，温暖高湿条件下，病情扩展也较快。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/啤酒花灰霉病.jpg"
"535"	"根、叶、蔓梢、球花"		"此病主要为害啤酒花的根、叶、蔓梢、球花等，以侵染球花为主。球花染病初仅花瓣顶端发黄，逐渐向下扩展，颜色由淡黄变为灰色，直至全部枯死，最后呈浅褐色至褐色，花瓣下部现灰色霉层。叶部染病产生不规则多角形病斑，背面可见霉层。"	"真菌"	"啤酒花霜霉病"	"葎草假霜霉"	"Pseudoperonospora humuli(Miyabe et Tak．)Wils．"	"啤酒花"		"鞭毛菌亚门"	"Pseudoperonospora humuli(Miyabe et Tak．)Wils．称葎草假霜霉，属鞭毛菌亚门真菌。孢子囊梗无色，假二叉分枝，分枝2～4次，小梗顶端尖细，梗全长530µm。孢子囊无色至浅灰色，洋梨形，乳突明显，大小26～47×19～22(µm)。卵孢子圆形至近圆形，大小33～36× 20～22(µm)，无色至浅灰色，双层壁。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)改进栽培技术改平作为垄作，改平网为立体网；适当稀植，667m 2 留苗220～250株为宜。(2)春季割芽时适当低割，同时灌浇90％乙膦铝可湿性粉剂400倍液或58％甲霜灵•锰锌可湿性粉剂500倍液；现蕾后喷洒58％甲霜灵•锰锌、64％杀毒矾M8可湿性粉剂500倍液、72％克露或克霜氰或霜霸可湿性粉剂700倍液、69％安克•锰锌可湿性粉剂1000倍液。隔7～10天一次，连续防治2次。"		"ed00717"	"病菌以菌丝在病株根芽中潜伏越冬，是翌年初侵染源。卵孢子在侵染中不起作用。在甘肃西部干旱条件下，8月份进入球花发病期。现蕾后球花发病，病部产生孢子囊，条件适宜时进行再侵染，不断扩大为害，引起大面积发病。此间遇有雨量大、雨日多，栽植密度过太的平作低洼地块发病重。平网通风差易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/啤酒花霜霉病.jpg"
"536"	"茎秆"		"主要为害青麻茎秆。在茎上初生纺锤形黑褐色病斑，中间颜色较浅，后病部长出许多黑色小粒点，即病原菌分生孢子器。后期病部往往干裂破损，露出韧皮纤维，并易折倒。"	"真菌"	"苘麻(青麻)胴枯病"	"苘麻大茎点菌"	"Macrophoma abutilonis Nakata et Takim"	"苘麻(青麻)"	"秆枯病"	"半知菌亚门"	"Macrophoma abutilonis Nakata et Takim  称苘麻大茎点菌，属半知菌亚门真菌。分生孢子器黄褐色扁球形，半埋生在表皮下，大小125～150µm，器内生许多椭圆形的分生孢子，遇水湿从顶部孔口呈纽带状溢出。分生孢子单胞无色，大小15～17．5×6～9(µm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)农业防治选用抗病品种，合理密植，雨后及时开沟排水，防止湿气滞留，避免偏施、过施氮肥，提倡采用配方施肥技术，注意增施磷、钾肥。(2)发病初期喷洒1：0．5：100倍式波尔多液或60％百菌通(DTM)可湿性粉剂500倍液、14％络氨铜水剂300倍液、60％多福可湿性粉剂800～1000倍液、36％甲基硫菌灵悬浮剂500倍液。"		"ed00718"	"病菌以菌丝体和分生孢子器随病残组织遗留在土表越冬，翌年温湿度适宜时，成熟的分生孢子则从分生孢子器孔口大量逸出，借风雨传播进行初侵染和再侵染。种植密度过大及低洼阴湿的麻田易诱发此病，偏施、过施氮肥发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/苘麻(青麻)胴枯病.jpg"
"537"	"叶片"	"东北、华北、江苏、四川、河南等麻区发生普遍。"	"苘麻从苗期至成株期均可发病。幼麻叶片染病初生多角形或椭圆形黄绿色斑，略隆起呈水渍状，后变为褐绿色，并在相应的叶背病斑上长出白色霉状物，即病菌的孢囊梗和孢子囊。成株叶片染病初病斑不大明显，后扩展为不规则褐斑，背面产生灰白色霉，病斑多时可融合成大病斑，致叶片提早干枯或脱落。"	"真菌"	"苘麻(青麻)霜霉病"	"苘麻轴霜霉"	"Plasmopara skvortzovii Miura"	"苘麻(青麻)"		"鞭毛菌亚门"	"Plasmopara skvortzovii Miura称苘麻轴霜霉，属鞭毛菌亚门真菌。孢囊梗无色，2～3根成束从气孔伸出，2～4次单轴分枝，分枝与主枝成直角，分枝顶端钝平。孢子囊卵形至椭圆形，单胞无色，顶端具乳头状突起，大小23～32×19～27(µm)。条件适宜时孢子囊萌发产生游动孢子。后期在病组织中产生卵孢子，球形，大小19～29µm。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选无病地区或田块种植。增施有机肥，冬前进行深翻，采用配方施肥技术，注意氮磷钾配合，做到合理密植。(2)发病初期及时喷洒80％喷克可湿性粉剂600倍液或40％大富丹可湿性粉剂400～500倍液、75％百菌清可湿性粉剂600倍液、90％乙膦铝可湿性粉剂500倍液、72％杜邦克露或72％克霜氰或72％霜脲•锰锌可湿性粉剂700～800倍液。对上述杀菌剂产生抗药性的地区，改用69％安克•锰锌可湿性粉剂900～1000倍液。"		"ed00719"	"病菌以卵孢子在病组织中越冬，翌年条件适宜时，卵孢子萌发产生芽孢囊，然后再产生游动孢子，借雨水溅射到叶片上，产生芽管从叶背气孔侵入，进行初侵染，以后病部不断产生游动孢子借风雨传播进行多次再侵染，致病情不断扩大。低温多雨利其发病；栽植过密、地势低洼、偏施过施氮肥发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/苘麻(青麻)霜霉病.jpg"
"538"	"茎"		"主要为害桑树苗木和沙藏预措期间的插条及苗圃的幼苗。受害苗木或插条多在近地面的茎部表皮上现浅褐色至褐色或深褐色斑点，且在病部生出白色绢丝状菌丝，菌丝呈辐射状扩展，严重时覆盖病部，后菌丝纠结在一起形成茶褐色油菜籽状小菌核。小菌核形成后，白色菌丝逐渐消失，此间病部皮层溃烂，易剥离，丝状纤维露出，病叶变黄、凋萎，严重的全株枯死。"	"真菌"	"桑白绢病"	"齐整小核菌"	"Sclerotium rolfsii Sacc．"	"桑"		"半知菌亚门"	"Sclerotium rolfsii Sacc．称齐整小核菌，属半知菌亚门真菌。有性态为Athelia rolfsii (Curzi)Tu．&Kimbrough．称罗耳阿太菌，属担子菌亚门真菌。在PDA培养基上菌丝体白色，茂盛，呈辐射状扩展；菌丝粗2～8µm，分枝不成直角，具隔膜。菌核初为乳白色，后变浅黄色至茶褐色或棕褐色，球形至卵圆形，大小1～2mm，表面光滑有光泽。菌核由3层细胞组成，外层棕褐色，表皮层下为假薄壁组织，中间为疏丝组织。菌核不与菌丝联结，很易脱落。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选择高燥地块繁殖桑树苗木。(2)采用干净的河边沙预措插条能减少或控制其发病。(3)药剂消毒，用50％多菌灵可湿性粉剂500倍液或36％甲基硫菌灵悬浮剂600倍液，将沙喷湿喷透，再用塑料薄膜盖7～8天进行沙藏预处理插条；也可把沙藏后的插条用上述杀菌剂浸泡20～30分钟，都能减少白绢病的发生。"		"ed00720"	"病菌以菌核在地表或含有病残物的肥料中越冬。翌年温湿度适宜时，从菌核中长出菌丝侵染桑苗茎基部，后病部又长出菌丝沿土缝匍匐蔓延至邻近植株或病健株直接接触进行再侵染。发病适温为30～35℃。该病在南方桑树栽培区易发病。生产中用塑料薄膜保温保湿的沙藏预措插条易发病。苗圃地连作的发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桑白绢病.jpg"
"539"	"主要为害桑树嫩芽、幼叶、新梢、花椹等"	"分布在全国各植桑区"	"嫩芽染病病部畸形或弯曲，桑芽不能萌发。新梢上的芽、茎叶、花椹染病局部肥厚或弯曲畸变，出现橙黄色斑。叶片染病在叶片正背面散生圆形有光泽小点，逐渐隆起成青泡状，颜色变黄，后呈橙黄色，表皮破裂，散发出橙黄色粉末状的锈孢子，布满全叶。故有“金桑”之称。新梢、叶柄、叶脉染病沿维管柬方向呈纵条状扩展，出现弯曲畸形，表面也都生有橙黄色锈子器，新梢上病斑逐渐变黑凹陷。桑花染病呈不规则膨大。桑椹染病失去原来光泽，变黄后期也布有橙黄色粉末。"	"真菌"	"桑赤锈病"	"桑锈孢锈菌"	"Aecidium mori(Barclay)"	"桑"	"赤粉病、金桑、金叶等"	"担子菌亚门"	"Aecidium mori(Barclay)称桑锈孢锈菌，属担子菌亚门真菌。锈孢菌菌丝生在表皮下细胞间，菌丝直径4～6µm，具隔膜，菌丝生出吸胞，钻入桑树细胞里吸取养分。吸胞长7～15µm，多呈圆筒形。锈子器直径150µm，器内面底部生无色圆形的锈子梗，顶生连锁状锈孢子。锈孢子圆形，初无色，渐呈橙黄色，成熟的锈孢子生厚膜，表面附微小突起，锈孢子大小13～18×11～15(µm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选用黄鲁桑、湖桑等抗(耐)病品种。(2)剥除初侵染病芽，控制再侵染。一般在4月份分3次巡查，及时剥除病芽，早春要在“泡泡纱”状将变黄色前突击去掉病芽及病梢、病叶，清除初侵染源，可收显著效果。(3)加强桑园管理。彻底夏伐，消除病菌在绿色组织里过渡存续的机会，可减少侵染和发病；雨后及时开沟排水，防止湿气滞留。(4)在发病初期病叶上“泡泡纱”状病斑未转黄色前喷洒25％三唑酮可湿性粉剂1000倍液或20％百科乳油3000倍液、12．5％三唑醇(羟锈宁)可湿性粉剂2000倍液，重点喷洒桑芽，隔20天1次，防治2～3次。春季防效可达90％左右。此外也可用40％拌种灵可湿性粉剂300倍液、20％萎锈灵乳油400倍液、70％代森锰锌500倍液向嫩叶新梢上喷布可控制为害。喷洒40％灭病威(多•硫胶悬剂)600倍液，锈孢子变焦死亡。"		"ed00721"	"北方以菌丝束在桑枝或冬芽组织内越冬。南方可以锈子器和锈孢子越冬。长江流域锈孢子抗寒力不强则不能越冬。枝条上的病斑多为非致病性坏死斑，只有与枝条特别接近的叶痕、芽鳞上的病斑才能致病。病斑上的菌丝侵入桑芽，翌春随桑芽萌发，引致桑芽染病。桑芽的初侵染一般在4月，初侵染产生的锈孢子飞散到新梢和桑叶及花椹上进行多次再侵染。锈孢子形成温限5～25℃，最适温度13～18℃，相对湿度高于90％。若湿度低于88％锈孢子难于形成。气温高于30℃，湿度低于80％时，病害扩展缓慢或停滞。长江流域4～6月发病严重，黄河流域发病期在4～9月，我国南方温暖地区在5～6月和9～10月进入发病高峰期。 该病发生程度与品种及农业措施有关，山东的鲁桑、实生桑、广东的伦教40号发病重，湖桑发病则轻。新老桑树混栽、春伐夏伐兼行、收获叶不伐条、留枝留芽或出扦法收获以及留大树尾收获的，都造成桑树生育期间树上留有绿叶，利于病菌存留和侵染，易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桑赤锈病.jpg"
"540"	"枝干"	"东北、河北、山东、福建、台湾、新疆均有发生。"	"是枝干部主要病害之一。3～5月桑树发芽前后，距地面40～50cm以下枝干上出现椭圆形至不规则形浅黄色病斑，后成赤褐色，病斑扩展环绕枝干一周后，病部以上枝条枯死。5～6月份病健组织交界处稍凹陷，橙黄色，上生鲨鱼皮状小疹，6、7月后小疹外皮破裂，露出黑点。"	"真菌"	"桑干枯病"	"桑间座壳"	"Diaporthe nomurai Hara"	"桑"	"胴枯病"	"子囊菌亚门"	"Diaporthe nomurai Hara称桑间座壳，属子囊菌亚门真菌。病斑上小疹即病菌子座，内具子囊壳和分生孢子器。分生孢子器扁球形，暗褐色，大小400～800×100～200(µm)，具长颈口，通过子座开口子表面。器中分生孢子单胞无色，大小10～15×1～2(µm)，线状或纺锤形。分生孢子器周围生黑色子囊壳，球形至扁球形，大小220～300µm；子囊棍棒状，内生8个纺锤形子囊孢子，大小10～15．5×3．5～4．4(µm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)重病区选栽山桑系抗病品种。寒冷地区应选用中、高干型，夏秋蚕期采桑不要过度，采用配方施肥技术，提倡施用酵素菌沤制的堆肥及桑树专用肥。春季发芽时剪除病枝干集中烧却。(2)秋末冬初树干上喷洒25％五氯酚钠加20％硫酸铜100倍液或波美4°～5°石硫合剂、43％福尔马林20倍液。(3)必要时喷洒50％甲基托布津可湿性粉剂600～1000倍液或50％苯菌灵可湿性粉剂1500倍液、25％苯菌灵乳油800倍液。"		"ed00722"	"病菌以分生孢子器和子囊壳在病枝条上越夏或越冬，秋季散出孢子，从伤口或皮孔侵入。山桑系较抗病，鲁桑系易发病。积雪深、积雪时间长的桑园发病重。低干桑易发病，中干桑次之，高干桑发病轻。夏秋两季采叶过重的易发病。秋季多雨或偏施氮肥的桑园发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桑干枯病.jpg"
"541"	"桑叶"	"广布全国各植桑区"	"发病初期在叶片正反两面可见芝麻粒大小的暗色水浸状病斑，后扩大为近圆形、暗褐色斑，病斑继续扩大，受叶脉限制呈多角形或不规则形，边缘暗褐，中部色淡，直径约2～10mm，病斑正、背两面均生淡红色粉质块，粉质块内有许多黑色小点即病原菌分生孢子盘，后期变为黑褐色残留在病斑上。病斑周围叶色稍褪绿变黄。干燥时病斑中部常开裂，多融合成大病斑，后叶片焦枯或烂叶，叶片枯黄脱落。晚秋叶上病斑周围具有紫褐色晕圈，叶脉也呈紫褐色。新梢、叶柄染病，病斑呈暗褐色，梭形，略凹陷。"	"真菌"	"桑褐斑病"	"桑粘隔孢"	"Septogloeum mori Briosi et Cavara"	"桑"	"烂叶病、烂斑病、焦斑病"	"半知菌亚门"	"Septogloeum mori Briosi et Cavara称桑粘隔孢，属半知菌亚门真菌。病斑上的粉质块，是该菌的分生孢子盘，初埋生在叶表皮下，成熟后外露。孢子盘大小60～150µm。分生孢子梗丛生在孢子盘表面，分生孢子梗单胞，无色，圆筒形，大小5～15×2．5～3(µm)，其上着生分生孢子。分生孢子棍棒状至圆筒形，两端圆，顶部稍细，成熟时具隔膜3～5个，隔膜处不缢缩，大小30～50×3～4(µm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选用桐乡青、湖桑7号、湖桑32号、湖桑197、荷叶白、油桑、伦教40号、团头荷叶自、桐乡青等抗病品种。(2)晚秋落叶后及时清除病叶深埋或沤制堆肥，提倡施用酵囊菌沤制堆肥和桑树专用肥增强抗病力。有条件地区桑园冬耕，翻埋病叶；雨后注意桑园的排水，防止湿气滞留，减少发病条件。(3)发现20％～30％叶片上有2～3个芝麻粒大小斑点时，马上喷洒50％甲基硫菌灵悬浮剂900倍液或70％托布津可湿性粉剂1000倍液、50％苯菌灵可湿性粉剂1500倍液，隔10～15天1次，防治2～3次。(4)发病严重的桑园，秋蚕结束后，喷洒0．6％～0．7％的波尔多液或在春季桑树发芽前全面喷洒波美4°～5°石灰硫磺合剂1～2次，对杀灭枝干上的病菌有效。"		"ed00723"	"病菌以厚垣孢子形成的分生孢子或遗落地表未腐烂的病叶上的分生孢子盘越冬。翌春厚垣孢子或越冬分生孢子盘上产生的分生孢子借风雨或昆虫传播到桑叶上，从气孔侵入，经10天左右的潜育即发病。此外夏伐后如新梢先端染病，病菌也可以菌丝体在梢部病疤上越冬，也是翌年初侵染源。发病后再经4～5天，病斑上又能产生粉质块——分生孢子盘，又形成大量分生孢子进行再侵染。辽宁日均温22℃，相对湿度87％以上潜育期8天，一个生长季节可进行多次再侵染，短期内即可流行成灾。低温高湿利于病菌繁殖，雨水多或阴雨连绵的年份或地势低、排水不良易发病。叶面光滑，叶肉厚，叶面不易积水、透光好的品种发病轻。白条桑、朝鲜秋雨、黄鲁桑、火桑、小官桑、红皮大种、望海桑等抗病性差，发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桑褐斑病.jpg"
"542"	"叶片、雄花、桑椹"		"叶片染病新梢生长至3～27cm时叶片开始发病，病斑先从中下部叶片的尖端或叶缘开始，后逐渐向叶内主脉扩展，病部由深褐色变成黄褐色，叶缘多向叶面或叶背卷起。雄花染病后干枯。桑椹受害则腐烂。湿度大时，病部表面出现灰色至灰白色霉层，即病原菌的分生孢子梗和分生孢子。"	"真菌"	"桑灰霉病"	"灰葡萄孢"	"Botrytis cinerea Pers ex Fr．"	"桑"		"半知菌亚门"	"Botrytis cinerea Pers ex Fr．称灰葡萄孢，属半知菌亚门真菌。分生孢子梗直立、丛生，大小1334～1814×14～20(µm)，顶部具分枝1～2个，分枝顶端着生的分生孢子似葡萄穗状。分生孢子圆形或近圆形，单胞，大小8．3～14×8～12(µm)。有性态为Botryotinia  fuckliana (de Bary)Whetzel称富克尔核盘菌，属子囊菌亚门真菌。除侵染桑树外，还可侵染瓜类、茄果类、豆类、向日葵等多种作物。病菌发育适温10～23℃，最高30～32℃，最低4℃，适湿为持续90％以上的高湿条件。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)选用抗病品种。(2)加强桑园管理，避免低温高湿条件出现，低温不仅削弱了桑树生活力，而且低温持续时间长，抵抗力下降，遇有高湿很易感染灰霉病，因此要提温降湿，是防治该病根本措施。(3)秋后及时清除病残体，集中烧毁或深埋。(4)合理浇水和施肥，雨后及时排水防止发病条件出现。(5)必要时可喷药保护，具体方法参见向日葵灰霉病。"	"Mulberry gray mold"	"ed00724"	"北方病菌在病残体上越冬，翌春产生大量分生孢子，进行传播；南方病菌分生孢子借气流和雨水溅射传播进行初侵染和再侵染，由于田间寄主终年存在，侵染周而复始不断发生，无明显越冬或越夏期。该病属低温域病害，分生孢子耐干能力强，在低温高湿条件下易流行，温暖高湿条件下，病情扩展也较快。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桑灰霉病.jpg"
"543"	"桑叶"	"辽宁、内蒙古、山东、四川、江苏、浙江均有发生。"	"春季嫩叶发病时，桑叶边缘现深褐色连片大病斑，后随叶片生长发育，叶身向叶正面卷缩。夏秋发病时，枝条顶端叶片的叶尖和附近叶缘褐变，逐渐扩展致叶片的前半部出现黄褐色大病斑；下部叶片受害，叶脉间及叶缘产生梭形大斑，病健部分界明显。干燥时病斑裂开，吸水后易烂腐。病叶易脱落或干枯。湿度大时，病斑上产生暗蓝褐色霉状物，即病菌的分生孢子梗和分生孢子。"	"真菌"	"桑卷叶枯病"	"桑单胞枝霉"	"Hormodendrum  mori Yendo"	"桑"	"桑叶枯病"	"半知菌亚门"	"Hormodendrum  mori Yendo称桑单胞枝霉，属半知菌亚门真菌。分生孢子梗鼠褐色，初单条，后形成丛梗，大小235～290×5～7(µm)，具隔膜6～10个，丛梗的顶端或隔膜处分枝长出数个细长细胞，多为单胞，具隔膜1～3个，分生孢子梗顶端与这种细胞之间明显收缩。分生孢子单胞，椭圆形至柠檬形，暗褐色，从各个细长细胞的顶端长出，大小6～10×4～6(µm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴．呼和浩特：远方出版社，1999"	"(1)晚秋落叶后，及时收集病叶集中烧毁或深埋，以减少菌源。(2)合理密植，适度采叶，保持通风透光，雨后及时排水，防止湿气滞留。(3)发病初期开始喷洒36％甲基硫菌灵悬浮剂800倍液或50％多菌灵可湿性粉剂1000倍液。夏伐后喷洒波美4°～5°石硫合剂或25％多菌灵可湿性粉剂500倍液进行树体消毒。"		"ed00725"	"病菌以菌丝体在病叶组织中越冬。翌年春暖后产生分生孢子梗和分生孢子，借风雨传播到桑叶上，引起初侵染，发病后不断形成分生孢子进行再侵染。江苏、浙江一带每年4～10月发病，尤其夏秋高温多湿易流行。该菌在萌发和入侵桑叶时不能缺水，但侵入后即使天气干燥也可产生大病斑。阴雨条件下能产生大量分生孢子引起该病大流行。天气干燥时孢子形成少，该病处于停滞状态。品种间感病性差异明显：团头荷叶白、剪刀桑、红顶桑、荷叶白易感病；育2号、新一之濑较抗病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桑卷叶枯病.jpg"
