"id"	"叶身"	"花瓣数"	"叶尖"	"抗旱性"	"叶面"	"种子成熟期"	"叶肉厚"	"叶基"	"水浸出物"	"叶质"	"发芽日期"	"种径大小"	"新梢颜色"	"芽叶色泽"	"抗根结线虫"	"资源类型"	"茶多酚"	"咖啡碱"	"百粒重"	"抗云纹叶枯"	"叶齿密度"	"花瓣大小"	"品种名称"	"有效积温"	"叶色"	"叶齿深度"	"芽叶展开态"	"成茶香气"	"花瓣色泽"	"芽叶隆起性"	"儿茶素总量"	"繁殖方式"	"儿茶素一"	"柱头裂位"	"儿茶素三"	"叶宽"	"儿茶素四"	"花梗长度"	"红茶总分"	"儿茶素五"	"花萼数"	"种皮色泽"	"叶姿"	"茶果形状"	"抗寒性"	"科名"	"雌雄高比"	"树姿"	"新梢长度"	"统一编号"	"适制性"	"发芽密度"	"酯酶谱带数"	"栅栏组织厚"	"始花期"	"新梢茸毛"	"叶脉对数"	"新梢重量"	"丰产性"	"花柱长度"	"原产地"	"海绵组织厚"	"萜烯指数"	"叶形"	"种苗来源"	"属名"	"新梢密度"	"省"	"树型"	"乌龙茶总分"	"抗白星病"	"叶齿锐度"	"花萼色泽"	"抗螨类"	"花萼茸毛"	"柱头裂数"	"节间长度"	"抗小绿叶蝉"	"儿茶素二"	"抗轮斑病"	"叶缘"	"学名"	"树高"	"叶长"	"花冠直径"	"保存单位"	"盛花期"	"氨基酸"	"雄蕊数目"	"绿茶总分"	"倍数性"	"子房茸毛"	"生产力指数"	"苞片有无"	"分枝密度"	"芽叶茸毛"	"成茶滋味"	"结实性"
"205"	"--"	"8.0"	"骤尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣6号"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"6.3"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"强"	"Theaceae(山茶科)"	"高"	"半开张"	"8.0"	"00000599"	"绿茶"	"--"	"--"	"--"	"--"	"中"	"--"	"52.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"13.5"	"5.5"	"湖北宣恩香树林繁育点 (鄂033)"	"10/21-10/31"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"206"	"--"	"--"	"钝尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣16号"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.7"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"--"	"开张"	"5.9"	"00000600"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"40.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"13.2"	"--"	"湖北宣恩香树林繁育点 (鄂024)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"207"	"--"	"9.0"	"骤尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣21号"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"5.1"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"5.5"	"00000601"	"红茶"	"--"	"--"	"--"	"--"	"中"	"--"	"38.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"12.7"	"4.5"	"湖北宣恩香树林繁育点 (鄂035)"	"10/01-10/20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"208"	"--"	"7.0"	"渐尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"五峰冷浑茶"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"6.2"	"--"	"--"	"--"	"--"	"--"	"--"	"下垂"	"--"	"--"	"Theaceae(山茶科)"	"高"	"开张"	"--"	"00000602"	"红茶"	"--"	"--"	"--"	"--"	"多"	"--"	"--"	"--"	"--"	"鄂五峰"	"--"	"--"	"椭圆"	"鄂五峰"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"12.7"	"--"	"湖北五峰县茶科所 (鄂036)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"209"	"--"	"7.0"	"骤尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣23号"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"5.2"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"中"	"半开张"	"6.5"	"00000603"	"绿茶"	"--"	"--"	"--"	"--"	"中"	"--"	"56.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"12.5"	"4.2"	"湖北宣恩香树林繁育点 (鄂037)"	"10/01-10/20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"210"	"--"	"10.0"	"骤尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣8号"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"5.8"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"强"	"Theaceae(山茶科)"	"高"	"半开张"	"6.5"	"00000604"	"红茶"	"--"	"--"	"--"	"--"	"中"	"--"	"52.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"12.2"	"5.5"	"湖北宣恩香树林繁育点 (鄂038)"	"10/01-10/20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"211"	"--"	"6.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"五峰槠叶种"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"5.1"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"--"	"半开张"	"--"	"00000605"	"红茶"	"--"	"--"	"--"	"--"	"多"	"--"	"--"	"--"	"--"	"鄂五峰"	"--"	"--"	"椭圆"	"鄂五峰"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"11.7"	"--"	"湖北五峰县茶科所 (鄂039)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"212"	"--"	"7.0"	"骤尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣5号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.7"	"--"	"--"	"--"	"--"	"--"	"--"	"下垂"	"--"	"--"	"Theaceae(山茶科)"	"中"	"半开张"	"3.7"	"00000606"	"红茶"	"--"	"--"	"--"	"--"	"多"	"--"	"43.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"披针"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"11.5"	"4.5"	"湖北宣恩香树林繁育点 (鄂040)"	"10/21-10/31"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"213"	"--"	"--"	"圆尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"兴隆7号"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"--"	"半开张"	"6.3"	"00000607"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"57.0"	"--"	"--"	"鄂恩施"	"--"	"--"	"长椭圆"	"鄂恩施"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"11.3"	"--"	"湖北恩施芭蕉农技站 (鄂041)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"214"	"--"	"--"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"黄芽茶"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"3.5"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"--"	"直立"	"--"	"00000608"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"63.0"	"--"	"--"	"鄂宜昌"	"--"	"--"	"长椭圆"	"鄂宜昌"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"10.5"	"--"	"湖北宜昌邓村林场 (鄂042)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"215"	"--"	"7.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"鄂宣4号"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.6"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"中"	"半开张"	"4.6"	"00000609"	"红茶"	"--"	"--"	"--"	"--"	"中"	"--"	"37.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"10.4"	"5.0"	"湖北宣恩香树林繁育点 (鄂043)"	"10/01-10/20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"216"	"--"	"--"	"圆尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"兴隆5号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"3.8"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"强"	"Theaceae(山茶科)"	"--"	"半开张"	"6.9"	"00000610"	"红茶"	"--"	"--"	"--"	"--"	"多"	"--"	"64.0"	"--"	"--"	"鄂恩施"	"--"	"--"	"椭圆"	"鄂恩施"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"10.4"	"--"	"湖北恩施芭蕉农技站 (鄂044)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"217"	"--"	"--"	"圆尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"花枝香茶"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.6"	"--"	"--"	"--"	"--"	"--"	"--"	"下垂"	"--"	"--"	"Theaceae(山茶科)"	"--"	"半开张"	"9.4"	"00000611"	"绿茶"	"--"	"--"	"--"	"--"	"特多"	"--"	"95.0"	"--"	"--"	"鄂恩施"	"--"	"--"	"长椭圆"	"鄂恩施"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"10.1"	"--"	"湖北恩施芭蕉农技站 (鄂045)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"218"	"--"	"--"	"钝尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"宜昌早芽种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"5.0"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"--"	"半开张"	"--"	"00000612"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"51.0"	"--"	"--"	"鄂宜昌"	"--"	"--"	"椭圆"	"鄂宜昌"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"11.0"	"--"	"湖北宜昌邓村林场 (鄂046)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"219"	"--"	"--"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"宣武20号"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"3.4"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"--"	"半开张"	"5.0"	"00000613"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"40.0"	"--"	"--"	"鄂宣恩"	"--"	"--"	"椭圆"	"鄂宣恩"	"Camellia(山茶属)"	"--"	"湖北"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"7.4"	"--"	"湖北宣恩香树林繁育点 (鄂047)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"220"	"平展"	"7.0"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"39.65"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"27.78"	"5.23"	"--"	"--"	"--"	"--"	"锡茶10号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"137.72"	"无性系"	"12.91"	"--"	"12.22"	"4.2"	"78.12"	"--"	"--"	"18.70"	"5.0"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"--"	"00000616"	"--"	"--"	"--"	"--"	"--"	"中"	"10"	"--"	"--"	"1.50"	"苏无锡"	"--"	"--"	"长椭圆"	"苏无锡"	"Camellia(山茶属)"	"中"	"江苏"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"--"	"3裂"	"--"	"--"	"3.97"	"--"	"--"	"--"	"--"	"11.1"	"3.5"	"江苏省无锡茶科所 (苏003)"	"--"	"2.89"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"221"	"--"	"7.0"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"锡茶9号"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.1"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"直立"	"--"	"00000617"	"--"	"--"	"--"	"--"	"--"	"多"	"--"	"--"	"--"	"--"	"苏无锡"	"--"	"--"	"长椭圆"	"苏无锡"	"Camellia(山茶属)"	"--"	"江苏"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"--"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"10.5"	"3.7"	"江苏省无锡茶科所 (苏004)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"222"	"平展"	"7.0"	"渐尖"	"--"	"隆起"	"--"	"--"	"--"	"39.50"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"25.97"	"4.52"	"--"	"--"	"稀"	"--"	"锡茶11号"	"--"	"绿"	"浅"	"--"	"--"	"--"	"--"	"135.70"	"无性系"	"--"	"--"	"--"	"4.1"	"--"	"--"	"--"	"--"	"5.0"	"--"	"水平"	"--"	"强"	"Theaceae(山茶科)"	"高"	"半开张"	"8.1"	"00000618"	"红茶"	"--"	"--"	"--"	"--"	"多"	"9"	"53.8"	"高"	"1.60"	"苏无锡"	"--"	"--"	"椭圆"	"苏无锡"	"Camellia(山茶属)"	"--"	"江苏"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"--"	"3裂"	"--"	"--"	"--"	"--"	"微波"	"--"	"--"	"9.8"	"3.6"	"江苏省无锡茶科所 (苏005)"	"--"	"3.16"	"--"	"--"	"--"	"--"	"--"	"--"	"密"	"--"	"--"	"--"
"223"	"--"	"7.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"洞301"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.6"	"--"	"--"	"--"	"--"	"--"	"--"	"下垂"	"--"	"--"	"Theaceae(山茶科)"	"高"	"开张"	"--"	"00000619"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"苏吴县"	"--"	"--"	"椭圆"	"苏吴县"	"Camellia(山茶属)"	"--"	"江苏"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"--"	"6裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"9.3"	"3.1"	"江苏省无锡茶科所 (苏006)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"224"	"--"	"7.0"	"钝尖"	"--"	"强隆"	"--"	"--"	"--"	"41.57"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"29.18"	"3.50"	"--"	"--"	"--"	"--"	"锡茶5号"	"--"	"绿"	"深"	"--"	"--"	"--"	"--"	"131.75"	"--"	"--"	"--"	"--"	"4.8"	"--"	"--"	"--"	"--"	"5.0"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"10.5"	"00000620"	"--"	"--"	"--"	"--"	"--"	"多"	"9"	"76.3"	"高"	"1.40"	"苏无锡"	"--"	"--"	"椭圆"	"苏无锡"	"Camellia(山茶属)"	"--"	"江苏"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"波"	"--"	"--"	"10.3"	"3.8"	"江苏省无锡茶科所 (苏007)"	"--"	"4.61"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"--"
"225"	"--"	"7.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"锡茶6号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.1"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"--"	"00000621"	"--"	"--"	"--"	"--"	"--"	"多"	"--"	"36.4"	"--"	"--"	"苏无锡"	"--"	"--"	"椭圆"	"苏无锡"	"Camellia(山茶属)"	"--"	"江苏"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"9.9"	"3.1"	"江苏省无锡茶科所 (苏008)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"226"	"--"	"7.0"	"钝尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"锡茶8号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"3.6"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"--"	"00000622"	"--"	"--"	"--"	"--"	"--"	"多"	"--"	"52.0"	"--"	"--"	"苏无锡"	"--"	"--"	"长椭圆"	"苏无锡"	"Camellia(山茶属)"	"--"	"江苏"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"9.6"	"3.4"	"江苏省无锡茶科所 (苏059)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"227"	"--"	"6.0"	"渐尖"	"--"	"微隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"锡茶7号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.0"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"--"	"00000623"	"--"	"--"	"--"	"--"	"--"	"多"	"--"	"38.2"	"--"	"--"	"苏无锡"	"--"	"--"	"椭圆"	"苏无锡"	"Camellia(山茶属)"	"--"	"江苏"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"8.8"	"3.2"	"江苏省无锡茶科所 (苏010)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"228"	"内折"	"6.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"洞180"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"2.8"	"--"	"--"	"--"	"--"	"--"	"--"	"下垂"	"--"	"--"	"Theaceae(山茶科)"	"高"	"直立"	"--"	"00000624"	"--"	"--"	"--"	"--"	"--"	"特多"	"--"	"--"	"--"	"--"	"苏吴县"	"--"	"--"	"椭圆"	"苏吴县"	"Camellia(山茶属)"	"--"	"江苏"	"灌木"	"--"	"--"	"--"	"--"	"--"	"--"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"7.6"	"3.0"	"江苏省无锡茶科所 (苏011)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"229"	"--"	"7.0"	"钝尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"品系"	"--"	"--"	"--"	"--"	"--"	"--"	"车云1号"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"3.8"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"直立"	"4.6"	"00000627"	"绿茶"	"--"	"--"	"--"	"--"	"少"	"--"	"48.7"	"--"	"--"	"豫信阳"	"--"	"--"	"椭圆"	"豫信阳"	"Camellia(山茶属)"	"--"	"河南"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"8.9"	"3.9"	"河南省信阳茶试站 (豫003)"	"10/11-10/31"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"230"	"--"	"7.0"	"骤尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"品系"	"--"	"--"	"--"	"--"	"--"	"--"	"车云2号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"2.5"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"4.5"	"00000628"	"绿茶"	"--"	"--"	"--"	"--"	"中"	"--"	"37.5"	"--"	"--"	"豫信阳"	"--"	"--"	"长椭圆"	"豫信阳"	"Camellia(山茶属)"	"--"	"河南"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"8.0"	"3.4"	"河南省信阳茶试站 (豫004)"	"10/11-11/10"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"231"	"--"	"6.0"	"骤尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"株系"	"--"	"--"	"--"	"--"	"--"	"--"	"紫阳23号"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"4.5"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"中"	"开张"	"6.9"	"00000638"	"绿茶"	"--"	"--"	"--"	"--"	"特多"	"--"	"35.0"	"--"	"--"	"陕紫阳"	"--"	"--"	"披针"	"陕紫阳"	"Camellia(山茶属)"	"--"	"陕西"	"灌木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"14.0"	"3.8"	"陕西省紫阳茶试站 (陕010)"	"10/11-10/20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
