"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"传播途径和发病条件"	"防治方法"	"记录号"	"别名"	"图片"
"202"	"雌穗"	"辽宁发生较多。"	"主要为害雌穗。花丝染病病部呈水渍状。果穗染病多发生在有机械伤或昆虫为害的穗上，籽粒上或籽粒间生灰色至灰绿色霉状物，常在穗的尖端或上半部发生。"	"真菌"	"玉米灰葡萄孢穗腐病"	"灰葡萄孢"	"Botrytis cinerea Pers．ex Fr．"	"玉米"	"半知菌亚门真菌"	"参见小麦灰霉病。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"以菌核或分生孢子随病残体在土壤中越冬。翌年菌核萌发产生菌丝体，其上着生分生孢子，借气流传播蔓延。遇有适温及叶面有水滴条件，孢子萌发产生芽管，从伤口或衰弱的组织上侵入。病部产生大量分生孢子进行再侵染，后逐渐形成菌核越冬。该病发生与寄主生育状况有关，寄主衰弱或受低温侵袭，相对湿度高于94％及适温易发病。地势低洼、栽植密度过大发病重。"	"(1)夏玉米不可栽植过密，注意玉米田通风。(2)采用垄作或高、矮品种隔畦种植。(3)雨后及时排水，防止湿气滞留。(4)其他方法参见小麦灰霉病。"	"fd00274"	"玉米灰霉病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米灰葡萄孢穗腐病.jpg"
"203"	"雄花序"	"分布各玉米种植区。湖南、四川受害最重。"	"玉米雄花序上产生菌瘿或称菌核，代替雄花，好象玉米麦角病。一般仅少数花受侵染。在雄花上形成一个近椭圆形的墨绿色孢子座，外表看类似玉米黑粉病的椭圆形菌瘤，因此称为假黑粉病。"	"真菌"	"玉米假黑粉病"	"稻绿核菌"	"Ustilaginoidea oryzae(Patou．)Bref=U．virens(Cke．)Tak．"	"玉米"	"半知菌亚门真菌"	"Ustilaginoidea oryzae(Patou．)Bref=U．virens(Cke．)Tak．称稻绿核菌，属半知菌亚门真菌。成熟的菌核圆形，大小5～8mm；橄榄绿色至黑色，内部为白色绒毛状。分生孢子圆球形具小刺，橄榄绿色，直径4～7um。分生孢子从有分隔的黄绿色菌丝上的短小梗上产生。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"以菌核混杂在种子里或在地面上越冬。翌春菌核萌发，产生孢子进行初侵染和再侵染。潮湿的气候条件有利于该病的发生和流行。"	"防治玉米黑粉病时可兼治。"	"fd00275"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米假黑粉病.jpg"
"204"	"叶片"	"我国玉米种植区偶有发生"	"病害可以发生在玉米各生长阶段，未见对生产有显著影响。 叶片发病后在叶面产生褪绿的长条状病斑，病斑中部逐渐变为灰褐色，边缘呈紫色，病斑沿叶脉方向迅速扩展，长度超过100mm，宽10～20mm。在潮湿条件下，病斑两面生出大量黑色霉状物，即病原菌的分生孢子梗和分生孢子。"	"真菌"	"玉米交链孢叶斑病"	"细极交链孢"	"Alternaria tenuissima(Kunze：Fr．)Wiltshire"	"玉米"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"		"目前对玉米交链孢叶斑病还缺乏研究，其发病可能与寄主叶片受到害虫的为害、植株抗性降低等因素有关。通过农业防治措施，如合理施肥、加强植株间通风、减少田间积水等，提高玉米的抗病性。"	"fd00276"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米交链孢叶斑病.jpg"
"205"	"全株"	"全国普遍发生"	"在玉米灌浆期开始发病，乳熟末期至蜡熟期进入显症高峰。从始见病叶至全株显症一般7天，短的1～3天，长的可持续15天。常见有3种类型。青枯型即典型症状或称急性型。叶片自下而上突然萎蔫，迅速枯死，叶片灰绿色、水烫状。田间80％以上病株呈青枯状，灌浆期后乳熟至蜡熟期症状明显。黄枯型又称慢性型。包括从上向下枯死和自下而上枯死两种，叶片逐渐变黄而死。该型多见于抗病品种，发病时期与青枯型相近。茎基局部软腐。湿腐型植株上部仍然青枝绿叶，一般不多见。"	"真菌"	"玉米茎腐病"	"禾谷镰孢、串珠镰刀菌等"	"Fusarium graminearum Schw．，F．moniliforme(Sheld．) S．et H．等"	"玉米"	"半知菌亚门真菌"	"Fusarium graminearum Schw．称禾谷镰孢、F．moniliforme(Sheld．) S．et H．称串珠镰刀菌，均属半知菌亚门真菌。Pythium aphanidermatum(Eds．)Fitzp．称瓜果腐霉和Pthium inflatum Matth称肿囊腐霉及Pythium graminicola称禾生腐霉菌。均属鞭毛菌亚门真菌。禾谷镰孢有性态为Gibberella  zeae Schw．Petch．称玉蜀黍赤霉；串珠镰孢有性态为G．Ajikuroil (Saw．)Wr．称藤仓赤霉，均属子囊菌亚门真菌。关于玉米茎腐病国外多认为是F．graminearum或F．moniliforme或Diplodia maydis等侵染引起的。中国农科院对采自北京、浙江、黑龙江等14省市508株青枯病株进行分离，腐霉菌出现频率为67．5％、镰刀菌为42．3％。我国有专家认为，该病的病原菌不同国家、同一国家不同地区、同一地区不同年份间存有较大差异，多数认为是禾谷镰孢和串珠镰孢及腐霉菌。河北、湖北、广西主要致病菌是串珠镰刀菌。陕西、吉林、河南以禾谷镰刀菌为主；山东系瓜果腐霉和禾谷镰刀菌复合侵染；北京、浙江为禾生腐霉和肿囊腐霉菌；黑龙江、内蒙古、吉林也分离到腐霉菌。上述几种病原菌均能产生果胶甲酯酶、多聚半乳糖醛酸酶、聚甲基半乳糖醛酸酶、多聚半乳糖醛酸反式消除酶。其中禾生腐霉菌还能产生果胶甲基反式消除酶。在病菌侵染过程中，腐霉菌和镰刀菌产生的毒素和细胞壁降解酶起到重要作用，酶和毒素的相互作用可能构成了病菌的综合侵染力。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"该病是土传病害，且由多种寄生和半寄生性病原菌引起。病菌在种子上或土壤、肥料中的病残体上越冬。带病种子和病残体是主要初侵染源，从根部伤口侵入。矮秆品种、早熟品种易染病。玉米抽雄期至成熟期高温、高湿是茎腐病发生流行的重要条件。尤其是雨后骤晴，土壤湿度大，气温剧升，往往导致该病暴发成灾。适时晚播，保持田间通风透光和良好的土壤透气性可减轻或延缓发病。在栽培因素中，氮、磷、钾合理施用能增强植株长势，提高抗病性，尤其是氯化钾能减轻茎腐病的发生。对氮肥能影响茎腐病发生有不同看法。栽植过密及连作地发病重。人工打叶和玉米螟等为害均能加重发病。此外许多叶部、穗部和根部病害对茎腐病也具诱发作用。从病原来看禾谷镰刀菌在高湿、中湿、低湿条件下都能致病，高湿、中湿条件下发病率高。串珠镰刀菌在高湿条件不发病，而腐霉菌只在高湿条件下才发病。"	"在明确当地致病菌种类和主要发病规律后，以应用抗病品种为基础，配合药剂处理种子、调整茬口、适期晚播、合理密植、与矮秆作物间作、增施有机肥和硫酸钾肥、及时防治玉米螟等综防措施，可有效地控制该病的发生和为害。(1)选用抗病自交系，培育抗病品种如辽宁的铁单8号，沈单7号，丹玉6号、13号、16号，连玉5号，农大40，中丹11号，017，3135，获白，沈5，武109，武117、7943，西单7号，陕单9号，沪单1号，陕8410、8411、8413，华玉2号，鲁单35、40，中原单8号，掖9302，掖单12号、13号、19号、52号，四单18、487，吉单118、122、133、141，郑单7号，唐玉1号，冀单29、30、33，西单2号，本玉11号、12号，鲁玉16号，西农11号等。(2)提倡施用酵素菌沤制的堆肥或根据土质、地势和肥力，667m 2 施优质农家肥3000～4000kg，纯氮13～15kg，如使用的品种不是抗病品种，667m 2 施硫酸钾8～10kg。如用秸秆沤肥待充分发酵后再施用，减少菌源。(3)扩大玉米、小麦、马铃薯等多种形式间作面积。(4)适期晚播。(5)与大豆、花生等作物轮作，合理密植，及时防治粘虫、玉米螟和地下害虫。(6)用种子重量4％的5％根保种衣剂拌种，效果很好。"	"fd00277"	"青枯病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米茎腐病.jpg"
"206"	"叶片和叶鞘"	"分布不广"	"病原菌侵染玉米叶片和叶鞘。病斑椭圆形或不规则形，长1～3厘米，病斑中部褐色或灰色，边缘褐色，周边淡绿色，病斑上生黑色小粒点，即病原菌的分生孢子器。严重发病的，叶片可迅速枯死。"	"真菌"	"玉米壳二孢叶斑病"	"玉蜀黍壳二孢"	"Ascochyta maydis Stout"	"玉米"	"半知菌亚门，腔孢纲，球壳孢目，壳二孢属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"病原菌主要以菌丝体和分生孢子器在病残体上越冬，引起初侵染。病斑上产生分生孢子器，溢出器孢子，随风雨传播，引起再侵染。多雨高湿，气温适宜，昼夜温差大，叶片结露时间长，有利于病原菌侵染，发病加重。"	"发病轻，不需采取特定防治措施，可在防治其他叶病时予以兼治。"	"fd00278"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米壳二孢叶斑病.jpg"
"207"	"叶片"		"病害主要发生在叶片上。发病初期，叶片上出现很小的褪绿或黄色小点，病斑逐渐扩大，近圆形，中央为灰褐色，边缘红褐色，直径约2～3mm。"	"真菌"	"玉米离蠕孢叶斑病"	"根腐离蠕孢"	"Bipolaris sorokiniana(Sacc．)Shoemaker"	"玉米"		"根腐离蠕孢Bipolaris sorokiniana(Sacc．)Shoemaker 有性态：禾旋孢腔菌Cochliobolus sativus(Ito et Kuribayashi)Drechsler ex Dastur"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"玉米离蠕孢叶斑病近年来在我国一些小麦——玉米间套作地区偶有发生，特别是在小麦收获后直接顶茬播种的玉米田更易发生此种叶斑病，但对生产构成严重威胁尚不多见。病害主要发生在玉米苗期，造成叶斑。"	"药剂防治：病害发生较重地区，在发病初期，应及时喷施杀菌剂，如75％百菌清可湿性粉剂500～800倍液、50％多菌灵可湿性粉剂500倍液、80％代森锰锌可湿性粉剂500倍液。采用含有以上杀菌剂的种衣剂进行玉米种子包衣处理，也可在播种前用杀菌剂拌种，药剂用量为种子重量的0．4％。 农业防治措施：在有小麦根腐病发生的地区，减少小麦——玉米间套作；玉米播种后，严格控制田间土壤湿度，排除积水，创造不利于病原菌侵染的环境条件。"	"fd00279"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米离蠕孢叶斑病.jpg"
"208"	"基部或根颈部"	"全国普遍发生"	"从种子萌芽到3～5叶期的幼苗多发，病芽种子根变褐腐烂，可扩展到中胚轴，严重时幼芽烂死。幼苗初生根皮层坏死，变黑褐色，根毛减少，无次生根或仅有少数次生根。茎基部水浸状腐烂，可使茎基部节间整齐断裂。叶鞘变褐、撕裂，叶片变黄，叶缘枯焦，心叶卷曲易折。通常无次生根的病苗死亡，枯死苗近地面处产生白色或粉红色霉状物。有少数次生根的成为弱苗，底部叶片的叶尖发黄，并逐渐向叶片中下部发展，最后全叶变褐枯死。病苗发育迟缓，生长衰弱。严重时各层叶片黄枯或青枯。"	"真菌"	"玉米镰刀菌苗枯病"	"串珠镰刀菌，为禾谷镰刀菌"	"Fusarium moniliforme  Sheld．，Fusarium graminearum Schwabe"	"玉米"	"半知菌亚门，丝孢纲，瘤座孢目，瘤座孢科，镰刀菌属"	"主要为串珠镰刀菌Fusarium moniliforme  Sheld．，其次为禾谷镰刀菌Fusarium graminearum Schwabe等，都属于半知菌亚门，丝孢纲，瘤座孢目，瘤座孢科，镰刀菌属。苗枯病是春玉米的重要病害，重病田往往因病缺苗3～5成。除镰刀菌外，腐霉菌、丝核菌、蠕孢菌等也能引起苗病，多种病原菌可混合发生。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"病原菌随病残体或在土壤中越冬，成为第二年初侵染菌源，玉米种子也带菌传病。玉米苗期持续低温多雨是苗枯病发生的主要诱因，此种气象特点导致春玉米发病较重。夏玉米出苗期间气温较高，降雨少，天气晴朗，苗枯病轻微。病苗率与种子带菌率成正相关，种子带菌率高的，发病严重。砂质土壤、有机质含量低的瘠薄土壤、多年重施化肥而板结的土壤发病均重，有机质含量高的土壤发病较轻。连作田块，偏施氮肥，磷、钾缺乏的田块，以及密度过大、通风透光差、地势低洼、湿度高的田块，发病较重。播种过深，玉米出苗时间延长，或苗期虫害严重，造成幼苗伤口较多时，苗枯病也趋于严重。玉米品种间抗病性有差异，连年大面积种植高感品种使苗枯病渐趋严重。小粒玉米杂交种苗期长势较弱，对高温、多湿较敏感，发病较重。"	"采用种植抗病品种、种子药剂处理和改进栽培管理等综合措施。 (1)鉴选和种植抗病品种玉米杂交种间抗病性有差异，需加强鉴选。例如，在吉林省中南部的品种中，初步确定吉单156、吉单131、四单105、四单19、四早6号、丹703、丹710、西单2号等具有较强的抗病性。还有报道称郑单958、豫玉22、登海1l、丹玉13、苏玉1号、掖单13、农大60、浙单9号等发病较轻。需要指出的是，各地鉴选结果不尽一致，可能是因为所针对的病原菌种类不一致或所用方法不同的缘故。 (2)种子处理  早期用温汤浸种法，玉米种子先在18℃～20℃的水中预浸4小时，然后移入60℃的热水中浸5分钟。药剂处理可用50％多菌灵可湿性粉剂，按种子重量0．2％～0．3％的用药量拌种，或用70％甲基硫菌灵可湿性粉剂500倍液浸种。用含有有效杀菌剂成分的种衣剂进行种子包衣，使用方便而有效。例如，用吉林省植保所研制的多功能系列种衣剂包衣，可兼治苗病、苗期害虫和缺素症。沈阳农业大学的种衣剂SN-1，含有多菌灵成分，对防治苗病有效。玉米专用种衣剂20％福•克悬浮种衣剂、2．5％咯菌腈种衣剂等也有效。 苗枯病初发期还可喷施50％多菌灵可湿性粉剂600倍液等药剂。 (3)加强栽培管理施用适量有机肥作基肥，增施磷、钾肥和微肥，培育壮苗；玉米出苗后及时中耕松土，促进根系发育。病田适当推迟定苗时间，剔除病苗、弱苗，及时补苗。发病较轻的田块，每667米2(1亩，下同)追施尿素8～10千克，促进弱苗生长。"	"fd00280"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米镰刀菌苗枯病.jpg"
"209"	"果穗"	"全国普遍发生"	"受禾谷镰刀菌侵染的染病果穗顶部变为粉红色，籽粒间生有粉红色至灰白色菌丝；受害早的果穗多全部腐烂；病穗的苞叶与果穗粘结紧密，且在果穗与苞叶间长出一层淡紫色至浅粉红色霉层，有时病部现蓝黑色的小粒点，即病菌子囊壳。受串珠镰孢侵染的玉米生长后期的果穗，仅个别或局部籽粒染病，病粒易破碎。病粒上长一层粉红色霉状物，多为病菌的小孢子，有时也长橙黄色点状粘质物，即病菌的粘分生孢子团。该菌喜欢在穗虫或玉米螟为害后的沟槽里生长繁殖。湿度大时也为害雄花和叶鞘。"	"真菌"	"玉米镰刀菌穗粒腐病"	"禾谷镰孢，串珠镰孢"	"Fusarium graminearum Schw．称禾谷镰孢，Fusarium  moniliforme(Sheld．)S．et H．称串珠镰孢"	"玉米"	"半知菌亚门"	"病原有两种：Fusarium graminearum Schw．称禾谷镰孢，有性态为Gibberella zeae Schw．Petch．称玉蜀黍赤霉；Fusarium  moniliforme(Sheld．)S．et H．称串珠镰孢，有性态为Gibberella  fujikuroi(Saw．)Wr．称藤仓赤霉。玉蜀黍赤霉和藤仓赤霉均属子囊菌亚门真菌。据云南玉溪植保站调查玉溪地区玉米的穗粒腐病病原主要是禾谷镰孢，分离率为90％。此外炭色长蠕孢菌(Helminthosporium  carbonum Vllstr．)也是该病病原，分离率占5．1％。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"禾谷镰刀菌、串珠镰刀菌侵染玉米果穗引致穗腐病，侵染玉米茎部引致茎基腐病。干旱、温暖的气候有利于玉米镰刀菌穗粒腐病的扩展和流行。当玉米产生生长裂伤或玉米穗虫玉米螟及其他害虫为害造成伤口易发病。此外含赖氨酸高的一些玉米杂交种易感串珠镰孢穗腐病。"	"(1)选用抗病品种根据当地气候，因地制宜选用，做到不断更换新品种，不断扩大抗病品种的种植面积。在玉米穗粒腐病、大斑病、小斑病、丝黑穗病混合发生地区，可选用近年新选育的优良杂交种。如获白、玉单6号、丹玉14号、低三顶、沈5、武109、武117、7943、吉815、B70、337、Va35、V矮141、白C一2—9、CB5、冀524、保102、双塘、双获、宿系10、丹早白、新黄4、360、5003、张单251、多黄1、沈219、6050、承191、徐31、凡荣2、京系01、单郑黄、黄204、抗旱大粒黄、植店112、6009、晋穗9、中系14等。(2)轮作换茬。(3)加强田间管理于玉米拔节或孕穗期增施钾肥或氮、磷、钾肥配合施用，增强抗病力。(4)其他方法参见玉米丝核菌穗腐病。"	"fd00281"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米镰刀菌穗粒腐病.jpg"
"210"	"叶片、叶鞘及苞叶"		"该病主要在玉米生长后期为害叶片、叶鞘及苞叶。初期病部现水渍状小圆斑点，逐渐扩展成椭圆形至近圆形的病斑，中央灰白色至秸白色，边缘红褐色，病健部交界明显。病斑扩展不受叶脉限制，大小6～13×4～8(mm)。后期病部可见黑色霉层，一些病斑中间破裂穿孔，严重的整株叶片病斑满布，呈撕裂状干枯坏死。"	"真菌"	"玉米链格孢菌叶枯病"	"链格孢"	"Alternaria tenuis Nees"	"玉米等"	"半知菌亚门真菌"	"Alternaria tenuis Nees称链格孢，属半知菌亚门真菌。分生孢子梗淡褐色，直或稍弯曲。分生孢子3～6个串生，梭形、椭圆形、卵形、倒棒状，形状不一致，褐色至淡褐色，无喙或喙短，喙长不超过孢子的1／3，分生孢子光滑或具瘤，孢痕明显，大小为13～68×7～13(um)，具横隔膜1～7个，多为4～5个，隔膜处缢缩，纵隔膜0～3个。喙大小为0～20．8×0～5．2(um)，分隔数0～1个。在病组织上分生孢子梗单生或3～4根丛生，淡褐色至褐色，顶端细胞色淡或上下色泽均匀，多屈曲状，少数直，不分枝或少有不规则分枝，孢痕明显，基细胞膨大，具2～8个分隔。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"病菌以菌丝体和分生孢子在病残体上或随病残体遗落土中越冬，翌年产生分生孢子进行初侵染和再侵染。该菌寄生性虽不强，但寄主种类多，分布广泛，在其他寄主上形成的分生孢子，也是玉米生长期中该病的初侵染和再侵染源。一般成熟老叶易染病，雨季或管理粗放、植株长势差，利于该病扩展。"	"(1)培育、选择抗病品种。(2)按配方施肥要求，充分施足基肥，适时追肥。(3)喷洒75％百菌清可湿性粉剂600倍液或50％扑海因可湿性粉剂1000倍液、50％速克灵可湿性粉剂1500倍液、70％代森锰锌可湿性粉剂500倍液，隔7—15天1次，防治2～3次。"	"fd00282"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米链格孢菌叶枯病.jpg"
"211"	"果穗"	"广泛分布在各玉米栽培地区"	"瘤黑粉病的主要诊断特征是在病株上形成膨大的肿瘤。玉米的雄穗、果穗、气生根、茎、叶、叶鞘、腋芽等部位均可生出肿瘤，但形状和大小变化很大。肿瘤近球形、椭球形、角形、棒形或不规则形，有的单生，有的串生或叠生，小的直径不足1厘米，大的长达20厘米以上。肿瘤外表有白色、灰白色薄膜，内部幼嫩时肉质，白色，柔软有汁，成熟后变灰黑色，坚硬。玉米瘤黑粉病的肿瘤是病原菌的冬孢子堆，内含大量黑色粉末状的冬孢子，肿瘤外表的薄膜破裂后，冬孢子分散传播。 玉米病苗茎叶扭曲，矮缩不长，茎上可生出肿瘤。叶片上肿瘤多分布在叶片基部的中脉两侧，以及相连的叶鞘上，病瘤小而多，常串生，病部肿厚突起，成泡状，其反面略有凹入。茎秆上的肿瘤常由各节的基部生出，多数是腋芽被侵染后，组织增生，形成肿瘤而突出叶鞘。雄穗上部分小花长出小型肿瘤，几个至十几个，常聚集成堆。在雄穗轴上，肿瘤常生于一侧，长蛇状。果穗上籽粒形成肿瘤，也可在穗顶形成肿瘤，形体较大，突破苞叶而外露，此时仍能结出部分籽粒，但也有的全穗受害，变成为一个大肿瘤。"	"真菌"	"玉米瘤黑粉病"	"玉蜀黍黑粉菌"	"Ustilago maydis(DC．)Corda"	"玉米"	"担子菌亚门，冬孢菌纲，黑粉菌目，黑粉菌属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"黑粉病的病原菌主要以冬孢子在土壤中或在病株残体上越冬，成为翌年的侵染菌源。混杂在未腐熟堆肥中的冬孢子和种子表面污染的冬孢子，也可以越冬传病。越冬后的冬孢子，遇到适宜的温、湿度条件，就萌发产生担孢子，不同性别的担孢子结合，产生双核侵染菌丝，从玉米幼嫩组织直接侵入，或者从伤口侵入。越冬菌源在整个生育期中都可以起作用。生长早期形成的肿瘤，产生冬孢子和担孢子，可以再侵染，从而成为后期发病的菌源。瘤黑粉病菌的冬孢子、担孢子可随气流和雨水分散传播，也可以被昆虫携带而传播。 玉米瘤黑粉病是一种局部侵染的病害。病原菌在玉米体内虽能扩展，但通常扩展距离不远，在苗期能引起相邻几节的节间和叶片发病。 玉米瘤黑粉病菌的冬孢子没有明显的休眠现象，成熟后遇到适宜的温、湿度条件就能萌发。冬孢子萌发的适温为26℃～30％，最低为5℃～10℃，最高为35℃～38℃，在水滴中或在98％～100％的相对湿度下都可以萌发。在北方，冬、春干燥，气温较低，冬孢子不易萌发，从而延长了侵染时间，提高了侵染效率；而在温度高、多雨高湿的地方，冬孢子易于萌发失效。 玉米抽雄前后遭遇干旱，抗病性受到明显削弱，此时若遇到小雨或结露，病原菌得以侵染，就会严重发病。玉米生长前期干旱，后期多雨高湿，或干湿交替，有利于发病。遭受暴风雨或冰雹袭击后，植株伤口增多，也有利于病原菌侵入，发病趋重。玉米螟等害虫既能传带病原菌孢子，又造成虫伤口，因而虫害严重的田块，瘤黑粉病也严重。病田连作，收获后不及时清除病残体，施用未腐熟农家肥，都使田间菌源增多，发病趋重。种植密度过大，偏施氮肥的田块，通风透光不良，玉米组织柔嫩，也有利于病原菌侵染发病。 玉米品种间抗病性有明显差异。概而言之，耐旱的品种、果穗苞叶长而紧裹的品种和马齿型玉米较抗病，甜玉米较感病，早熟玉米比晚熟品种发病轻。瘤黑粉病菌生理分化现象明显，有很多生理小种其致病性不同。"	"防治瘤黑粉病应以种植抗病、轻病杂交种为主要措施，配合采用减少菌源的栽培措施，坚持早期摘除病瘤。 (1)种植抗病品种  目前尚无免疫品种，但自交系和杂交种之间抗病性有明显差异。当前生产上较抗病的杂交种有掖单2号、掖单4号、中单2号、农大108、吉单342、沈单10号、郑单958、鲁玉16、掖单22、聊93—1、豫玉23、蠡玉6号、海禾1号等。 (2)农业防治  病田实行2～3年轮作。施用充分腐熟的堆肥、厩肥，防止病原菌冬孢子随粪肥传病。玉米收获后及时清除田间病残体，秋季深翻。适期播种，合理密植。加强肥水管理，均衡施肥，避免偏施氮肥，防止植株贪青徒长；缺乏磷、钾肥的土壤应及时补充，适当施用含锌、含硼的微肥。抽雄前后适时灌溉，防止干旱。加强玉米螟等害虫的防治，减少虫伤口；在肿瘤未成熟破裂前，尽早摘除病瘤并深埋销毁。摘瘤应定期、持续进行，长期坚持，力求彻底。 (3)药剂防治  种子带菌是田间发病的菌源之一。对带菌种子，可用杀菌剂处理。例如，用50％福美双可湿性粉剂，按种子重量0．2％的药量拌种；或25％三唑酮可湿性粉剂，按种子重量0．3％的用药量拌种；或2％戊唑醇湿拌种剂用10克药，对少量水成糊状，拌玉米种子3～3．5千克等。有人主张在玉米未出土前用15％三唑酮可湿性粉剂750～1 000倍液，或用50％克菌丹可湿性粉剂200倍液，进行土表喷雾，以减少初侵染菌源。在肿瘤未出现前，用三唑酮、烯唑醇、福美双等杀菌剂对植株喷药，以降低发病率。"	"fd00283"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米瘤黑粉病.jpg"
"212"	"叶片"		"主要为害叶片。初在叶面上产生圆形至椭圆形的褐色至紫红色病斑，后期轮纹较明显。病斑汇合后很象豹纹，致叶片枯死。湿度大时，叶背可见微细橙红色粘质物，即病原菌的子实体。"	"真菌"	"玉米轮纹斑病"	"高粱胶尾孢"	"Gloeocercospora sorghi Bain et Edg．"	"玉米"	"半知菌亚门真菌"	"参见高粱豹纹病。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"参见高粱豹纹病。"	"参见高粱豹纹病。"	"fd00284"	"玉米豹纹病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米轮纹斑病.jpg"
"213"	"根部和茎基部"		"苗期引起根系及茎基部染病部位变褐坏死，地上部叶片边缘出现黄褐色云纹状斑，可致田间大量死苗，严重地块发病率高达80％。"	"真菌"	"玉米苗期立枯丝核菌根腐病"	"立枯丝核菌"	"Rhizoctonia solani kühn"	"玉米"	"半知菌亚门真菌"	"见玉米纹枯病。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"该病从播种至出苗期均可发生。丝核菌主要以菌核、菌丝体在土壤或病残体中越冬。遇有发病条件即开始侵染。侵染适期为苗龄0～10天。发病条件总的趋势是：土温低、湿度大、粘质土发病重，播种前整地粗放、种子质量不高、播种过深、土壤贫瘠易发病。"	"(1)实行大面积轮作。(2)采用高垄或高畦栽培，认真平整土地，防止大水漫灌和雨后积水。苗期注意松土，增加土壤通透性。(3)适期播种，不宜过早。(4)提倡采用地膜覆盖和种衣剂包衣，具体用法见使用说明书。(5)发病初期喷洒或浇灌50％甲基硫菌灵(甲基托布津)可湿性粉剂500倍液或50％多菌灵可湿性粉剂500倍液，或配成药土撒在茎基部。也可用3．2％恶甲水剂300～400倍液或95％绿亨1号(恶霉灵)精品4000倍液。"	"fd00285"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/玉米苗期立枯丝核菌根腐病.jpg"
