"id"	"棉铃虫"	"棉酚"	"生长势"	"生育期"	"果枝节位"	"短绒色"	"单宁"	"棉红蜘蛛"	"株形"	"苞外蜜腺"	"白度"	"叶厚度"	"花药色"	"东经"	"统一编号"	"叶片大小"	"属名"	"茎色"	"叶蜜腺"	"花冠色"	"铃形"	"花大小"	"跨长"	"麦克隆值"	"北纬"	"种仁脂肪"	"黄萎病"	"棉毒素"	"原产地"	"主茎硬度"	"果枝数"	"气流纱支数"	"叶色"	"耐涝性"	"环纺纱号数"	"单株铃数"	"花柱长"	"伸长百分率"	"单位编号"	"译名"	"色泽"	"果枝伸展角"	"倒伏性"	"叶形"	"果枝类型"	"杂质等级"	"茎毛"	"科名"	"种子来源地"	"品种名称"	"年"	"类别"	"气流纺指标"	"省"	"光反射率"	"保存单位"	"库编号"	"种子绒毛"	"叶绒毛"	"絮棉色"	"学名"	"高程"	"红铃虫"	"花芯色"	"枯萎病"	"铃色"	"叶枝数"	"环纺纱强力"	"样品类型"	"长度整齐度"	"子指"	"铃室数"	"蚜虫"	"铃开裂"	"耐盐性"	"耐旱性"	"铃柄长"	"苞叶形状"	"比强度"	"种仁蛋白"	"衣分"	"铃重"	"铃着生方式"	"主茎粗细"	"株高"	"图象"
"2267"	"--"	"--"	"强"	"144"	"8.7"	"灰"	"--"	"--"	"塔"	"有"	"8.3"	"中"	"乳白"	"--"	"ZM-60028"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"30.2"	"5.0"	"--"	"32.30"	"--"	"无"	"象牙海岸"	"中"	"10.8"	"7"	"绿"	"--"	"12"	"11.7"	"高于"	"7.2"	"--"	"ISA BC2"	"31-2"	">45"	"不倒"	"阔叶"	"3"	"2"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1989"	"陆国外"	"1869"	"国外"	"75.8"	"中棉所"	"I3A03816"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"2.8"	"132"	"国外"	"51.8"	"11.1"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"23.5"	"42.10"	"37.40"	"5.20"	"单生"	"中"	"102.3"	"--"
"2268"	"--"	"--"	"强"	"144"	"9.6"	"灰"	"--"	"--"	"塔"	"有"	"8.5"	"中"	"乳白"	"--"	"ZM-60029"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"30.4"	"4.8"	"--"	"34.40"	"--"	"无"	"象牙海岸"	"硬"	"10.4"	"7"	"绿"	"--"	"12"	"11.2"	"高于"	"6.7"	"--"	"ISA BC3"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"4"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1989"	"陆国外"	"1800"	"国外"	"75.2"	"中棉所"	"I3A03817"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"3.4"	"130"	"国外"	"51.6"	"11.7"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"22.4"	"35.20"	"37.20"	"5.10"	"单生"	"中"	"90.6"	"--"
"2269"	"--"	"--"	"强"	"144"	"8.6"	"灰"	"--"	"--"	"塔"	"有"	"8.5"	"中"	"乳白"	"--"	"ZM-60030"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.7"	"4.5"	"--"	"34.60"	"--"	"无"	"象牙海岸"	"硬"	"13.1"	"7"	"绿"	"--"	"11"	"15.7"	"高于"	"6.4"	"--"	"ISA BC4"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"3"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1989"	"陆国外"	"1974"	"国外"	"73.4"	"中棉所"	"I3A04238"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"3.5"	"122"	"国外"	"45.9"	"11.0"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"24.0"	"38.00"	"36.30"	"5.20"	"单生"	"中"	"105.2"	"--"
"2270"	"--"	"--"	"强"	"139"	"8.8"	"灰"	"--"	"--"	"塔"	"无"	"8.7"	"中"	"乳白"	"--"	"ZM-60031"	"中"	"Gossypium L.(棉属)"	"红"	"无"	"乳白"	"卵圆"	"中"	"29.1"	"5.1"	"--"	"35.30"	"--"	"无"	"象牙海岸"	"硬"	"10.6"	"7"	"绿"	"--"	"10"	"11.2"	"高于"	"6.9"	"--"	"ISA 4ne"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"3"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1989"	"陆国外"	"1777"	"国外"	"74.8"	"中棉所"	"I3A03818"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"3.1"	"117"	"国外"	"49.4"	"10.1"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"22.0"	"39.70"	"35.20"	"5.50"	"单生"	"中"	"108.3"	"--"
"2271"	"--"	"--"	"中"	"136"	"7.4"	"灰"	"--"	"--"	"塔"	"有"	"8.5"	"中"	"乳白"	"--"	"ZM-60032"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"30.3"	"5.3"	"--"	"33.40"	"--"	"有"	"象牙海岸"	"硬"	"10.4"	"7"	"绿"	"--"	"11"	"11.6"	"高于"	"6.7"	"--"	"ISA 205 B396"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"3"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1989"	"陆国外"	"1805"	"国外"	"74.9"	"中棉所"	"I3A03819"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"1.9"	"127"	"国外"	"51.4"	"10.3"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"23.2"	"39.20"	"40.00"	"5.60"	"单生"	"中"	"95.2"	"--"
"2272"	"--"	"--"	"强"	"138"	"7.4"	"灰"	"--"	"--"	"塔"	"有"	"7.8"	"厚"	"乳白"	"--"	"ZM-60034"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.4"	"4.9"	"--"	"33.30"	"--"	"有"	"乍得"	"硬"	"14.1"	"6"	"绿"	"--"	"10"	"8.5"	"高于"	"7.1"	"--"	"K 170"	"41-2"	">45"	"不倒"	"阔叶"	"3"	"4"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1988"	"陆国外"	"1703"	"国外"	"73.4"	"中棉所"	"I3A03329"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"1.5"	"111"	"国外"	"48.5"	"13.0"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"20.0"	"38.50"	"35.30"	"5.40"	"单生"	"粗"	"108.1"	"--"
"2273"	"--"	"--"	"强"	"139"	"7.2"	"灰"	"--"	"--"	"塔"	"无"	"9.9"	"中"	"黄"	"--"	"ZM-60035"	"中"	"Gossypium L.(棉属)"	"紫"	"有"	"乳白"	"圆锥"	"中"	"30.9"	"4.8"	"--"	"34.00"	"--"	"有"	"象牙海岸"	"中"	"10.7"	"8"	"绿"	"--"	"11"	"11.9"	"等于"	"7.9"	"--"	"L142-9"	"42-1"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1988"	"陆国外"	"2112"	"国外"	"68.9"	"中棉所"	"I3A02788"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"1.0"	"128"	"国外"	"45.5"	"11.8"	">3"	"--"	"畅"	"不抗"	"抗"	"长"	"心脏"	"27.1"	"41.20"	"38.00"	"5.50"	"单生"	"中"	"106.0"	"--"
"2274"	"--"	"--"	"强"	"137"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"7.9"	"厚"	"乳白"	"--"	"ZM-60036"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.9"	"3.6"	"--"	"34.40"	"--"	"有"	"象牙海岸"	"中"	"12.8"	"6"	"绿"	"--"	"9"	"13.8"	"高于"	"5.3"	"--"	"L231-24"	"41-1"	">45"	"不倒"	"阔叶"	"3"	"4"	"中"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1988"	"陆国外"	"1723"	"国外"	"74.5"	"中棉所"	"I3A04326"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"--"	"绿"	"1.4"	"105"	"国外"	"45.9"	"10.4"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"17.2"	"39.60"	"36.00"	"5.00"	"单生"	"中"	"109.8"	"--"
"2275"	"1"	"--"	"强"	"140"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"中"	"乳白"	"--"	"ZM-60037"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"中"	"29.8"	"4.3"	"--"	"36.40"	"S"	"无"	"象牙海岸"	"硬"	"11.8"	"7"	"绿"	"--"	"11"	"3.2"	"高于"	"7.3"	"--"	"L299-10"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"4"	"中"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1988"	"陆国外"	"1864"	"国外"	"73.3"	"中棉所"	"I3A03330"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"3"	"黄"	"S"	"绿"	"2.7"	"122"	"国外"	"47.9"	"10.8"	">3"	"2"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.9"	"36.20"	"37.50"	"5.30"	"单生"	"粗"	"120.3"	"--"
"2276"	"1"	"--"	"中"	"136"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"8.2"	"中"	"乳白"	"--"	"ZM-60038"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"中"	"29.8"	"4.6"	"--"	"27.20"	"--"	"有"	"--"	"硬"	"12.1"	"7"	"绿"	"--"	"11"	"14.3"	"高于"	"6.7"	"--"	"L299-10-75"	"41-1"	">45"	"不倒"	"阔叶"	"3"	"4"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1989"	"陆国外"	"1808"	"国外"	"75.2"	"中棉所"	"I3A03820"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"4"	"黄"	"--"	"绿"	"2.2"	"123"	"国外"	"49.2"	"11.1"	">3"	"2"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.8"	"45.90"	"39.60"	"5.00"	"单生"	"中"	"102.2"	"--"
"2277"	"--"	"--"	"强"	"151"	"6.3"	"绿"	"--"	"--"	"塔"	"有"	"10.7"	"厚"	"乳白"	"--"	"ZM-60039"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.2"	"5.3"	"--"	"34.20"	"S"	"有"	"法国"	"硬"	"21.1"	"6"	"绿"	"--"	"9"	"19.1"	"高于"	"6.6"	"--"	"MAC-NALR-S11"	"33-2"	">45"	"不倒"	"阔叶"	"3"	"3"	"多"	"Malvaceae(锦葵科)"	"法国 IRCT"	"--"	"1988"	"陆国外"	"1705"	"国外"	"70.7"	"湖北经作所"	"I3A04259"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.1"	"100"	"国外"	"49.6"	"11.1"	">3"	"--"	"畅"	"抗"	"抗"	"中"	"心脏"	"21.3"	"33.00"	"39.07"	"4.70"	"单生"	"粗"	"104.3"	"--"
"2278"	"--"	"0.4880"	"强"	"135"	"7.4"	"灰"	"0.07562"	"--"	"塔"	"有"	"10.3"	"厚"	"乳白"	"--"	"ZM-50667"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"大"	"26.3"	"3.4"	"--"	"34.20"	"S"	"有"	"美国"	"硬"	"17.8"	"6"	"绿"	"耐"	"10"	"23.3"	"高于"	"6.2"	"JS03932"	"GP74"	"32-2"	">45"	"不倒"	"阔叶"	"2"	"6"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1652"	"国外"	"70.7"	"江苏经作所"	"I3A04788"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.1"	"111"	"国外"	"52.6"	"10.1"	">3"	"--"	"畅"	"不抗"	"不抗"	"短"	"心脏"	"17.5"	"39.50"	"31.41"	"3.82"	"单生"	"粗"	"119.0"	"--"
"2279"	"--"	"0.5272"	"中"	"140"	"6.4"	"灰绿"	"0.07931"	"--"	"塔"	"有"	"9.6"	"厚"	"乳白"	"--"	"ZM-50668"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.7"	"4.8"	"--"	"33.80"	"T"	"有"	"美国"	"硬"	"18.5"	"6"	"绿"	"耐"	"9"	"41.5"	"等于"	"6.6"	"JS03933"	"GP75"	"42-2"	">45"	"不倒"	"阔叶"	"2"	"6"	"中"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1595"	"国外"	"68.1"	"江苏经作所"	"I3A04789"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"2.5"	"105"	"国外"	"53.2"	"10.2"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"19.5"	"37.70"	"31.71"	"4.10"	"单生"	"中"	"113.3"	"--"
"2280"	"--"	"0.3232"	"中"	"138"	"6.8"	"棕"	"0.07931"	"--"	"塔"	"有"	"9.6"	"厚"	"乳白"	"--"	"ZM-50669"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.9"	"3.5"	"--"	"34.40"	"T"	"有"	"美国"	"硬"	"19.1"	"8"	"绿"	"耐"	"13"	"35.6"	"等于"	"6.6"	"JS03934"	"GP76"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"4"	"多"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"2038"	"国外"	"72.1"	"江苏经作所"	"I3A04790"	"有"	"多"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.8"	"140"	"国外"	"51.7"	"9.7"	">3"	"--"	"畅"	"不抗"	"不抗"	"短"	"心脏"	"24.6"	"37.30"	"28.57"	"3.33"	"单生"	"粗"	"121.0"	"--"
"2281"	"--"	"0.5059"	"中"	"135"	"6.9"	"灰"	"0.08680"	"--"	"塔"	"有"	"9.9"	"厚"	"乳白"	"--"	"ZM-50670"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"25.2"	"5.5"	"--"	"32.40"	"S"	"有"	"美国"	"硬"	"18.2"	"5"	"绿"	"较耐"	"7"	"31.9"	"等于"	"7.1"	"JS03935"	"GP77"	"42-2"	">45"	"不倒"	"阔叶"	"2"	"5"	"多"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1424"	"国外"	"66.5"	"江苏经作所"	"--"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.5"	"87"	"国外"	"54.2"	"12.6"	">3"	"--"	"畅"	"不抗"	"不抗"	"短"	"心脏"	"17.3"	"39.50"	"31.32"	"5.30"	"单生"	"粗"	"92.0"	"--"
"2282"	"--"	"0.4978"	"中"	"143"	"4.7"	"灰"	"0.08371"	"--"	"塔"	"有"	"10.3"	"厚"	"黄"	"--"	"ZM-50671"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"黄"	"卵圆"	"中"	"27.6"	"4.1"	"--"	"34.20"	"S"	"有"	"美国"	"硬"	"18.6"	"6"	"绿"	"耐"	"10"	"23.4"	"等于"	"6.0"	"JS03936"	"GP79"	"32-2"	">45"	"不倒"	"鸡脚"	"2"	"6"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1633"	"国外"	"72.0"	"江苏经作所"	"I3A04791"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"S"	"绿"	"1.8"	"112"	"国外"	"51.9"	"9.6"	">3"	"--"	"畅"	"不抗"	"不抗"	"短"	"心脏"	"18.5"	"35.90"	"36.00"	"--"	"单生"	"中"	"99.8"	"--"
"2283"	"--"	"0.5288"	"中"	"143"	"7.0"	"灰"	"0.07110"	"--"	"塔"	"有"	"10.1"	"厚"	"乳白"	"--"	"ZM-50672"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"小"	"26.7"	"4.4"	"--"	"32.80"	"T"	"有"	"美国"	"硬"	"18.2"	"6"	"绿"	"耐"	"9"	"22.4"	"高于"	"5.9"	"JS03937"	"GP80"	"32-2"	">45"	"不倒"	"阔叶"	"2"	"6"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1615"	"国外"	"71.9"	"江苏经作所"	"I3A04792"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"0.6"	"107"	"国外"	"51.6"	"10.8"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"19.0"	"39.80"	"33.33"	"4.20"	"单生"	"粗"	"116.6"	"--"
"2284"	"--"	"0.5108"	"强"	"144"	"9.3"	"灰"	"0.07693"	"--"	"塔"	"有"	"10.1"	"厚"	"乳白"	"--"	"ZM-50673"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"大"	"27.0"	"4.5"	"--"	"31.60"	"S"	"有"	"美国"	"硬"	"16.7"	"6"	"绿"	"耐"	"10"	"16.9"	"等于"	"6.6"	"JS03938"	"GP81"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"6"	"中"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1721"	"国外"	"70.4"	"江苏经作所"	"I3A04793"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"紫红"	"S"	"绿"	"0.7"	"116"	"国外"	"52.7"	"9.4"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"21.6"	"40.00"	"33.88"	"4.84"	"单生"	"粗"	"134.9"	"--"
"2285"	"--"	"--"	"中"	"139"	"6.6"	"灰"	"--"	"--"	"塔"	"有"	"10.1"	"厚"	"黄"	"--"	"ZM-50674"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.0"	"4.3"	"--"	"34.10"	"T"	"有"	"美国"	"硬"	"16.6"	"7"	"绿"	"较耐"	"10"	"27.0"	"高于"	"6.3"	"JS03939"	"GP82"	"32-1"	">45"	"不倒"	"阔叶"	"2"	"3"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1787"	"国外"	"73.1"	"江苏经作所"	"I3A04794"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.3"	"115"	"国外"	"51.0"	"11.3"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"20.9"	"36.70"	"32.26"	"4.34"	"单生"	"粗"	"98.1"	"--"
"2286"	"--"	"0.3623"	"中"	"144"	"6.2"	"灰"	"0.08026"	"--"	"塔"	"无"	"9.4"	"厚"	"乳白"	"--"	"ZM-50675"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.1"	"3.9"	"--"	"36.20"	"R"	"有"	"美国"	"硬"	"18.4"	"7"	"绿"	"耐"	"11"	"30.4"	"等于"	"7.0"	"JS03940"	"GP83"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"4"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1920"	"国外"	"71.5"	"江苏经作所"	"I3A04795"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.7"	"125"	"国外"	"49.1"	"8.8"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"22.4"	"36.10"	"38.18"	"4.40"	"单生"	"粗"	"106.8"	"--"
"2287"	"--"	"0.4554"	"中"	"138"	"5.4"	"灰"	"0.07966"	"--"	"塔"	"无"	"10.0"	"厚"	"乳白"	"--"	"ZM-50676"	"大"	"Gossypium L.(棉属)"	"青"	"有"	"乳白"	"卵圆"	"大"	"25.0"	"3.8"	"--"	"34.50"	"S"	"有"	"美国"	"硬"	"16.8"	"6"	"绿"	"较耐"	"10"	"17.5"	"等于"	"6.7"	"JS03941"	"GP84"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"6"	"多"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1737"	"国外"	"69.6"	"江苏经作所"	"I3A04796"	"有"	"多"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.5"	"111"	"国外"	"52.6"	"8.5"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"20.6"	"38.40"	"34.86"	"4.36"	"单生"	"粗"	"88.9"	"--"
"2288"	"--"	"0.4635"	"中"	"142"	"6.1"	"灰"	"0.08561"	"--"	"塔"	"无"	"9.8"	"厚"	"黄"	"--"	"ZM-50677"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"中"	"23.6"	"3.7"	"--"	"36.10"	"T"	"有"	"美国"	"硬"	"17.8"	"6"	"绿"	"较耐"	"8"	"25.0"	"低于"	"5.2"	"JS03942"	"GP85"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"6"	"多"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1645"	"国外"	"70.7"	"江苏经作所"	"I3A04797"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"S"	"绿"	"1.8"	"97"	"国外"	"50.3"	"9.9"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"18.3"	"37.50"	"21.36"	"4.40"	"单生"	"粗"	"82.5"	"--"
"2289"	"--"	"0.4129"	"强"	"144"	"6.3"	"灰"	"0.08109"	"--"	"塔"	"有"	"9.6"	"厚"	"乳白"	"--"	"ZM-50678"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.4"	"4.3"	"--"	"34.60"	"T"	"有"	"美国"	"硬"	"17.1"	"6"	"绿"	"较耐"	"11"	"14.4"	"等于"	"6.9"	"JS03943"	"GP86"	"32-2"	">45"	"不倒"	"阔叶"	"2"	"6"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1743"	"国外"	"73.2"	"江苏经作所"	"--"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.5"	"122"	"国外"	"52.6"	"10.9"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"21.7"	"40.10"	"31.11"	"4.50"	"单生"	"粗"	"115.9"	"--"
"2290"	"--"	"0.5059"	"强"	"145"	"4.4"	"灰"	"0.07895"	"--"	"塔"	"无"	"9.8"	"厚"	"乳白"	"--"	"ZM-50679"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"大"	"28.6"	"4.5"	"--"	"35.50"	"T"	"有"	"美国"	"硬"	"18.2"	"6"	"绿"	"较耐"	"9"	"17.8"	"高于"	"5.8"	"JS03944"	"GP88"	"32-2"	">45"	"不倒"	"阔叶"	"2"	"2"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1700"	"国外"	"71.8"	"江苏经作所"	"I3A04798"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"1.8"	"107"	"国外"	"49.7"	"11.6"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"18.2"	"38.60"	"35.42"	"4.80"	"单生"	"粗"	"103.0"	"--"
"2291"	"--"	"0.5451"	"强"	"149"	"4.3"	"灰"	"0.07760"	"--"	"塔"	"无"	"10.0"	"厚"	"乳白"	"--"	"ZM-50680"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"大"	"31.3"	"3.7"	"--"	"35.10"	"T"	"有"	"美国"	"硬"	"17.3"	"7"	"绿"	"较耐"	"11"	"23.6"	"等于"	"5.7"	"JS03945"	"GP89"	"32-2"	">45"	"不倒"	"阔叶"	"2"	"2"	"中"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1894"	"国外"	"71.5"	"江苏经作所"	"I3A04799"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"S"	"绿"	"2.7"	"125"	"国外"	"48.8"	"12.2"	">3"	"--"	"畅"	"不抗"	"不抗"	"短"	"心脏"	"19.7"	"35.20"	"33.10"	"4.49"	"单生"	"粗"	"104.6"	"--"
"2292"	"--"	"0.5741"	"中"	"148"	"5.5"	"灰"	"0.08252"	"--"	"塔"	"有"	"10.3"	"厚"	"乳白"	"--"	"ZM-50681"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.4"	"4.0"	"--"	"36.80"	"T"	"有"	"美国"	"硬"	"16.6"	"7"	"绿"	"较耐"	"11"	"17.5"	"等于"	"6.6"	"JS03946"	"GP90"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"2"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1887"	"国外"	"70.5"	"江苏经作所"	"I3A04800"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"3.0"	"123"	"国外"	"50.7"	"12.6"	">3"	"--"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"21.0"	"34.90"	"26.67"	"3.60"	"单生"	"粗"	"107.0"	"--"
"2293"	"--"	"0.4782"	"中"	"137"	"5.4"	"灰"	"0.08918"	"--"	"塔"	"有"	"9.4"	"中"	"黄"	"--"	"ZM-50682"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"中"	"28.6"	"4.6"	"--"	"35.10"	"T"	"有"	"美国"	"硬"	"14.6"	"7"	"绿"	"耐"	"11"	"14.8"	"高于"	"7.5"	"JS03947"	"GP91"	"42-1"	">45"	"不倒"	"阔叶"	"2"	"2"	"少"	"Malvaceae(锦葵科)"	"美国"	"--"	"1992"	"陆国外"	"1904"	"国外"	"72.5"	"江苏经作所"	"I3A04801"	"有"	"少"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"乳白"	"S"	"绿"	"2.4"	"128"	"国外"	"52.3"	"13.2"	">3"	"--"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"23.5"	"36.30"	"27.37"	"5.70"	"单生"	"中"	"82.0"	"--"
