"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"106"	"1937年引进广东等地作为军马饲料，70年代常作为地被植物栽培"	"该种的茎叶稍多汁，不耐高温、荫蔽和脱水，应在开花结果前将其拔除，亦可配合伏耕和秋耕除草，降低其长势和繁殖力。可利用草甘膦或四氟丙酸钠等除草剂防治。"		"一般性杂草。为华南地区常见杂草，入侵茶园、桑园、果园、咖啡园、橡胶园以及花生、甘蔗、蔬菜等旱作物地，对花生的危害尤为严重。生长繁殖迅速。"	"阔叶丰花草"	"多年生披散草本。 华南地区常见杂草，常生于红壤上，见于1000米以下废虚、荒地、沟渠边、山坡路旁或为田园杂草。花果期5~7月。种子繁殖。 为喜光性杂草，常生于红壤上 。"	"双子叶植物纲"	"茜草目"	"茜草科"	"丰花草属"	"Button　weed"		"广东南部，海南，香港，台湾和福建南部"	"被子植物门"	"南美洲热带地区"	"全株被毛，茎和枝四棱柱形。叶椭圆形至卵状椭圆形，长2~2.7cm，宽1~4cm，先端锐尖或钝，基部阔楔形而有下延，上面平滑；叶柄长4~10mm，扁平；托叶膜质，被粗毛。花数朵丛生于托叶鞘内，无花梗；萼管圆筒形，被粗毛，檐4裂；花冠漏斗状，淡紫色，顶端4裂。蒴果椭圆形，长约3mm，直径2mm，被毛，种子近椭圆形，干后浅褐色或黑褐色。"	"李振宇，解焱，2002. 中国外来入侵种. p.153"	"Spermacoce latifolia Aubl. (Borreria latifolia (Aubl.) K. Schum.)"	"PL00106"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/阔叶丰花草.jpg"
"107"	"1645年由荷兰人引进台湾栽培"	"澳大利亚曾引入仙人掌螟蛾进行生物防治，取得良好效果。"	"仙桃"	"一般性杂草。其果由鸟类等动物传播，逸为野生。其刺可扎伤牲畜，影响放牧。"	"梨果仙人掌"	"肉质灌木或小乔木。温室栽培，南方栽培。海拔600~2900米的干热河谷逸为野生。花期5~6月，种子和分枝繁殖。"	"双子叶植物纲"	"石竹目"	"仙人掌科"	"仙人掌属"	"Sweet Prickly Pear"	"南方各地引种作为围篱。"	"四川，贵州，云南，广西，广东，福建，台湾，浙江"	"被子植物门"	"墨西哥"	"高1.5~5m，老株可具圆柱状主干。分枝多数，淡绿色至灰绿色，无光泽，宽椭圆形、倒卵状椭圆形至长圆形，边缘全缘，基部圆形至宽楔形，表面平坦，无毛，具多数小窠；小窠略呈垫状，无刺，或具1~6根开展的白色刺；花托长圆形至长圆状倒卵形，具多数垫状小窠，无刺或具少数刚毛状细刺；萼状花被片深黄色或橙黄色，具橙黄色或橙红色中肋，宽卵圆形或倒卵形；瓣状花被片深黄色，长2.5~3.5cm，橙黄色或橙红色，倒卵形至长圆状倒卵形；花丝淡黄色；柱头（6~）7~10，黄白色。浆果椭圆球形至梨形，每侧有25~35个小窠。种子多数，肾状椭圆形。"	"中国植物志编辑委员会，1999a. 中国植物志. 52卷第1分册. p.278"	"Opuntia ficus-indica (L.) Miller"	"PL00107"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/梨果仙人掌.jpg"
"108"	"1912年在香港被报道"	"对于果园以及其他树木园的两耳草，最有效的除草剂是10%草甘膦水剂；41%农达水剂；74.7%农民乐水溶性粒剂。在两耳草生长已很旺盛但尚未开花前，用喷施法施药。"		"该种匍匐枝蔓延广，成片生长时大量消耗土壤养分，侵入农田和果园时，减少作物产量。"	"两耳草"	"多年生草本，生长于田野潮湿之地，在海拔2000m以下的林缘湿地常有成片生长。花果期7~9月。用种子或匍匐茎繁殖。"	"单子叶植物纲"	"禾本目"	"禾本科"	"雀稗属"	"Sour Paspalum"		"福建、广东、广西、贵州、海南、湖南（南部）、江西、四川、台湾、香港、云南、西藏（东南部）"	"被子植物门"	"原产于热带美洲；现广布于两半球热带。"	"具长匍匐茎。秆扁压，近实心，细弱，高20~50cm。叶鞘松弛，背部具脊，无毛或边缘具纤毛；叶舌短小，具长纤毛；披针形至线状披针形，扁平质薄，长5~20cm，宽5~10mm，无毛或具疣毛，边缘具纤毛。总状花序两枚，对生并呈叉状开张，细弱，长6~12cm；穗轴宽约0.8mm，边缘粗糙。小穗成两行覆瓦状排列，卵圆形，长约1.5~1.8mm，具长约1mm的柄；第一颖退化；第二颖与第一外稃相似，质薄，脉不明显，而前者之边缘具丝状长柔毛；第二外稃坚硬。谷粒几与小穗等长，扁平或一面略凸出。"		"Paspalum conjugatum"	"PL00108"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/两耳草.jpg"
"109"				"一般性杂草。部分果园、苗圃受害较重。"	"裂叶牵牛"	"一年生缠绕草本。生于田边、路旁、河谷、宅院、果园和山坡。适应性很广。 4—5月萌发，花期6—9月，果期7—10月。种子繁殖 。"	"双子叶植物纲"	"茄目"	"旋花科"	"牵牛属"	"White　edge Morning Glory ，　Lobed　leaf Pharbitis"		"内蒙，河北，山西，陕西，河南，山东，安徽，江苏，浙江，江西，湖北，湖南，福建，广东，广西，海南，台湾，四川，贵州，云南"	"被子植物门"	"美洲热带"	"全株被粗硬毛，茎缠绕，多分枝，叶互生，叶具柄。被毛。叶片宽卵圆形。常3裂，侧裂片较短，三角形。裂口宽而圆，不向内凹陷，裂片先端渐尖，基部心形。花序有花1—3朵，总花梗略短于叶柄；萼片5，披针形，基部密被开展的粗硬毛，不向外反曲。花冠漏斗状，顶端5浅裂，雄蕊5，子房3室，柱头头状。蒴果近球形，种子5—6个，幼苗粗壮，子叶近方形。"	"李扬汉，1998. 中国杂草志. P.413； 中国植物志编辑委员会，1979c. 中国植物志. 64卷第1分册. P.103 郑成超. 裂叶牵牛ｐｓａＨ基因的克隆、序列分析及其表达研究.植物学报 1999,41(8):820～824"	"Pharbitis nil (L.) Choisy"	"PL00109"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/裂叶牵牛.jpg"
"110"					"裂颖雀稗"		"单子叶植物纲"	"禾本目"	"禾本科"	"雀稗属"	"Panama crown　grass"		"台湾"	"被子植物门"	"哥伦比亚"			"Paspalum fimbriatum"	"PL00110"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/裂颖雀稗.jpg"
"111"			"黄秋英，黄波斯菊"	"一般性杂草。"	"硫黄菊"	"一年生草本。播种适期以春播夏秋开花最佳，其次夏播秋冬开花或秋播冬至隔年春开花。栽培土质不拘，不易结硬的土壤均能生长，以肥沃的沙质壤土为佳，排水日照需良好，隐蔽处易徒长开花不良。全年均可播種，种子发芽适温18-22℃。"	"双子叶植物纲"	"菊目"	"菊科"	"秋英属"			"广东、云南"	"被子植物门"	"墨西哥至巴西"	"黄波斯依据株高可分为高性、中性以及矮性三种，但通常介于25~65公分左右，茎细长且分枝多，直立张开呈现Y字型。叶片对生，呈现翠绿色，二回羽状复叶。每一茎顶皆可着生一至数枚花朵，花朵长在顶端或腋生，花梗细长，花朵属于菊科固有之头状花絮，有单瓣、半重瓣、重瓣之分，颜色则从黄色、橙色、橘色到橘红色不等，四季均可开花。瘦果褐色，有微小刺状茸毛。"	"中国植物志编辑委员会，1979b. 中国植物志. 75卷. p.369"	"Cosmos sulphurens Cav."	"PL00111"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/硫黄菊.jpg"
"112"	"1861年在香港被报道。"	"在结果前将其清除。可利用秋耕和春耕，将其根茎置于地上干燥环境中致死。可用草甘膦、2,4-D等内吸性除草剂防治。"		"常攀附其他植物生长，形成大面积的单优群落，危害甘蔗等农作物，破坏当地动植物相，造成生物多样性丰富度的减少。"	"龙珠果"	"草质藤本，常见于海拔120~500m的草坡路边。花期7～8月，果期翌年4～5月。常攀附其他植物生长。种子繁殖。"	"双子叶植物纲"	"西番莲目"	"西番莲科"	"西番莲属"	"Weed Passion Flower"		"福建（南部）、广东、广西、海南、台湾、香港、云南（南部）"	"被子植物门"	"安的列斯群岛；现为泛热带杂草。"	"长数米，茎柔弱，有臭味，被柔毛。叶膜质，卵形至长圆状卵形，长6~10cm，浅3裂或波状，具睫毛，先端短尖或渐尖，基部心形，边缘呈不规则波状，两面和叶柄均被柔毛及混生少许腺毛；叶脉羽状；托叶睫毛状分裂，裂片顶端具腺；叶柄长约2~6cm。花单生，白色或淡紫色，直径约5cm，为一由3个苞片所成的总苞所围绕，苞片1~3回羽状分裂为许多毛状裂片，裂片顶端具腺；萼片长1.5cm；花瓣5枚，与萼片等长，白色或淡紫色；副花冠为3列裂片所组成；雄蕊5枚；子房椭圆球形，花柱3（~4）枚，柱头头状。浆果卵球形，长3~5cm。种子多数，椭圆形。"		"Passiflora foetida"	"PL00112"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/龙珠果.jpg"
"113"				"一般性杂草。"	"绿独行菜"	"花果期5-6月。"	"双子叶植物纲"	"白花菜目"	"十字花科"	"独行菜属"	"Glabrous Field Pepperweed"		"黑龙江，辽宁，山东"	"被子植物门"	"欧洲,亚洲西部"	"高10-40厘米，植株无毛或近无毛，绿色，茎直立，单一，通常在上部呈伞房状分枝或不分枝，很少由下部分枝，密生多数叶，基生叶具柄，果期枯萎，叶片匙状长圆形或长圆形，全缘，大头羽裂或羽状浅裂。茎生叶披针形或椭圆状披针形，基部箭形，抱茎，先端钝，边缘有波状小牙齿，总状花序果期深长，花小；萼片椭圆形，先端钝，有白色；花瓣白色，比萼片大1/3。倒卵状锲形，有爪；雄蕊6，蜜腺6，不明显。短角果广卵形，长5-6毫米，上部边缘有翅，下部甚膨大，基部近圆形，顶端微缺，有花柱，花柱与微凹处近等长或花柱稍超出；果瓣有稍密的鳞片状附属物而粗糙。种子卵形，稍扁，断面圆三角形，无边。暗褐色。有小丘状突起。长约2.5毫米；子叶背倚。"	"傅立国，陈潭清，郎楷永等，2003.中国高等植物. 5卷. 青岛：青岛出版社. P.401 辽宁植物志（上册）：辽宁科学技术出版社：626 Thiede-DA; Augspurger-CK. Intraspecific variation in seed dispersion of Lepidium campestre (Brassicaceae). : American-Journal-of-Botany. 1996, 83: 7, 856-8"	"Lepidium campestre (L.)"	"PL00113"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/绿独行菜.jpg"
"114"				"一般性杂草。常于果园危害，有时侵入旱田危害，但发生量小。"	"绿穗苋"	"生长于路边、荒地及山坡，常于果园危害，有时侵入旱田危害，但发生量小，不常见，是一般性路埂杂草。"	"双子叶植物纲"	"石竹目"	"苋科"	"苋属"	"Hybrid Amaranth"		"陕西，河南，安徽，江苏，浙江，江西，湖南，湖北，四川，贵州等省"	"被子植物门"	"热带美洲"	"一年生草本；高30～80厘米，茎直立，有分枝，被开展柔毛。叶片卵形或菱状卵形，长3～4.5厘米，宽1.5～2.5厘米，先端急尖或微凹，有凸尖，基部楔形，边缘波状或有不明显的齿，上面近无毛，下面疏生柔毛；叶柄长1～2.5厘米，有柔毛。圆锥花序顶生，细长，稍弯曲，有分枝，由穗状花序构成，中间花穗最长；苞片及小苞片钻状披针形，长3.5～4毫米，绿色，中脉向前伸出成芒尖；花被片5，长圆状披针形，长约2毫米，先端锐尖，有凸尖，中脉绿色；雄蕊5，略与花被片等长；柱头3。胞果卵形，长约2毫米，环状开裂，超出宿存花被片；种子近球形，直径约1毫米，黑色。"	"李扬汉，1998. 中国杂草志. p.86"	"Amaranthus hybridus L."	"PL00114"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/绿穗苋.jpg"
"115"					"卵叶异檐花"	"生于山坡草丛、路边，每平方米分布30～40株，浙江省仅见于舟山普陀山，目前为止尚不知其有什么药用或其他价值。该植物在金华的发现，又一次敲响了植物生态的警钟。"	"双子叶植物纲"	"桔梗目"	"桔梗科"	"异檐花属"	"Small Venus looking-glass"		"安徽、福建、台湾、浙江"	"被子植物门"	"美国南部"	"一年生小草本植物。根细小，纤维状，深入土中3～5cm。植株高30～45cm，多不分枝。叶互生;叶片卵形，花1～3朵成簇，腋生及顶生。花冠蓝色或紫色，花细 小。蒴果近圆柱形，形似炮弹，让人误认为玄参科植物，值得注意的是，蒴果的开裂方式，十分少见，在蒴果的上端侧面薄膜状2孔裂，众多的种子就丛这2孔中逸出繁殖。每植株约生20～30个蒴果，每蒴果约有100～150粒种子，即每植株将有3000粒成熟种子，种子卵状椭圆形，稍扁，长仅0.4mm，繁殖能力较强。"		"Triodanis biflora（Ruiz et Pavon）Greene"	"PL00115"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/卵叶异檐花.jpg"
"116"	"1912年在香港发现。"	"人工铲除和除草剂均可用于控制，常用的除草剂如72％的2，4－D丁酯，每公顷用 600－750mL，兑水450－600L喷雾，如用 72％的 2，4－D 丁酯和溴苯腈混合使用，效果更好。"	"座地菊，假吐金菊"	"常见的田间杂草，危害麦类、蔬菜和油菜，大量生长时与农作物争夺养分，影响产量。"	"裸柱菊"	"一年生草本。生于荒地、田间及路边，或为菜地、花圃和花坛中的杂草。 花、果期全年。以种子繁殖。"	"双子叶植物纲"	"菊目"	"菊科"	"裸柱菊属"	"Camomileleaf Soliva，Flase Soliva"		"分布于安徽、江西、福建、广东、海南和台湾等省。"	"被子植物门"	"大洋州、美洲、南美洲"	"成株：茎铺散或平卧，多分枝，成丛，通常短于叶，被长柔毛。叶长5—12cm，宽约2crn，2至3回羽状全裂，裂叶线形，长5—9mm，宽0.3—2mm，顶端急尖，全缘或2一3裂，两面被长柔毛；叶柄长1.5—5cm，下部极扩大。头状花序聚生于短茎上，近球形，直径6—12mm；总苞片长圆形或披针形，长4—5mm，顶端渐尖；外围的雌花无花冠，数层；中央的两性花花冠长约2mm，顶端2—3裂，雄蕊3枚，花药顶端钝，基部圆，无尾，花往顶端盘状。子实：瘦果扁平，长约3mm，宽1.2mm，边缘具横皱纹的翅，顶端有白色的绢毛和冠以宿存的花柱。"	"李扬汉，1998.中国杂草志.p.373－374."	"Soliva anthemifolia R.Br."	"PL00116"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/裸柱菊.jpg"
"117"	"20世纪70年代从东南亚引种，各地常作观赏植物或药用植物栽培。"	"机械拔除时要注意仔细清理落下的小块茎，避免该种植物的再次传播。在幼苗期喷施常用除草剂，效果也很好。因为小块茎脱落后可保持长久活性，因此防除工作完成后，必须经常监视清除地区，防止其再次蔓延。"	"马德拉藤，藤三七，心叶落葵薯，洋落葵、落葵薯、藤子三七、川七、热带皇宫菜等"	"一般性杂草。该种植物腋生小块茎滚落后可长成新的植株，断枝也可繁殖。该种植物生长快，而且缺乏病虫害的制约。在华南地区，该种的枝叶可覆盖小乔木、灌木和草本植物，造成灾害。"	"落葵薯"	"多年生草质缠绕藤本。通常生长在沟谷边、河岸上、荒地或灌丛中。 花期6~10月 。喜温暖湿润环境，抗热耐湿，在高温多雨季节能良好生长，生长适温为25～30℃，不耐霜冻。对土壤要求不严，但以疏松、肥沃的砂质壤土为好。"	"双子叶植物纲"	"石竹目"	"落葵科"	"落葵薯属"	"Madeira Vine"		"江苏，浙江，福建，四川，云南，北京"	"被子植物门"	"南美热带地区"	"长可达数米。根状茎粗壮。叶卵形至近圆形，先端急尖，基部圆形或心形，稍肉质，腋生小块茎（珠芽）。总状花序具多花，花序轴纤细，下垂；苞片狭，宿存；上面1对小苞片宽椭圆形至近圆形，无龙骨状突起。"	"中国植物志编辑委员会，1996a. 中国植物志. 26卷. p.46"	"Anredera cordifolia (Tenore ) Steenis"	"PL00117"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/落葵薯.jpg"
"118"				"一般性杂草。"	"马泡瓜"	"一年生匍匐或攀缘草本。花果期夏季。"	"双子叶植物纲"	"葫芦目"	"葫芦科"	"黄瓜属"	"Field Muskmelon"		"山东、江苏、安徽"	"被子植物门"	"非洲"	"植株纤细，茎、枝有棱，有黄褐色或白色的糙硬毛褐疣状突起。卷须纤细，单一，被微柔毛。叶柄长8-12厘米，具槽沟及短刚毛；叶片厚纸质，近圆形或肾形，长、宽均8-15厘米，上面粗糙，被白色糙硬毛，背面沿脉密被糙硬毛，边缘不分裂或3-7浅裂，裂片先端圆钝，有锯齿，基部截形或具半圆形的弯缺，具掌状脉。花单性，雌雄同株，较小，双生或3枚聚生。雄花：花梗纤细，长0.5-2厘米，被柔毛；花萼筒狭钟形，密被白色长柔毛，长6-8毫米，裂片近钻形，直立或开展，比筒部短花冠黄色，长2厘米，裂片卵好尊贵长圆形，急尖；雄蕊3，花丝极短，药室折曲，药隔顶端引长；退化雌蕊长约1毫米。雌花：单生，花梗粗糙，被柔毛；子房密被微柔毛和糙硬毛，花柱长1-2毫米，柱头靠合，长约2毫米。果实小，长圆形、球形或陀螺状，有香味，不甜，果肉极薄；种子污白色或黄白色，卵形或长圆形，先端尖，基部钝，表面光滑，无边缘。"	"中国植物志编辑委员会，1986年. 中国植物志. 73卷第1分册. p.203；"	"Cucumis melo L. var. agrestis Naud."	"PL00118"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/马泡瓜.jpg"
"119"	"明末由西班牙人引入台湾。"	"化学防治常选用草坪宁，并根据不同的生育期适度使用。机械方法就是雨后人工带根拔除。在实际操作中，为增加效果及减少对环境的破坏，应综合利用机械、栽培、化学和生物方法等技术措施。"	"五色梅，五彩花，臭草，如意草，七变花"	"一般性杂草，有毒杂草。侵犯牧场、林场、茶园和橘园，其全株和残体可产生强烈的化感物质，严重破坏森林资源和环境生态系统。植株有毒，摄食叶片或果实可导致牛、马、绵羊及狗等动物及人类中毒。根可治久热不退，风湿骨痛；茎叶煎水洗治皮炎等药用价值大。"	"马缨丹"	"直立或蔓性灌木， 常生于海拔80~1500米的海边海滩和空旷地区，可侵犯牧场、林场、茶园和橘园。全年开花。种子繁殖。"	"双子叶植物纲"	"管花目"	"马鞭草科"	"马缨丹属"	"Common Lantana"	"通过栽培引种以及鸟类、猴类和羊群摄食果实后空投或排粪而迅速传播。"	"台湾，福建，广东，广西，云南。"	"被子植物门"	"热带美洲"	"高1~2m，茎枝均呈四棱形，有短柔毛，通常有短的倒钩状刺。叶对生，卵形至卵状长圆形，先端急尖或渐尖，揉烂后有强烈的气味。花密集成头状，顶生或腋生，花序梗粗壮。花萼管状，膜质；花冠黄色或橙黄色，开花后变为深红色。浆果球形，成熟时紫黑色。"	"中国植物志编辑委员会，1982b. 中国植物志. 65卷第1分册. P.17； 李振宇，解焱，2002. 中国外来入侵种. P.138 江苏植物研究所，江苏植物志（下卷），江苏科技出版社，1982，681，图1850 《安徽植物志》协作组编.安徽植物志,中国展望出版社，1986：第四卷，216，图1946"	"Lantana camara L."	"PL00119"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/马缨丹.jpg"
"120"	"19世纪在我国东北采到标本"		"麦毒草"	"种子及茎叶均有毒，为有毒杂草，在东北有毒麦草之称，牲畜误食能中毒；种子如混入面粉达0.5％时，食之有苦味，并有中毒危险。"	"麦仙翁"	"一、二年生草本。常见于半干旱的草原地带，生于麦田、路旁和草地，为麦类作物田间的主要杂草。花色鲜艳。花期6—8月，果期7—9月。种子繁殖。"	"双子叶植物纲"	"石竹目"	"石竹科"	"麦仙翁属"	"Bastard Nigella，Common Corncockle，Wild Savager"	"该种常生于麦田中，是早年随麦种传入的杂草。"	"主要分布于黑龙江、吉林、辽宁、内蒙古、新疆等地，在上海北郊火车站偶见逸生，在江西、湖南等地有栽培记录"	"被子植物门"	"东地中海地区；现广泛分布于欧亚大陆、北非和北美地区"	"成株：株高30—80cm，全株有白色长硬毛。茎直立，单一或分枝。叶线形或线状披针形，长3—13cm，宽2—10mm，基部合生，两面均有半贴生长白毛，背面中脉凸起。花大，径约3cm，单生于茎顶及枝端；萼管长圆状圆筒形，长1.5—2cm，外面被长柔毛，有10条凸起的脉，花后萼管加粗，裂片5，线形，长达3cm；花瓣5枚，暗蔷薇色，比萼裂片短，先端截形，喉部无小鳞片，基部有长爪；雄蕊10枚，比花瓣短；花柱5枚，丝状。 子实：蒴果卵形，比萼管略长，为宿存萼管所包被，1室，内含种子数粒；种子三角状肾形，长宽各2.5—3.5mm，黑色或近黑色，无光泽，表面有排列成同心圆状的，大小不整齐的棘状突起。种脐位于下端，其两侧向内略凹入，形成浅缺刻。胚沿背面环生，围绕胚乳，呈淡黄色；胚乳丰富，洁白色。"	"李扬汉，1998.中国杂草志.p.161."	"Agrostemma githago L."	"PL00120"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/麦仙翁.jpg"
"121"	"1910年引进台湾"		"醉仙桃，醉心花"	"全株含生物碱有毒，对人类、家畜、鱼类和鸟类有强烈毒性。花蜜和花粉对蜂也有毒。"	"曼陀罗"	"一年生草本，在低纬度地区可长成亚灌木。生于荒地、旱地、宅旁、向阳山坡、林缘、草地。花期6~10月，果期7~11月。种子繁殖。"	"双子叶植物纲"	"茄目"	"茄科"	"曼陀罗属"	"Jimsonweed，　Thorn Apple"	"明朝末期作为药用植物引入。"	"各省区均有分布"	"被子植物门"	"墨西哥"	"植株有异味，有毒。叶互生，花两性，果实为肉质状浆果或蒴果，成株:株高1—1.5m。叶宽卵形，长8—12cm，宽4—12cm，先端渐尖，基部为不对称的楔形，叶缘有不规则波状浅裂，裂片三角形，有时有疏齿，脉上有疏短柔毛，叶柄长3—5cm。花常单生于枝分叉处或叶腋，直立，具短梗；花普筒状，筒部有5棱角，长4—scm；5浅裂，裂片三角形，花后自基部断裂，宿存部分随果实而增大并向外反折；花冠漏斗状，长6—10cm，径3—scm，下半部淡绿色，上部白色或淡紫色，5浅裂；雄蕊5,子房卵形，不完全4室。 幼苗: 全株被毛，子叶披针形，大型，长约2.2cm，宽约0.5cm，先端渐尖，基部楔形；具短叶柄。初生叶1片，长卵形或广披针形，全缘,具短柄."	"李振宇，谢炎，2002.中国外来入侵种."	"Datura stramonium L."	"PL00121"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/曼陀罗.jpg"
"122"					"蔓马缨丹"		"双子叶植物纲"	"管花目"	"马鞭草科"	"马缨丹属"	"Weeping Lantana"		"福建"	"被子植物门"	"拉丁美洲"	"灌木；枝下垂，被柔毛，长0.7-1米。 叶卵形，长约2.5厘米，基部突然变狭，边缘有粗牙齿。 头状花序直径约2.5厘米，具长总花梗；花长约1.2厘米，淡紫红色；苞片阔卵形，长不超过花冠管的中部。花期为全年。"		"Lantana montevidensis"	"PL00122"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/蔓马缨丹.jpg"
"123"			"芒颖大麦草"	"一般性杂草。农田有生长，危害旱作物。为麦类作物田间的主要杂草。我国东北有逸生者。"	"芒麦草"	"一二年生草本，生长于路旁和田野以及旱作物地。花期6-8月，果期7-9月。"	"单子叶植物纲"	"禾本目"	"禾本科"	"大麦属"	"Bastard Nigella, Common Corncockle, Wild Savager，Foxtail barley"		"黑龙江，吉林，辽宁"	"被子植物门"	"美洲，欧洲，亚洲寒温带"	"成株：株高30-80cm，全株有白色长硬毛。茎直立，单一或分枝。叶线形或线状披针形，基部合生，两面均有半贴生长白毛，背面中脉凸起。花大，径约3cm，单生于茎顶及枝端；萼管长圆状圆筒形，长1.5-2cm，外面被长柔毛，有10条凸起的脉，花后萼管加粗，裂片5，线形，长达3cm；花瓣5枚，暗蔷薇色，比萼裂片短，先端截形，喉部无小鳞片，基部有长爪；雄蕾10枚，比花瓣短；花柱5枚，丝状。 子实：宿果卵形，比萼管略长，为宿存萼管所包被，1室，内含种子数粒；种子三角状肾形，长宽各2.5-3.5mm，黑色或近黑色，无光泽，表面有排列成同心圆状的，大小不整齐的棘状突起。种济位于下端，其两端向内略凹入，形成浅缺刻。胚沿背面环生，围绕胚乳，呈浅黄色；胚乳丰富，洁白色。"	"李扬汉，1998. 中国杂草志. p.1253-1254"	"Hordeum jubatum L."	"PL00123"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/芒麦草.jpg"
"124"	"1840年福建厦门鼓浪屿成为英国祖界后从海外引入"	"避免在天然林附近种植该种植物。清除结果植株，以避免种子随机扩散。"		"如今这种植物已成为鼓浪屿园林树木的一大公害，老藤叫成为绞杀植物。枝叶覆盖树木，使之生长个良或导致死亡，就连数百年的古榕树也不能幸免。"	"猫爪藤"	"常绿木质藤本，藉气根攀援。花期4月，果期6月。种子多数，具宽膜质翅，由风吹扬传播。种子繁殖。断枝有时也可长成新的植株。"	"双子叶植物纲"	"玄参目"	"紫葳科"	"猫爪藤属"	"Cat’s Claw Vine"		"广东，福建又引入并作观赏栽培，在福建逸为野生"	"被子植物门"	"西印度群岛及墨西哥，巴西，阿根廷"	"它的叶形大小变异很大，在幼苗及嫩枝上通常为单叶，不分裂或有浅裂齿，较上部及开花枝上的叶对生，为具2小叶的复叶，有时小叶中间的叶轴延伸，顶端裂成3分叉的爪状卷须。其花较大，且色彩艳丽，花形美丽。花往往单朵或1－3朵成圆锥状，腋生。花冠乳黄、柠檬黄至桔黄色，冠管长约4cm，略扁，花冠二唇形，上唇2裂，较小，下唇3裂较大。在福州地区花期为每年的4－6月。其果为带状蒴果，形似豇豆，但较扁平。垂悬于藤上，颇为美丽，尤其是猫爪藤攀于线状物时，果下垂之势形成美丽的空间点缀，增添了动感之美。"	"中国植物志编辑委员会，1990a.中国植物志.69卷.p7-8. 李振宇，解焱，2002.中国外来入侵种.p151."	"Macfadyena unguis-cati(L.)A.Gentry"	"PL00124"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/猫爪藤.jpg"
"125"			"金冕草、达利雀稗"	"一般性杂草。"	"毛花雀稗"	"多年生牧草。上海、台湾、云南、广州等地有引种。可逸生为杂草，生于路旁，适应性广，分布于全球热带和温暖地区。种子或分株繁殖。 喜温热湿润气候。适于年平均温度15-21℃，最低月平均温度2-10℃。年降雨量1000mm以上的地区栽培。耐旱，亦耐寒，在肥沃耐湿润的壤土、冲积土和粘土上生长最好。"	"单子叶植物纲"	"禾本目"	"禾本科"	"雀稗属"	"dallis grass ，Caterpillar Grass"		"上海、台湾、云南、浙江、湖北（武昌）、广州等地"	"被子植物门"	"南美"	"茎秆粗壮，丛生，株高50-150cm。叶长10-45cm，宽3-13mm。穗状总状花序，小穗卵形，种子卵圆形，每千克48万-65万粒。"	"中国植物志编辑委员会，1990b. 中国植物志. 第10卷第1分册. p.294,281,289"	"Paspalum dilatatum Poir."	"PL00125"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/毛花雀稗.jpg"
